LineId,Date,Time,Pid,Tid,Level,Component,Content,EventTemplate,EventId
1,03-17,16:13:38.811,1702,2395,D,WindowManager,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false","printFreezingDisplayLogsopening app wtoken = AppWindowToken{ token=Token{ ActivityRecord{ u0 /. t761}}}, allDrawn= false, startingDisplayed = false, startingMoved = false, isRelaunching = false",d38ec8c7
2,03-17,16:13:38.819,1702,8671,D,PowerManagerService,"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227","acquire lock=, flags=, tag=""View Lock"", name=, ws=null, uid=, pid=",1b76cf9b
3,03-17,16:13:38.820,1702,8671,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready=true,policy=,wakefulness=,wksummary=,uasummary=,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=,auto=-,adj=.0userId=",0f9ade43
4,03-17,16:13:38.839,1702,2113,V,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Skipping AppWindowToken{ token=Token{ ActivityRecord{ u0 t761}}} -- going to hide,2d9892bb
5,03-17,16:13:38.859,2227,2227,D,TextView,visible is system.time.showampm,visible is,2be0548e
6,03-17,16:13:38.861,2227,2227,D,TextView,mVisiblity.getValue is false,mVisiblity.getValue is false,168e62e2
7,03-17,16:13:38.869,2227,2227,D,TextView,visible is system.charge.show,visible is,2be0548e
8,03-17,16:13:38.871,2227,2227,D,TextView,mVisiblity.getValue is false,mVisiblity.getValue is false,168e62e2
9,03-17,16:13:38.875,2227,2227,D,TextView,visible is system.call.count gt 0,visible is gt,4840dfb2
10,03-17,16:13:38.877,2227,2227,D,TextView,mVisiblity.getValue is false,mVisiblity.getValue is false,168e62e2
11,03-17,16:13:38.881,2227,2227,D,TextView,visible is system.message.count gt 0,visible is gt,4840dfb2
12,03-17,16:13:38.882,2227,2227,D,TextView,mVisiblity.getValue is false,mVisiblity.getValue is false,168e62e2
13,03-17,16:13:38.887,2227,2227,D,TextView,visible is system.ownerinfo.show,visible is,2be0548e
14,03-17,16:13:38.888,2227,2227,D,TextView,mVisiblity.getValue is false,mVisiblity.getValue is false,168e62e2
15,03-17,16:13:38.905,1702,10454,D,PowerManagerService,"release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227","release:lock=, flg=, tag=""View Lock"", name="", ws=null, uid=, pid=",763ffb15
16,03-17,16:13:38.907,1702,10454,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready=true,policy=,wakefulness=,wksummary=,uasummary=,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=,auto=-,adj=.0userId=",0f9ade43
17,03-17,16:13:38.915,1702,3693,V,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Skipping AppWindowToken{ token=Token{ ActivityRecord{ u0 t761}}} -- going to hide,2d9892bb
18,03-17,16:13:38.928,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-24.0","updateClipping isOverlap:false, getTopPadding=., Translation=-.",40a8f273
19,03-17,16:13:38.928,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false,updateDimmedActivatedHideSensitive overlap:false,b794132a
20,03-17,16:13:38.935,1702,3697,W,ActivityManager,getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller does not hold REAL_GET_TASKS; limiting output,5b6c521e
21,03-17,16:13:38.936,1702,14638,D,PowerManagerService,"release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702","release:lock=, flg=, tag=""*launch*"", name=android"", ws=WorkSource{}, uid=, pid=",a020362e
22,03-17,16:13:38.938,1702,14638,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready=true,policy=,wakefulness=,wksummary=,uasummary=,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=,auto=-,adj=.0userId=",0f9ade43
23,03-17,16:13:38.954,2227,2227,I,PhoneStatusBar,"setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)","setSystemUiVisibility vis= mask= oldVal= newVal= diff= fullscreenStackVis= dockedStackVis=, fullscreenStackBounds=Rect(, - , ), dockedStackBounds=Rect(, - , )",813bf928
24,03-17,16:13:38.955,2227,2227,I,PhoneStatusBar,cancelAutohide,cancelAutohide,3c2ee2af
25,03-17,16:13:38.955,2227,2227,I,PhoneStatusBar,"notifyUiVisibilityChanged:vis=0x40000500, SystemUiVisibility=0x40000500","notifyUiVisibilityChanged:vis=, SystemUiVisibility=",46bdb8c8
