EventId,EventTemplate,Occurrences
d38ec8c7,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{ token=Token{ ActivityRecord{ u0 /. t761}}}, allDrawn= false, startingDisplayed = false, startingMoved = false, isRelaunching = false",1
1b76cf9b,"acquire lock=, flags=, tag=""View Lock"", name=, ws=null, uid=, pid=",1
0f9ade43,"ready=true,policy=,wakefulness=,wksummary=,uasummary=,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=,auto=-,adj=.0userId=",199
2d9892bb,Skipping AppWindowToken{ token=Token{ ActivityRecord{ u0 t761}}} -- going to hide,2
2be0548e,visible is,3
168e62e2,mVisiblity.getValue is false,5
4840dfb2,visible is gt,2
763ffb15,"release:lock=, flg=, tag=""View Lock"", name="", ws=null, uid=, pid=",1
40a8f273,"updateClipping isOverlap:false, getTopPadding=., Translation=-.",39
b794132a,updateDimmedActivatedHideSensitive overlap:false,52
5b6c521e,getRunningAppProcesses: caller does not hold REAL_GET_TASKS; limiting output,81
a020362e,"release:lock=, flg=, tag=""*launch*"", name=android"", ws=WorkSource{}, uid=, pid=",8
813bf928,"setSystemUiVisibility vis= mask= oldVal= newVal= diff= fullscreenStackVis= dockedStackVis=, fullscreenStackBounds=Rect(, - , ), dockedStackBounds=Rect(, - , )",200
3c2ee2af,cancelAutohide,15
46bdb8c8,"notifyUiVisibilityChanged:vis=, SystemUiVisibility=",19
3b572d94,Destroying surface Surface(name=SurfaceView - ) called by : : : $Stub.onTransact: : : <bottom of call stack> <bottom of call stack>,1
fb49759a,Destroying surface Surface(name=) called by : : : : : : $Stub.onTransact: :,1
c79bfb8c,"release:lock=, flg=, tag=""WindowManager"", name=android"", ws=WorkSource{}, uid=, pid=",1
e58abc89,"userActivityNoUpdateLocked: eventTime=, event=, flags=, uid=",69
748b2271,"orientation change is complete, call stopFreezingDisplayLocked",1
0d528ff1,Screen frozen for +1s0ms due to Window{ u0 },1
4bea79c0,startAnimation begin,1
d8791e4b,startAnimation end,1
b0b68111,"release:lock=, flg=, tag=""SCREEN_FROZEN"", name=android"", ws=null, uid=, pid=",1
fb8841c2,remove(PendingIntent{: PendingIntentRecord{ broadcastIntent}}) changed bounds; rebatching,2
cd13fef7,"rotationForOrientationLw(orient=, last=); user= USER_ROTATION_LOCKED",2
98c4e1db,"Application requested orientation , got rotation which has compatible metrics",2
9f5133f6,"acquire lock=, flags=, tag=""RILJ_ACK_WL"", name=, ws=null, uid=, pid=",10
78791997,shouldBlockLocation running ...,37
324966b5,shouldBlockLocation ret:false,33
3ff755b5,getNeighboringCellInfo calling app is,5
9eafab92,"release:lock=, flg=, tag=""RILJ_ACK_WL"", name="", ws=null, uid=, pid=",7
3c3788f1,"release:lock=, flg=, tag=""AudioMix"", name=audioserver"", ws=null, uid=, pid=",6
bcab3745,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",33
9384b47e,HBM brightnessIn =,85
86478e03,HBM brightnessOut =,85
fdc970cd,"Animating brightness: target=, rate=",85
482e1e93,suspendAutohide,23
553a6b1a,interceptKeyTq keycode= interactive=true keyguardActive=false policyFlags= down true canceled false,7
f427dee8,"interceptKeyBeforeQueueing: key , result :",14
8d7445f8,resumeSuspendedAutohide,10
a651c8ba,interceptKeyTq keycode= interactive=true keyguardActive=false policyFlags= down false canceled false,7
eeec1449,querySoundEffectsEnabled...,17
f82207df,"acquire lock=, flags=, tag=""*launch*"", name=android, ws=WorkSource{}, uid=, pid=",8
86d02085,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",33
4d61a5d5,Skipping AppWindowToken{ token=Token{ ActivityRecord{ u0 /. t761}}} -- going to hide,2
250f653e,Bad activity token: @,1
854b6aeb,: cannot be cast to $Token,1
99476f0e,"onTouchEvent::, x=., y=.",2
ade15b9a,schedulePeek,1
33c7b245,getRingtonePlayer...,2
597cb21f,disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,3
f1682f2e,"updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == null?true",4
942f09c2,"updateLightsLocked,turn off notificationLight",6
cd399a7b,"overlapAmount:., previousNotificationEnd:., newYTranslation:-., location:, i:, getTopPadding:., getLocationOnScreen():-",13
90f8d44c,"state.clipTopAmount:, i:",12
5dda61ac,"updateClipping isOverlap:true, getTopPadding=., Translation=-.",13
643ab8b3,updateDimmedActivatedHideSensitive overlap:true,13
f02115d0,onExpandingStarted,2
cd7563b4,onTrackingStarted,1
03b7bdaf,Destroying surface Surface(name=) called by : : : : : : : :,6
1436932e,"state.clipTopAmount:-, i:",1
522cc439,cancelPeek: false,20
78b84fee,"flingToHeight: vel=., expand=true, target=., collapseSpeedUpFactor=., expandBecauseOfFalsing=false",1
263f405d,onTrackingStopped: true,1
b5721111,onExpandingFinished,2
b0c30533,"updateClipping isOverlap:false, getTopPadding=., Translation=.",13
d6cac69c,Sending non-protected broadcast from system : pkg,2
dac08128,logNotificationVisibilityChanges runInThread start,6
fbd5de68,onNotificationVisibilityChanged called,6
eda14053,logNotificationVisibilityChanges runInThread over,6
6ed37c98,isSimPinSecure mSimDatas is null or empty,1
2f983de0,registerCallback not in UI.,3
a185ec84,: Must execute in UI,3
438652c4,*** register callback for @,1
3ad5a38d,*** unregister callback for null,1
6324942b,[PhoneIntfMgr] getDataEnabled: subId= phoneId=,1
97cc7ea3,[PhoneIntfMgr] getDataEnabled: subId= retVal=true,1
bd0ad380,"onInterceptTouchEvent MotionEvent { action=ACTION_DOWN, actionButton=, id[]=, x[]=., y[]=., toolType[]=TOOL_TYPE_FINGER, buttonState=, metaState=, flags=, edgeFlags=, pointerCount=, historySize=, eventTime=, downTime=, deviceId=, source= }, mBlockTouches=false",2
9c0ba5b1,"onInterceptTouchEvent MotionEvent { action=ACTION_UP, actionButton=, id[]=, x[]=., y[]=., toolType[]=TOOL_TYPE_FINGER, buttonState=, metaState=, flags=, edgeFlags=, pointerCount=, historySize=, eventTime=, downTime=, deviceId=, source= }, mBlockTouches=false",2
290606ed,playSoundEffect effectType:,10
956ff7e4,"animateCollapsePanels:flags=, force=true, delayed=true, mExpandedVisible=true",2
