EventId,EventTemplate,Occurrences
28509391,android.util.AndroidRuntimeException: Must execute in UI,3
72956394,Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.destroyOrSaveSurface:2201 com.android.server.wm.WindowManagerService.tryStartExitingAnimation:3299 com.android.server.wm.WindowManagerService.relayoutWindow:3179 com.android.server.wm.Session.relayout:215 android.view.IWindowSession$Stub.onTransact:286 com.android.server.wm.Session.onTransact:136,1
81937814,HBM brightnessIn =,85
92325377,remove(PendingIntent{19abed0: PendingIntentRecord{a485420 com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching,1
7.12E+13,"release:lock=219829192, flg=0x0, tag=""AudioMix"", name=audioserver"", ws=null, uid=1041, pid=0",1
009117da,received broadcast android.intent.action.BATTERY_CHANGED,1
00e5cd57,shouldBlockLocation ret:false,33
02a2b091,"interceptKeyBeforeQueueing: key 3 , result : 1",8
02aaf2ce,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",1
03fd0f6c,"acquire lock=189667585, flags=0x1, tag=""*launch*"", name=android, ws=WorkSource{10111}, uid=1000, pid=1702",2
046d00aa,enqueueNotificationInternal: pkg=com.tencent.mobileqq id=121 notification=Notification(pri=1 contentView=null vibrate=[100] sound=null tick defaults=0x0 flags=0x11 color=0x00000000 vis=PRIVATE),1
05ab35a2,"release:lock=237091223, flg=0x0, tag=""WiredAccessoryManager"", name=android"", ws=null, uid=1000, pid=1702",1
06c4f169,onNotificationClick called,2
07230b00,HBM brightnessOut =,85
091bb2d4,Marking notification as seen 0|com.tencent.mobileqq|121|null|10111,1
09f2a99b,"overlapAmount:164.0, previousNotificationEnd:0.0, newYTranslation:-164.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-497",1
09f9e8b6,"release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227",1
0a10f5c1,"acquire lock=166121161, flags=0x1, tag=""RILJ_ACK_WL"", name=com.android.phone, ws=null, uid=1001, pid=2626",1
0ba1815a,ACTION_BATTERY_CHANGED AMP: 0; Volt: 0,1
0c4fb965,"release:lock=191063310, flg=0x0, tag=""AudioMix"", name=audioserver"", ws=null, uid=1041, pid=0",1
0c5657dc,addNotification key=0|com.tencent.mm|4097|null|10112,1
0cb93266,"getRecentTasks: *{1,1}",28
0dd400c2,suspendAutohide,23
0f572280,"rotationForOrientationLw(orient=1, last=0); user=0 USER_ROTATION_LOCKED",2
0fbe9412,setLightsOn(true),181
105962bb,"Skipping, withExcluded: false, tr.intent:Intent { act= *{0,2} flg= *{1,1} (has extras) }",28
1106e733,cleanUpApplicationRecord -- 5769,1
1229155b,"ActivityRecord info: ActivityInfo{71e60ba com.tencent.mobileqq.activity.SplashActivity}, euid: 0",1
13412c5c,"cleanUpApplicationRecordLocked, reset pid: 5769, euid: 0",1
1363e62f,"release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10111}, uid=1000, pid=1702",2
13d3f523,unregisterAudioFocusListener...,1
15ad395f,"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-428.0",1
168e62e2,mVisiblity.getValue is false,5
16ade1fc,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=false,6
16af3eff,cleanUpApplicationRecord -- 12025,1
16e28c32,"updateNotificationShade: total=0, active=0",6
178d0bbc,"acquire lock=155645244, flags=0x1, tag=""AudioMix"", name=audioserver, ws=null, uid=1041, pid=0",1
17ce1e30,"state.clipTopAmount:79, i:0",1
18084d2f,instantCollapse,9
19d4d61a,"release:lock=86152250, flg=0x0, tag=""handleAudioEvent"", name=android"", ws=null, uid=1000, pid=1702",1
1bf6aa98,"animateCollapsePanels:flags=2, force=true, delayed=true, mExpandedVisible=true",2
