EventId,EventTemplate,Occurrences
0ce98313,<*> <*> <*> <*>,23
51815ad0,"acquire lock=, flags=, <*> <*> <*> <*> uid=, pid=",1
0f9ade43,"ready=true,policy=,wakefulness=,wksummary=,uasummary=,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=,auto=-,adj=.0userId=",199
ef893a34,<*> <*> <*> <*> <*> <*> <*> <*> to <*> <*> <*> <*>,4
b5dd9c4f,<*> is <*> <*> <*> <*> <*> <*> <*>,14
b5dd9c4f,"<*> <*> <*> <*> <*> uid=, pid=",14
b5dd9c4f,"updateClipping <*> getTopPadding=., <*>",14
b5dd9c4f,updateDimmedActivatedHideSensitive <*>,14
b5dd9c4f,<*> caller does not hold REAL_GET_TASKS; limiting output,14
b5dd9c4f,"setSystemUiVisibility vis= mask= oldVal= newVal= diff= fullscreenStackVis= dockedStackVis=, fullscreenStackBounds=Rect(,  - , ), dockedStackBounds=Rect(,  - , )",14
b5dd9c4f,cancelAutohide,14
b5dd9c4f,"notifyUiVisibilityChanged:vis=, SystemUiVisibility=",14
b5dd9c4f,Destroying surface <*> - <*> called by : : : <*> : : <*> <*> <*> <*> <*> <*> <*> <*>,14
b5dd9c4f,"userActivityNoUpdateLocked: eventTime=, event=, flags=, uid=",14
8f0a8da8,<*> <*> <*> <*> <*> <*>,51
0f9ade43,startAnimation <*>,199
ef893a34,remove(PendingIntent{: PendingIntentRecord{ broadcastIntent}}) changed bounds; rebatching,4
194ea104,<*> last=); user= USER_ROTATION_LOCKED,58
d6169692,<*> <*> <*> <*> <*>,64
9e4815fc,shouldBlockLocation <*> <*>,116
8f0a8da8,getNeighboringCellInfo calling app is ,51
0f9ade43,"<*> suspend blocker ""PowerManagerService.WakeLocks"".",199
9db6cece,<*> <*> = <*> <*> <*>,200
3c2ee2af,"Animating brightness: target=, rate=",15
46bdb8c8,suspendAutohide,19
a8278598,interceptKeyTq keycode= interactive=true keyguardActive=false policyFlags= down <*> canceled false,3
a8278598,resumeSuspendedAutohide,3
8f0a8da8,querySoundEffectsEnabled...,51
e58abc89,Bad activity token: @,69
0f9ade43,: <*> <*> <*> <*> <*>,199
be2214fc,"onTouchEvent::, x=., y=.",2
0ce98313,schedulePeek,23
fc3ab7b2,getRingtonePlayer...,2
fc3ab7b2,disable: < expand <*> alerts <*> back home recent clock navigationbar search quick_settings >,2
8f0a8da8,"updateLightsLocked,turn off notificationLight",51
0f9ade43,"overlapAmount:., previousNotificationEnd:., newYTranslation:-., location:, i:, getTopPadding:., getLocationOnScreen():-",199
fb8841c2,<*> i:,2
27316024,onExpandingStarted,2
fb195195,onTrackingStarted,25
8f0a8da8,cancelPeek: false,51
0f9ade43,"flingToHeight: vel=., <*> target=., collapseSpeedUpFactor=., expandBecauseOfFalsing=false",199
0f9ade43,onTrackingStopped: true,199
0f9ade43,onExpandingFinished,199
0f9ade43,<*> <*> <*> <*> : <*> <*>,199
0f9ade43,<*> <*> <*>,199
