EventId,EventTemplate,Occurrences
d45eb44e,"printFreezingDisplayLogsopening app wtoken = AppWindowToken { #spec# token = Token { #spec# ActivityRecord { #spec# u0 #spec# . #spec# t761 } } } , allDrawn = false , startingDisplayed = false , startingMoved = false , isRelaunching = false",1
c08f3ce3,"acquire lock = #spec# , flags = #spec# , tag = ""View Lock"" , name = #spec# , ws = null , uid = #spec# , pid = #spec#",1
1052dad1,"ready = true , policy = #spec# , wakefulness = #spec# , wksummary = #spec# , uasummary = #spec# , bootcompleted = true , boostinprogress = false , waitmodeenable = false , mode = false , manual = #spec# , auto = - #spec# , adj = #spec# .0userId = #spec#",199
a02bc7f8,Skipping AppWindowToken { #spec# token = Token { #spec# ActivityRecord { #spec# u0 #spec# . #spec# t761 } } } -- going to hide,4
9579b0c7,* is *,8
98c08938,visible is #spec# gt #spec#,2
9068f2b3,"release : lock = #spec# , flg = #spec# , tag = ""View Lock"" , name = #spec# "" , ws = null , uid = #spec# , pid = #spec#",1
7719a0fa,"updateClipping isOverlap : * , getTopPadding = #spec# . #spec# , Translation = - #spec# . #spec#",52
c06a85cc,* * : *,129
0f59a8d4,* : caller #spec# does not hold REAL_GET_TASKS ; limiting output,118
f7307204,"release : lock = #spec# , flg = #spec# , tag = * , name = android"" , ws = WorkSource { #spec# } , uid = #spec# , pid = #spec#",9
9c723a12,"setSystemUiVisibility vis = #spec# mask = #spec# oldVal = #spec# newVal = #spec# diff = #spec# fullscreenStackVis = #spec# dockedStackVis = #spec# , fullscreenStackBounds = Rect ( #spec# , #spec# - #spec# , #spec# ) , dockedStackBounds = Rect ( #spec# , #spec# - #spec# , #spec# )",200
3389dae3,*,135
7885475b,"notifyUiVisibilityChanged : vis = #spec# , SystemUiVisibility = #spec#",19
a517849b,Destroying surface Surface ( name = SurfaceView - #spec# . #spec# ) called by #spec# : #spec# #spec# : #spec# #spec# : #spec# #spec# $Stub.onTransact : #spec# #spec# : #spec# #spec# : #spec# < bottom of call stack > < bottom of call stack >,1
c77f8233,Destroying surface Surface ( name = #spec# . #spec# ) called by #spec# : #spec# #spec# : #spec# #spec# : #spec# #spec# : #spec# #spec# : #spec# #spec# : #spec# #spec# $Stub.onTransact : #spec# #spec# : #spec#,1
62a7194a,"userActivityNoUpdateLocked : eventTime = #spec# , event = #spec# , flags = #spec# , uid = #spec#",69
9638e733,"orientation change is complete , call stopFreezingDisplayLocked",1
2bd2368f,Screen frozen for +1s0ms due to Window { #spec# u0 #spec# . #spec# },1
4bea79c0,startAnimation begin,1
