EventId,EventTemplate,Occurrences
453df2c1,printFreezingDisplayLogsopening app wtoken AppWindowToken{* token Token{* ActivityRecord{* u0 */.* t761}}} allDrawn false startingDisplayed false startingMoved false isRelaunching false,1
7a639320,"acquire lock * flags * tag ""View Lock"" name * ws null uid * pid *",1
02efdb2b,ready true policy * wakefulness * wksummary * uasummary * bootcompleted true boostinprogress false waitmodeenable false mode false manual * auto -* adj *.0userId *,199
00387be9,Skipping AppWindowToken{* token Token{* ActivityRecord{* u0 **.* t761}}} -- going to hide,2
f7f906cf,visible is *,5
168e62e2,mVisiblity.getValue is false,5
b0e4bc26,"release lock * flg * tag ""View Lock"" name *"" ws null uid * pid *",1
84c8fa72,updateClipping isOverlap false getTopPadding *.* Translation -*.*,39
fd4bbd8e,updateDimmedActivatedHideSensitive overlap false,52
8fbdd061,getRunningAppProcesses caller * does not hold REAL_GET_TASKS; limiting output,81
cfc826e9,"release lock * flg * tag ""*launch*"" name android"" ws WorkSource{*} uid * pid *",8
b4084938,setSystemUiVisibility vis * mask * oldVal * newVal * diff * fullscreenStackVis * dockedStackVis * fullscreenStackBounds Rect(* * - * *) dockedStackBounds Rect(* * - * *),200
3c2ee2af,cancelAutohide,15
d32bc841,notifyUiVisibilityChanged vis * SystemUiVisibility *,19
f73a0dc4,Destroying surface Surface(name SurfaceView - **.*) called by * * * * * * *$Stub.onTransact * * * * * <bottom of call stack> <bottom of call stack>,1
24093ee3,Destroying surface Surface(name **.*) called by * * * * * * * * * * * * *$Stub.onTransact * * *,1
cea2a799,"release lock * flg * tag ""WindowManager"" name android"" ws WorkSource{*} uid * pid *",1
a3024fc3,userActivityNoUpdateLocked eventTime * event * flags * uid *,69
14361819,orientation change is complete call stopFreezingDisplayLocked,1
f6567f68,Screen frozen for +1s0ms due to Window{* u0 **.*},1
4bea79c0,startAnimation begin,1
d8791e4b,startAnimation end,1
7ce64cff,"release lock * flg * tag ""SCREEN_FROZEN"" name android"" ws null uid * pid *",1
