EventId,EventTemplate,Occurrences
E1,*** register callback for <*>@<*>,1
E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",26
E100,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",1
E101,Process <*>:qzone (pid <*>) has died,1
E102,querySoundEffectsEnabled...,17
E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",199
E104,received broadcast <*>,4
E105,Received TIME_TICK alarm; rescheduling,3
E106,RefreshBatteryInfo isBatteryLow: <*>,2
E107,registerCallback not in UI.,3
E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",26
E109,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",33
E11,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",33
E110,remove(PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}) changed bounds; rebatching,2
E111,removeNotification:<*>|<*>|<*>|null|<*>,2
E112,removeNotificationChildren,12
E113,resumeSuspendedAutohide,10
E114,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED",3
E115,schedulePeek,1
E116,scheduleTimeTickEvent triggerAtTime = <*>,3
E117,Scheduling restart of crashed service <*>.<*> in <*>,1
E118,Screen frozen for <*> due to Window{<*> u0 <*>.<*>},1
E119,"sending alarm Alarm{<*> type <*> when <*> PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}},repeatInterval = <*>,listenerTag =null",2
E12,ACTION_BATTERY_CHANGED AMP: <*>; Volt: <*>,1
E120,"sending alarm Alarm{<*> type <*> when <*> PendingIntent{<*>: PendingIntentRecord{<*> android broadcastIntent}}},repeatInterval = <*>,listenerTag =time_tick",3
E121,Sending non-protected broadcast <*> from system <*>:<*> pkg <*>,2
E122,"setDataSource(<*>, <*>, <*>)",1
E123,setLightsOn(true),181
E124,setSpeakerphoneOn  on: true,1
E125,setSpeakerphoneOn on:true,1
