EventId,EventTemplate,Occurrences
03dcd3de,floating <*> <*> <*> <*> <*>,5
762e22fd,Ido chip status changed: <*> <*> v=13 <*> status=M <*> <*> <*> <*> PDT 2005,1
d9d676e0,<*> floating point alignment exceptions,121
8af767e4,Ido chip status changed: <*> <*> v=13 t=1 status=M Thu Aug 04 <*> PDT 2005,1
378c3753,<*> state <*>,4
c88a38eb,Ido chip status changed: <*> <*> v=13 t=4 status=M <*> Aug <*> <*> PDT 2005,1
46bea1e2,r24=0x0ffea4c8 r25=0x00000003 r26=0x0000000f r27=0xffffd000,1
9613af5f,guaranteed <*> cache block <*>,3
70605528,CE sym <*> at <*> mask <*>,92
f9ee8256,1 <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
d7de09cc,data <*> <*>,43
2e270cbc,program interrupt: <*> <*> <*> <*>,4
46ca6eec,<*> <*> receiver <*> <*> <*> <*> <*> <*> <*> <*> over <*> seconds,1
5f43da9e,ciod: <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
d9a353bd,auxiliary processor.........................0,5
e6c3388f,Node card <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
d7b59897,"Error receiving packet on tree network, expecting type 57 instead of type 3 <*> <*> 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007",2
e9ed0f3d,fraction rounded.........................0,1
3b9fd46c,byte ordering exception.....................0,2
fb87b71c,5 <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
8bf4e87a,dbcr0=0x00000000 dbsr=0x00000000 ccr0=0x40002000,1
44debb69,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> over <*> seconds,2
6dc58ba1,debug interrupt <*>,1
38da3bf4,ciod: <*> <*> <*> <*> <*> <*> <*> <*>,19
efdcc224,lr:00004ed0 cr:28244842 xer:20000002 ctr:00086000,1
a9dcfec1,program interrupt: <*> <*> <*>,1
faab27d2,Node card <*> <*> <*> <*>,6
bd4b6af8,<*> of <*> <*> <*> <*> <*>,1
2faf5596,ciod: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,7
4dc4712c,Lustre mount FAILED : <*> : <*> <*> <*>,2
ae4c7e9f,<*> double-hummer alignment exceptions,109
d531623b,data <*> <*> <*>,60
cc689933,instruction <*> <*>,22
8facda9c,ciod: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
2d4eabd3,ciod: <*> <*> <*> <*> <*>,4
a93a7188,rts: kernel terminated for reason <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
dba7b3b4,total of <*> ddr error(s) detected and corrected <*> <*> <*>,3
75b36ed9,ciod: <*> <*> <*> <*> <*> <*> <*>,30
4929c785,program interrupt: <*> <*>,21
57dec75c,data <*> <*> <*> <*> <*> <*> <*> <*>,6
b317ba5c,<*> store <*>,3
5d5b00ea,special purpose registers:,1
946610a6,generating <*>,721
e8dcbd12,ciod: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,11
3f9af912,rts <*> <*> <*> <*>,2
22cf1fcc,instruction <*> <*> <*> <*>,42
