EventId,EventTemplate,Occurrences
7.61E+06,ciod: generated 64 core files for program /bgl/apps/swl-prep/ibm-swl/functional/sppm_chkpt/run/sppm,4
16226640,"ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/hpcc-1.0.0.102905_opt_essl_cpm: invalid or missing program image, Permission denied",1
24269012,"1 ddr errors(s) detected and corrected on rank 0, symbol 28, bit 3",1
27897760,"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:54780, Link has been severed",1
47251387,"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:41587, Connection reset by peer",1
53300689,"ciod: Received signal 15, code=0, errno=0, address=0x000001f2",4
63908051,"ciod: Error loading /g/g0/spelce1/Tuned/SPaSM-base/rundir/SPaSM.baseline: invalid or missing program image, Permission denied",1
74814646,machine check: i-fetch......................0,5
85065312,"ciod: Error loading /bgl/apps/followup/MINIBEN/MB_254_051007/torus-latency.rts: invalid or missing program image, No such file or directory",1
86591381,ciod: generated 128 core files for program /bgl/apps/followup/SPaSM_static/SPaSM_mpi.new_comp,1
97976721,ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied,1
000d140b,ciod: generated 128 core files for program /home/germann2/BGL-demo/SPaSM_mpi,8
006368a7,"Error receiving packet on tree network, expecting type 57 instead of type 3 (softheader=00ce22e8 e6200003 00000002 00000000) PSR0=20021f01 PSR1=00000000 PRXF=00000002 PIXF=00000007",1
01cdef2b,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:51706,1
04c28b53,"Node card VPD check: U11 node in processor card slot J04 do not match. VPD ecid 04D58088CB2FFFFF08031C104CE9, found 04CA80D8012FFFFF08061A8094CB",1
0654b74d,ciod: Missing or invalid fields on line 1 of node map file /home/auselton/bgl/64mps.sequential.mapfile,1
0707691f,"Error receiving packet on tree network, expecting type 57 instead of type 3 (softheader=00ce22e8 e6200003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007",1
07d9ed29,1 torus receiver y+ input pipe error(s) (dcr 0x02ee) detected and corrected,1
08264f42,program interrupt: illegal instruction......0,5
0884663c,ciod: LOGIN chdir(/bgl/apps/SWL/performance/MINIBEN///2005.09.20-18.06.08) failed: No such file or directory,1
