EventId,EventTemplate,Occurrences
3aa50e45,instruction cache parity error corrected,42
5018af60,#spec# double-hummer alignment exceptions,109
efca1e49,"CE sym * , at #spec# , mask #spec#",92
279ad898,ciod : failed to read message prefix on control stream ( CioStream socket to #spec#,3
ab2690b3,generating #spec#,721
9f7cd7e7,force load/store alignment...............0,2
78682217,ciod : cpu #spec# at treeaddr #spec# sent unrecognized message #spec#,1
31fd4215,ciod : LOGIN chdir ( #spec# ) failed : No such file or directory,18
07319c0b,"#spec# ddr errors ( s ) detected and corrected on rank 0 , symbol * , bit #spec#",18
38a7307d,data TLB error interrupt,60
fb2675b1,ciod : Message code #spec# is not #spec# or #spec#,1
d2c9db9b,data storage interrupt,30
d8032f83,* * : #spec#,34
1d1f05ed,program interrupt : * *,21
6e600609,exception syndrome register : #spec#,6
933953d3,data store interrupt caused by *,5
40c9c002,store operation.............................1,2
c2e612db,machine state register : #spec#,4
930a9735,data store interrupt caused by icbi.........0,5
6bdb23be,"problem state ( 0 = sup , 1 = usr ) .......0",3
4a855bbd,floating point instr. enabled.....1,4
f28dcd0f,auxiliary processor.........................0,5
511c1d0d,machine check enable..............0,2
f188789b,floating pt ex mode #spec# enable......0,5
2ec4bdb1,debug interrupt enable............0,1
3971a417,byte ordering exception.....................0,2
ae9a7a4f,data address space................0,5
701b1dd7,core configuration register : #spec#,7
7ba7fdb2,program interrupt : fp cr update.............0,1
1335bf9d,guaranteed instruction cache block touch.0,2
49b4926d,program interrupt : fp cr field .............0,4
53a936ba,guaranteed data cache block touch........1,1
7eea25a6,icache prefetch *,3
198c56f7,wait state enable.................0,1
1c2a9320,critical input interrupt enable...0,1
5c16f86f,special purpose registers :,1
1c646469,lr : 00004ed0 cr : 28244842 xer : 20000002 ctr : 00086000,1
af999985,rts internal error,1
fe410cc8,debug wait enable.................0,2
940724cb,instruction address space.........0,1
228fcad4,disable store gathering..................0,3
302bb7d3,total of #spec# ddr error ( s ) detected and corrected,13
1b892616,"ciod : Error loading #spec# : invalid or missing program image , No such file or directory",21
e4c2a11e,ciod : Error creating node map from file #spec# : No child processes,1
0d02c0e2,program interrupt,3
a2335b6b,Node card is not fully functional,6
d2fe2de3,ciod : Error creating node map from file #spec# : Bad file descriptor,1
c3566e89,Ido chip status changed : #spec# ip = #spec# v = 9 t = 4 status = M Fri Jul #spec# #spec# PDT #spec#,1
9d5d6232,Can not get assembly information for node card,6
