EventId,EventTemplate,Occurrences
3aa50e45,instruction cache parity error corrected,42
2789e75b,* double-hummer alignment exceptions,109
e665aa59,CE sym * at * mask *,43
a7b814c3,ciod: failed to read message prefix on control stream (CioStream socket to *,3
ddb1c136,* * * * * *,18
1335bf9d,guaranteed instruction cache block touch.0,2
df88d884,program interrupt: fp cr field .............0,4
53a936ba,guaranteed data cache block touch........1,1
070de4aa,generating <*>,721
9f7cd7e7,force load/store alignment...............0,2
38a7307d,data TLB error interrupt,60
6e644e70,* * *,43
e665aa59,CE sym * at * mask *,40
e665aa59,CE sym * at * mask *,7
ac17a695,"CE sym 5, at 0x11042a80, mask 0x04",1
24a26a12,"CE sym 28, at 0x110067e0, mask 0x02",1
a553aad2,ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,1
3fdf05b3,ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory,1
ccd2834f,"* ddr errors(s) detected and corrected on rank 0, symbol * bit *",18
473b1afe,ciod: Message code 0 is not 51 or 4294967295,1
a2335b6b,Node card is not fully functional,5
220716fc,rts panic! - stopping execution,2
12c46e92,NodeCard is not fully functional,1
c42200c4,rts tree/torus link training failed: wanted: B C X+ X- Y+ Y- Z+ Z- got: B C X- Y- Z+ Z-,1
40c9c002,store operation.............................1,2
f28dcd0f,auxiliary processor.........................0,1
d7cb53a5,lr:00004ed0 cr:28244842 xer:20000002 ctr:00086000,1
ac8a6999,data address: 0x00000002,8
74814646,machine check: i-fetch......................0,5
6a308701,"problem state (0=sup,1=usr).......0",3
6e644e70,* * *,10
2c050cb7,instruction address: 0x00004ed8,20
fb09787a,program interrupt: * *,14
dc43af59,* * register: *,17
5f7a3f75,program interrupt: privileged instruction...0,2
afc7bcc1,"NFS Mount failed on bglio716, slept 15 seconds, retrying (1)",1
6ceeee77,"NFS Mount failed on bglio91, slept 15 seconds, retrying (1)",1
28beb5d0,ciod: generated * core files for program *,14
57e920a9,total of * ddr error(s) detected and corrected,3
57e920a9,total of * ddr error(s) detected and corrected,10
d024d78d,ciod: Error creating node map from file /p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map: No child processes,1
3eb4472a,Ido chip status changed: FF:F2:9F:16:E2:23:00:0D:60:E9:1D:DC ip=10.0.0.151 v=9 t=4 status=M Fri Jul 01 08:16:53 PDT 2005,1
f582ab6c,ciod: Error creating node map from file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-xyzt/xyzt.map: Block device required,1
ee4da383,"ciod: Error loading /home/draeger/testQboxhang-nozerobytebug-nosleepyescomm: invalid or missing program image, No such file or directory",1
dd143159,ciod: Z coordinate 32 exceeds physical dimension 32 at line 33 of node map file /p/gb2/pakin1/contention-32768cpes-torus/xyzt-1x1x32768x1.map,1
c66cc4a1,ciod: LOGIN chdir(pwd) failed: No such file or directory,2
829c6505,ciod: LOGIN chdir(/p/bg1/da) failed: No such file or directory,1
795c22d3,"ciod: Error loading ./runtime_malloc: invalid or missing program image, No such file or directory",1
7a07be98,"ciod: Error loading * invalid or missing program image, No such file or directory",18
fd9a326d,ciod: Error creating node map from file /p/gb2/welcome3/32k_128x256x1_8x4x4.map: Bad file descriptor,1
af0e513b,ciod: Missing or invalid fields on line 1 of node map file *,2
9d5d6232,Can not get assembly information for node card,6
088bafb1,ciod: duplicate canonical-rank 31 to logical-rank 0 mapping at line 3 of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map,1
2355b700,ciod: pollControlDescriptors: Detected the debugger died.,1
7d2ed773,rts: kernel terminated for reason *,2
c370fcd7,Lustre mount FAILED : * : point /p/gb1,9
f848d6c7,size of scratchpad portion of L3.........0 (0M),1
2ec4bdb1,debug interrupt enable............0,1
0d02c0e2,program interrupt,1
f0490912,program interrupt: trap instruction.........0,1
14c982d9,program interrupt: imprecise exception......0,3
f28dcd0f,auxiliary processor.........................0,4
0d02c0e2,program interrupt,2
4a855bbd,floating point instr. enabled.....1,4
6a583136,floating pt ex mode * enable......0,5
39f84cff,program interrupt: fp cr update.............0,1
1c2a9320,critical input interrupt enable...0,1
3cd4d8b4,program interrupt: unimplemented operation..0,1
7acc3f74,"ciod: Received signal 15, code=0, errno=0, *",16
c17e917f,Lustre mount FAILED : bglio78 : block_id : location,1
5a695884,MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4),7
77b17bd0,r24=0x0ffea4c8 r25=0x00000003 r26=0x0000000f r27=0xffffd000,1
a828f891,shutdown complete,1
6bfe1d17,iar * dear *,152
a4e385b0,iar 00106210 dear 0244c20c,1
e8a1ed5d,3 L3 EDRAM error(s) (dcr 0x0157) detected and corrected,1
6468d9c6,ciod: generated * core files for program /bgl/apps/swl-prep/ibm-swl/functional/sppm_chkpt/run/sppm,5
000d140b,ciod: generated 128 core files for program /home/germann2/BGL-demo/SPaSM_mpi,8
a71bf985,ciod: generated 64 core files for program IMB-MPI1.2MB_perf,1
9d4258b4,ciod: generated 128 core files for program /bgl/apps/SWL/stability/DDCMD//ddcMDbglV,1
58a3fb1d,ciod: LOGIN * failed: No such file or directory,3
f3eed4bf,data cache search parity error detected. attempting to correct,6
