EventId,EventTemplate,Occurrences
3aa50e45,instruction cache parity error corrected,42
6265c739,<*> double-hummer alignment exceptions,74
22de2b18,"CE sym <*> at 0x<*>0, mask 0x<*>",14
843f5cbe,<*> <*> <*> on <*> <*> <*> <*> <*> <*>,43
01d35c17,"CE sym <*>, at 0x<*>0, mask 0x40",15
070de4aa,generating <*>,721
b50339a1,NONE,45
c5d5094b,"CE sym <*>, at 0x<*>0, mask 0x10",16
d5f4bd6b,"CE sym <*>, at 0x<*>0, mask 0x04",15
3786c060,ciod: <*> <*> <*> <*> <*>,9
4a680747,ciod: LOGIN chdir(<*>) failed: No such file or directory,18
131a42e5,"CE sym <*>, at 0x<*>0, mask 0x02",13
d92955f2,"<*> ddr errors(s) detected and corrected on rank 0, symbol <*>, bit <*>",18
09d481c7,"CE sym <*>, at 0x<*>0, mask 0x20",10
38a7307d,data TLB error interrupt,60
d2c9db9b,data storage interrupt,30
ac8a6999,data address: 0x00000002,8
d59f04cd,machine <*> <*>,11
122d934b,program interrupt: illegal <*>,8
9851467f,data store interrupt caused by <*>,10
cc8ff6de,program interrupt: <*> <*>,18
33699bb4,<*> state <*>,6
42e8eb6d,floating <*> <*> <*>,9
e19f7ea0,core configuration register: 0x00002000,7
86bf963f,critical input interrupt <*>,3
ef38d89d,<*> <*> error,1
4cc6887f,<*> store <*>,3
147cfcff,total of <*> ddr error(s) detected and corrected,13
6f3620a4,"ciod: Error loading <*>: invalid or missing program image, No such file or directory",21
b02de545,"CE sym <*>, at 0x<*>0, mask 0x80",9
85979392,program <*>,3
a2335b6b,Node card is not fully functional,6
9d5d6232,Can not get assembly information for node card,6
2a777943,1146800 double-hummer alignment exceptions,27
908c2782,458720 double-hummer alignment exceptions,8
89b0cf03,<*> t<*> receiver <*> in<*> <*> <*> <*> <*> <*> <*>d,7
5b20f78e,<*> of <*> <*> <*> <*> <*>,8
eec5021c,rts: kernel terminated for reason 100<*>,7
1ae4a1e2,<*> floating point alignment exceptions,106
aa35fa97,Node card status: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>. Temperature <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> is <*>. The <*>.5 volt rail is OK.,6
9f19c88f,"Node card VPD check: U<*>1 node in processor card slot J<*> do not match. VPD ecid 0<*>, found 0<*>",9
e3703b8d,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",35
d011761f,"<*> <*>ing <*> <*> <*> <*>, <*> <*> <*> <*> of <*>e <*> <*>",10
262ac5c8,"ciod: Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/allreduce.rts: invalid or missing program image, Exec format error",15
90638f5f,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:<*>: Link has been severed,9
11b69b8b,ciod: generated <*> core files for program <*>,13
000d140b,ciod: generated 128 core files for program /home/germann2/BGL-demo/SPaSM_mpi,8
47306293,iar 00<*> dear 0<*>,103
4bc1ca7f,iar 003a92a0 dear 0<*>8,7
10cb738f,iar 003a9260 dear 0<*>8,14
dd87d319,iar 0014a150 dear 00<*>8,13
0432bfdc,Lustre mount FAILED : bglio<*> : point /p/gb1,9
