EventId,EventTemplate,Occurrences
dba996ef,Deleting block <*> file <*>,263
dc2c74b7,PacketResponder <*> for block <*> terminating,311
e3df2680,Received block <*> of size <*> from <*>,292
b2cd0462,BLOCK* NameSystem.delete <*> is added to invalidSet of <*> 50010,224
46769dcf,BLOCK* ask 10.251.126.5 50010 to delete blk_-9016567407076718172 blk_-8695715290502978219 blk_-7168328752988473716 blk_-4355192005224403537 blk_-3757501769775889193 blk_-154600013573668394 blk_167132135416677587 blk_2654596473569751784 blk_5202581916713319258,1
5d8c5df5,BLOCK* NameSystem.allocateBlock <*> <*>,115
32777b38,Verification succeeded for <*>,20
b4ec8d10,BLOCK* ask <*> 50010 to delete <*>,2
3a7f0f8e,<*> 50010 Served block <*> to <*>,80
6af214fd,Receiving block <*> src <*> <*> dest <*> 50010,292
45b212df,<*> 50010 Got exception while serving <*> to <*>,80
dd4fd19c,<*> <*> <*> <*> to <*> <*> <*> <*> <*> 50010,2
854b67e0,Received block blk_1473949624670719319 src /10.251.29.239 35617 dest /10.251.29.239 50010 of size 67108864,1
24378071,Received block blk_-4411589101766563890 src /10.250.14.38 37362 dest /10.250.14.38 50010 of size 67108864,1
5eaa2a11,BLOCK* NameSystem.addStoredBlock blockMap updated <*> 50010 is added to <*> size <*>,314
a215b0b5,BLOCK* ask <*> 50010 to delete <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,2
