EventId,EventTemplate,Occurrences
a360c7ae,PacketResponder  for block  terminating,311
b0fda02b,BLOCK* NameSystem.addStoredBlock: blockMap updated:  is added to  size ,314
4fab1c94,Received block  of size  from ,292
6bcc1437,Receiving block  src:  dest: ,292
c347cd93,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,1
92938263,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,1
0cd522af,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435,1
000ef86b,Verification succeeded for ,20
78fa04e9,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775,1
2c445c1e,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_-1282453782148343691,1
528c6769,Deleting block  file ,263
bb51846c,10.251.194.213:50010 Served block blk_-7724713468912166542 to /10.251.203.80,1
78b275da,10.251.91.229:50010 Served block blk_-3358448553918665902 to /10.251.91.229,1
0a0dc930,10.251.39.192:50010 Served block  to ,2
36201061,10.250.5.237:50010 Served block blk_3166960787499091856 to /10.251.43.147,1
11820012,10.251.30.85:50010:Got exception while serving  to ,2
fbaa7b5c,10.251.126.255:50010:Got exception while serving  to ,3
cfeedfb3,10.251.71.68:50010 Served block blk_-2794533871450434534 to /10.251.199.150,1
d2417428,10.251.123.132:50010:Got exception while serving  to ,2
cf7b328b,10.250.13.188:50010:Got exception while serving  to ,2
cc780b9a,10.251.214.32:50010 Served block blk_-6520030462660619051 to /10.251.215.70,1
1a44eb4b,10.251.199.19:50010:Got exception while serving blk_8466246428293623262 to /10.251.106.37:,1
2f544c76,10.250.9.207:50010:Got exception while serving blk_-3140754468249228022 to /10.250.9.207:,1
c1ebf028,10.251.202.134:50010:Got exception while serving blk_3441699978641526775 to /10.251.126.5:,1
b20d26f2,10.250.6.214:50010 Served block  to ,2
321e5480,10.250.14.196:50010:Got exception while serving  to ,2
22e092a8,10.251.107.227:50010:Got exception while serving blk_-6290631608800952376 to /10.251.109.209:,1
33480758,10.251.203.166:50010 Served block blk_8787656642683881295 to /10.251.107.98,1
fdba9105,10.251.90.64:50010:Got exception while serving blk_-4841792440390267307 to /10.251.90.239:,1
160daf55,10.250.10.144:50010:Got exception while serving blk_5126469776250053435 to /10.250.11.100:,1
3fa5a9cd,10.251.71.146:50010:Got exception while serving blk_-2032740670708110312 to /10.251.197.161:,1
edabec3f,10.251.67.113:50010:Got exception while serving blk_-62891505109755100 to /10.250.7.96:,1
449f1366,10.251.74.79:50010:Got exception while serving  to ,2
aba15e5c,10.251.214.112:50010:Got exception while serving blk_5905933788014151041 to /10.251.214.112:,1
8811b61b,10.251.111.80:50010 Served block blk_6296828743242110158 to /10.251.42.246,1
a01884f4,10.251.43.210:50010:Got exception while serving blk_2969087638814291714 to /10.251.199.86:,1
47f08690,10.251.73.220:50010:Got exception while serving blk_4934527196392001803 to /10.251.203.246:,1
cd09898b,10.251.73.188:50010:Got exception while serving blk_7517964792804498202 to /10.250.6.191:,1
19a34380,10.251.35.1:50010:Got exception while serving blk_7940316270494947483 to /10.251.122.38:,1
e6089ab3,10.251.90.134:50010:Got exception while serving blk_7154985168984871115 to /10.251.110.160:,1
f7af919c,BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000296_0/part-00296. blk_-6620182933895093708,1
b5ff1ca7,BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000230_0/part-00230. blk_559204981722276126,1
77991aae,BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000169_0/part-00169. blk_-7105305952901940477,1
62fd9280,BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000318_0/part-00318. ,2
