EventId,EventTemplate,Occurrences
1839268,"BLOCK* NameSystem.addStoredBlock: blockMap updated: *{1,1} is added to *{1,1} size 67108864",294
4708102,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.198.196:50010 is added to blk_1779145401405339993 size 28499417,1
81728833,10.250.10.100:50010 Served block blk_9216955386716663841 to /10.251.90.64,1
3.78E+43,10.251.109.209:50010 Served block blk_4848669047361069041 to /10.251.26.177,1
8.66E+117,10.251.26.8:50010:Got exception while serving blk_-3572295706132449090 to /10.251.111.130:,1
0006e1d1,10.251.106.50:50010 Served block blk_-8907436477337775860 to /10.251.106.50,1
00f325d4,Received block blk_-4433556521525567493 of size 28492032 from /10.250.6.4,1
0121d207,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.107.196:50010 is added to blk_4802366409699286298 size 3547304,1
01c52d0a,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.75.49:50010 is added to blk_-2959268996938658555 size 15715490,1
01f535af,10.251.194.213:50010 Served block blk_-7724713468912166542 to /10.251.203.80,1
028a3f4e,BLOCK* NameSystem.allocateBlock: /user/root/randtxt3/_temporary/_task_200811101024_0007_m_001560_0/part-01560. blk_3376391218693716925,1
02e2b752,10.250.10.213:50010 Served block blk_-1125621902344947014 to /10.250.10.213,1
03b796e7,Verification succeeded for blk_-4984504651603069357,1
056db09c,10.251.67.225:50010:Got exception while serving blk_-6900989714336081087 to /10.251.25.237:,1
05bbcca9,10.251.202.181:50010 Served block blk_-5236655516146555545 to /10.251.31.5,1
05bc75e1,10.251.66.102:50010:Got exception while serving blk_6106884317961925960 to /10.251.66.102:,1
