EventId,EventTemplate,Occurrences
4de2e386,PacketResponder 1 for block blk_38865049064139660 terminating,1
75c144ad,PacketResponder 0 for block blk_-6952295868487656571 terminating,1
916a27b9,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to <*> size 67108864,7
aab23b9e,PacketResponder 2 for block blk_8229193803249955061 terminating,1
ed38e188,PacketResponder 2 for block blk_-6670958622368987959 terminating,1
52df5295,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to <*> size 67108864,2
7ff425ae,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,1
81f16288,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,1
00801278,PacketResponder 2 for block blk_572492839287299681 terminating,1
a648e7c2,Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,1
c0a74e06,Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,1
9befb83f,Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,1
7e2accc6,Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,1
416e6d04,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to <*> size 67108864,2
f71fd677,Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,1
715b3207,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,1
63171950,PacketResponder 1 for block blk_5017373558217225674 terminating,1
84a4cd79,Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,1
dc6512ad,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,1
fdf80e39,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to <*> size 67108864,3
f79d0c54,Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,1
0162221a,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,1
28b3cc24,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to <*> size 67108864,2
5d525857,Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211,1
623bc439,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864,1
4d365dbf,Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010,1
3bd8d455,Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155,1
5acc9610,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435,1
737a5532,Verification succeeded for blk_-4980916519894289629,1
ab780193,Received block blk_-5974833545991408899 of size 67108864 from /10.251.31.180,1
4fb215df,Receiving block blk_-5009020203888190378 src: /10.251.199.19:52622 dest: /10.251.199.19:50010,1
4f23b19d,Received block blk_6921674711959888070 of size 67108864 from /10.251.65.203,1
23c1e866,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to <*> size 67108864,4
5f2ebbf7,Receiving block blk_2937758977269298350 src: /10.251.194.129:37476 dest: /10.251.194.129:50010,1
dc73e0cf,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864,1
2ff3ea45,Received block blk_-7526945448667194862 of size 67108864 from /10.251.203.80,1
c726fe21,Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83,1
67d1d4a7,Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225,1
16b02b8c,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to <*> size 67108864,2
1f80640f,Receiving block blk_-6276023454199613372 src: /10.251.65.237:34085 dest: /10.251.65.237:50010,1
215a1550,Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79,1
b7e68ce4,Received block blk_-3909548841543565741 of size 3542967 from /10.251.195.33,1
49c3590f,Receiving block blk_-6809181994368905854 src: /10.250.17.225:51754 dest: /10.250.17.225:50010,1
206764c5,Received block blk_8829027411458566099 of size 67108864 from /10.251.38.214,1
48bd1a12,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to <*> size 67108864,3
3aff6ecc,PacketResponder 1 for block blk_-5073870177832699716 terminating,1
4098fbb0,Received block blk_-8241093737585222406 of size 67108864 from /10.250.5.161,1
24f74723,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.228:50010 is added to <*> size 67108864,4
38fa2a17,PacketResponder 0 for block blk_7791237942696729620 terminating,1
eaa40e40,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.202.134:50010 is added to blk_2113880130496815041 size 3549917,1
ddaade18,Received block blk_1064470652608359218 of size 67108864 from /10.251.39.242,1
416e6d04,PacketResponder 1 for block blk_-1527267659500322006 terminating,2
84efdf4e,PacketResponder 1 for block blk_4886940526690879848 terminating,1
85b1758c,Received block blk_-2452477352812192142 of size 67108864 from /10.250.7.244,1
a183e04e,PacketResponder 0 for block blk_-4229375751333894621 terminating,1
203bb2e8,Receiving block blk_-774267833966018354 src: /10.251.38.53:51057 dest: /10.251.38.53:50010,1
7c35d4a6,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775,1
