EventId,EventTemplate,Occurrences
8b0db8eb,PacketResponder * for block <*> terminating,311
b8ee1342,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size *,314
432dd7af,Received block <*> of size * from /<*>,292
bbb51b95,Receiving block <*> src: /<*> dest: /<*>,292
32777b38,Verification succeeded for <*>,20
a333d363,<*>:Got exception while serving <*> to /<*>:,80
4ab50add,BLOCK* NameSystem.allocateBlock: * <*>,115
40651754,<*> Starting thread to transfer block <*> to <*>,1
cdbc82a6,Deleting block <*> file *,263
4dec0816,<*> Served block <*> to /<*>,80
d63ef163,BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,224
04137b95,BLOCK* ask <*> to delete <*>,2
68a0b1bc,Received block <*> src: /<*> dest: /<*> of size 67108864,2
728076ac,BLOCK* ask <*> to replicate <*> to datanode(s) <*>,1
98012f03,BLOCK* ask <*> to delete <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,2
415a1760,BLOCK* ask <*> to delete <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
