EventId,EventTemplate,Occurrences
07cb448f,"GET /favicon.ico HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36""",410
e1baae79,"GET / HTTP/1.1"" 200 437<*> ""-"" ""Mozilla/5.0 (compatible; MSIE 7.0; Windows NT .1; .NET CLR 1.1.4322) 360JK yunjiankong 1705326""",108
5dc2f5b1,"GET /<*> HTTP/1.1"" 200 <*> ""-"" ""Mozilla/5.0 (Linux;u;Android 4.2.2;zh-cn;) AppleWebKit/534.46 (KHTML,like Gecko) Version/5.1 Mobile Safari/10600.6.3 (compatible; Baiduspider/2.0; http://www.baidu.com/search/spider.html)""",176
ad867a09,"GET /_<*> HTTP/1.1"" 200 <*> <*> ""Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; http://www.baidu.com/search/spider.html)""",37
b50339a1,NONE,2640
23be5a8d,"GET /_visitcount?siteId=13&type=<*> HTTP/1.1"" 200 0 ""http://www.nankai.edu.cn/<*>"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; http://www.baidu.com/search/spider.html)""",122
3f8e6875,"GET <*> HTTP/1.1"" 200 <*> <*>",46127
195f85e3,"GET <*> HTTP/1.1"" 200 <*> ""<*>"" ""Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko""",294
2b9999d2,GET /<*> <*> <*> <*> <*>,13133
b440c48b,"GET <*> HTTP/1.1"" 200 <*> ""-"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1""",142
0ddc3645,"GET /<*>/ HTTP/1.0"" 302 199 ""-"" ""-""",3290
ed5d73bf,"GET /<*> HTTP/1.1"" 200 <*> ""http://www.baidu.com"" ""Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)""",90
fccbe8af,"GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1"" 404 238 ""-"" ""MobileSafari/604.1 CFNetwork/974.2.1 Darwin/18.0.0""",203
003a0c85,"GET /apple-touch-icon-120x120.png HTTP/1.1"" 404 226 ""-"" ""MobileSafari/604.1 CFNetwork/974.2.1 Darwin/18.0.0""",203
9d75b7b8,"GET /apple-touch-icon-precomposed.png HTTP/1.1"" 404 230 ""-"" ""MobileSafari/604.1 CFNetwork/974.2.1 Darwin/18.0.0""",216
d6e53871,"GET /apple-touch-icon.png HTTP/1.1"" 404 218 ""-"" ""MobileSafari/604.1 CFNetwork/974.2.1 Darwin/18.0.0""",216
740c1ef5,"GET /favicon.ico HTTP/1.1"" 404 209 ""-"" ""MobileSafari/604.1 CFNetwork/974.2.1 Darwin/18.0.0""",215
0118ceaf,"GET /_redirect?<*> HTTP/1.1"" 302 0 ""-"" <*>",61
7f382684,"GET /<*>/main.psp HTTP/1.0"" 200 2236 ""-"" ""-""",3252
faa5832c,"GET /<*>/ HTTP/1.1"" 302 199 ""www.baidu.com"" ""Mozilla/5.0 (compatible; Baiduspider/2.0; http://www.baidu.com/search/spider.html)""",2784
1e886753,"HEAD /favicon.ico HTTP/1.0"" 404 0 ""-"" ""-""",1798
9a98db07,"GET /<*> HTTP/1.1"" 200 <*> ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; http://www.google.com/bot.html)""",929
c687b130,"GET /favicon.ico HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36""",64
229680c3,"GET /favicon.ico HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36""",675
6dbf3d32,"GET <*> HTTP/1.1"" 200 <*> ""-"" ""Mozilla/5.0 <*> <*>",796
b1bfc823,"GET /apple-touch-icon-precomposed.png HTTP/1.1"" 404 230 ""-"" ""Safari/11605.3.8.1 CFNetwork/760.9 Darwin/15.6.0 (x86_64)""",16
59742269,"GET /favicon.ico HTTP/1.1"" 404 209 ""-"" ""<*>",221
d6741bf9,"GET /apple-touch-icon.png HTTP/1.1"" 404 218 ""-"" ""Safari/11605.3.8.1 CFNetwork/760.9 Darwin/15.6.0 (x86_64)""",16
35eb3f5c,"GET /favicon.ico HTTP/1.1"" 404 209 ""-"" ""Safari/11605.3.8.1 CFNetwork/760.9 Darwin/15.6.0 (x86_64)""",16
7d4fa92b,"GET /favicon.ico HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/<*> Safari/537.36""",4
ef688a24,"GET /<*> HTTP/1.1"" 200 <*> ""-"" ""Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko""",173
1cff2af7,"GET /<*> HTTP/1.1"" 200 <*> ""-"" ""Mozilla/5.0 (compatible; Baiduspider/2.0; http://www.baidu.com/search/spider.html)""",60
edad66a9,"GET /_<*> HTTP/1.1"" 200 0 ""http://www.nankai.edu.cn/<*>"" ""Mozilla/5.0 (compatible; Baiduspider-render/2.0; http://www.baidu.com/search/spider.html)""",51
9e000fdd,"HEAD / HTTP/1.1"" 200 0 ""-"" ""curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3""",52
7a53dac3,"GET /157/list.htm HTTP/1.1"" 200 6349 ""-"" ""phpspider-requests/1.2.0""",36
9b1e38da,"GET /favicon.ico HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko""",87
69ab4a84,"GET <*> HTTP/1.1"" 200 <*> ""-"" ""Mozilla/5.0 (Linux; Android <*>; <*> <*> <*>) <*> (KHTML, like Gecko) <*> Mobile Safari/53<*>",71
4f5971a6,"GET / HTTP/1.1"" 200 9105 ""<*>"" <*>",535
14ddc694,"GET /_<*> HTTP/1.1"" 200 0 <*> ""Mozilla/5.0 (Linux; Android 8.0.0; WAS-AL00 Build/HUAWEIWAS-AL00) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Mobile Safari/537.36""",18
512bba1f,"GET /favicon.ico HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36""",74
09f10c66,"GET /favicon.ico HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36""",31
bea1b6b1,"GET <*> HTTP/1.1"" 200 9105 ""-"" ""Mozilla/5.0 (compatible; Baiduspider/2.0; http://www.baidu.com/search/spider.html)""",26
a3b0a84c,"GET /<*>.html HTTP/1.0"" 404 214 ""-"" ""-""",358
423c02c0,"GET /_visitcount?siteId=13&type=1&columnId=154 HTTP/1.1"" 200 0 ""http://www.nankai.edu.cn/"" ""Mozilla/5.0 (compatible; Baiduspider-render/2.0; http://www.baidu.com/search/spider.html)""",17
fb872827,"GET /<*>.htm HTTP/1.1"" 302 214 ""-"" ""Mozilla/5.0 (compatible; bingbot/2.0; http://www.bing.com/bingbot.htm)""",15
066cc8dc,"GET /_visitcount?siteId=13&type=1&columnId=154 HTTP/1.1"" 200 0 ""http://www.nankai.edu.cn/"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; http://www.baidu.com/search/spider.html)""",96
d3d55bc9,"GET /<*> HTTP/1.1"" 200 <*> ""-"" ""Mozilla/5.0 (compatible; bingbot/2.0; http://www.bing.com/bingbot.htm)""",246
6cb11694,"GET <*> HTTP/1.1"" 200 <*> ""<*>"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36""",221
ae229c3d,"GET /<*> HTTP/1.1"" 200 <*> ""-"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_<*>) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/<*> Safari/537.36""",47
e759490a,"GET /_css/_system/system.css HTTP/1.1"" 200 30 ""http://www.nankai.edu.cn/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36""",12
7bd90cda,"GET /_upload/site/1/style/6/6.css HTTP/1.1"" 200 0 ""http://www.nankai.edu.cn/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36""",12
7fc790d5,"GET / HTTP/1.1"" 200 43729 ""-"" ""curl/7.58.0""",34
e7d7aa7c,"GET /_<*> HTTP/1.1"" 304 0 ""-"" ""<*>",24
eb008ff9,"GET /favicon.ico HTTP/1.1"" 404 209 ""-"" ""Mozilla/4.0 (compatible; MSIE <*>0; Windows <*>",32
f4ab4d87,"GET <*> HTTP/1.1"" 200 <*> ""-"" ""Mozilla/5.0 (compatible; <*>",73
50193561,"GET /favicon.ico HTTP/1.1"" 404 209 <*> ""Mozilla/5.0 (compatible; <*> <*>",19
17b8517f,"HEAD <*> HTTP/1.1"" 200 0 ""-"" ""<*>",55
f3628dbd,"GET / HTTP/1.1"" 200 9105 ""<*>"" ""Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 10.0; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729)""",12
244f4508,"GET /_visitcount?siteId=13&type=1&columnId=154 HTTP/1.1"" 200 0 ""http://www.nankai.edu.cn/"" ""Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 10.0; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729)""",12
4176fb8d,"HEAD /<*> HTTP/1.1"" 404 0 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)""",48
