EventId,EventTemplate,Occurrences
E1,<*>:<*> Served block blk_<*> to /<*>,80
E10,PacketResponder <*> for block blk_<*> terminating,311
E11,Received block blk_<*> of size <*> from /<*>,292
E12,Received block blk_<*> src: /<*>:<*> dest: /<*>:<*> of size <*>,2
E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,292
E14,Verification succeeded for blk_<*>,20
E2,<*>:<*> Starting thread to transfer block blk_<*> to <*>:<*>,1
E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,80
E4,BLOCK* ask <*>:<*> to delete  blk_<*>,5
E5,BLOCK* ask <*>:<*> to replicate blk_<*> to datanode(s) <*>:<*>,1
E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,314
E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,115
E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,224
E9,Deleting block blk_<*> file /<*>/blk_<*>,263
