EventId,EventTemplate,Occurrences
13856549,inconsistent nodesets node-1 0x000001fc <ok> node-2 0x000001fc <ok> node-7 0x000001fc <ok> node-4 0x000001fc <ok> node-6 0x000001fc <ok> node-5 0x000001fc <ok> node-3 0x000001fc <ok> node-14 0x0003fdfc <ok> node-13 0x0003fdfc <ok> node-12 0x0003fdfc <ok> node-10 0x0003fdfc <ok> node-16 0x0003fdfc <ok> node-15 0x0003fdfc <ok>,1
53666618,Targeting domains:node-D0 and nodes:node-0,1
82959784,"clusterAddMember (command *{1,1}",2
87809331,risBoot  (command 1903),1
92362443,warning,205
0089397c,NIFF: node node-161 has detected an available network connection on network 0.0.0.0 via interface alt0,1
01a071ce,ClusterFileSystem: ServerFileSystem domain cluster_usr_backup is no longer served by node node-192,1
052a4c4d,ClusterFileSystem: ServerFileSystem domain root28_domain is no longer served by node node-96,1
0683372e,Targeting domains:node-D2 and nodes:node-[64-95] child of command 3488,1
06cf24d7,NIFF: node node-73 has detected an available network connection on network 0.0.0.0 via interface alt0,1
06e0f2fc,"ServerFileSystem: ServerFileSystem domain *{1,1} is full",7
08a2cd00,boot  (command 3334),1
09ffddff,NIFF: node node-17 has detected an available network connection on network 0.0.0.0 via interface alt0,1
0bf47a2e,ClusterFileSystem: There is no server for ServerFileSystem domain storage1622,2
0d68f521,NIFF: node node-162 detected a failed network connection on network 5.5.224.0 via interface alt0,1
0d7eff2e,boot (command 3169),2
0fed7535,wait (command 4176),2
11d891f7,Fan speeds ( 3552 3534 3391 4299 3515 3479 ),1
171d42c6,Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),1
1793c40e,inconsistent nodesets node-32 0x00000002 <ok> node-34 0x000001fe <ok> node-33 0x000001fe <ok> node-35 0x000001fe <ok>,1
1ee85f6c,starting,1
21a6a64d,"ClusterFileSystem: There is no server for ServerFileSystem domain *{1,1}",26
23fc766e,ClusterFileSystem: ServerFileSystem domain root23_local is no longer served by node node-182,1
244cc8f4,ClusterFileSystem: ServerFileSystem domain root17_domain is no longer served by node node-240,1
252f035f,not-responding,1
26e114e5,boot (command 2316),2
291f390d,ServerFileSystem: An ServerFileSystem domain panic has occurred on storage442,1
2ce76764,NIFF: node node-202 has detected an available network connection on network 10.128.0.0 via interface ee0,1
2f9a7072,Targeting domains:node-D3 and nodes:node-[104-127] child of command 1963,1
3224cf30,Link error on broadcast tree Interconnect-1T00:00:2:0,2
347bb90a,"NIFF: node *{1,1} has detected an available network connection on network 0.0.0.0 via interface alt0",2
350b730f,NIFF: node node-241 has detected an available network connection on network 10.128.0.0 via interface ee0,1
372dc52b,"Targeting domains:node-D4 and *{1,1} child of command *{1,1}",2
3b38bec1,closing,1
3c403584,NIFF: node node-139 has detected an available network connection on network 10.128.0.0 via interface ee0,1
3d59de05,boot  (command 2517),1
3d6bda01,NIFF: node node-30 has detected an available network connection on network 10.128.0.0 via interface ee0,1
3e0a6532,NIFF: node node-45 has detected an available network connection on network 5.5.224.0 via interface alt0,1
3fde876a,wait  (command 2257),1
411b0491,"Targeting *{1,2} and *{2,3}",2
42cd5c38,Targeting domains:node-D2 and nodes:node-84,1
42e29531,blocked,15
445dbb18,inconsistent nodesets node-160 0x0001edfe <ok> node-161 0x1001fdfe <ok> node-162 0x1001fdfe <ok> node-163 0x1001fdfe <ok>,1
477772a3,boot  (command 2257),1
47bf867e,Link ok,13
488fc71a,risBoot (command 1903) Error: Timed out while waiting for SRM prompt: <ABORT code completed>,1
49667f5b,NIFF: node node-77 has detected an available network connection on network 5.5.224.0 via interface alt0,1
49ca3699,boot  (command 4176),1
4cc836f0,"NIFF: node *{1,1} has detected an available network connection on network 5.5.226.0 via interface alt0",7
5452c51c,Command has been aborted,1
55c873c1,ClusterFileSystem: ServerFileSystem domain root_domain is no longer served by node node-160,1
57c1042c,bootGenvmunix  (command 4185),1
57d44ac4,"NIFF: node *{1,1} has detected an available network connection on network 5.5.224.0 via interface alt0",14
5829ab64,"ClusterFileSystem: ServerFileSystem domain *{1,1} is no longer served by node node-11",3
5ad7371e,wait (command 3981),2
5c5be4d3,NIFF: node node-69 has detected an available network connection on network 10.128.0.0 via interface ee0,1
62a54a09,NIFF: node node-163 has detected an available network connection on network 0.0.0.0 via interface alt0,1
