EventId,EventTemplate,Occurrences
05243854,Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID),1
3f73703b,Component State Change: Component \042alt0\042 is in the unavailable state (HWID),11
3f73703b,clusterAddMember  (command 1902),11
3f73703b,clusterAddMember  (command 1900),11
3f73703b,risBoot  (command 1903),11
3f73703b,bootGenvmunix  (command 1903),11
3f73703b,boot  (command 1911),11
3f73703b,boot  (command 1910),11
3f73703b,boot  (command 1978),11
3f73703b,boot  (command 1967),11
3f73703b,wait  (command 1975),11
3f73703b,boot  (command 1999),11
a2e7f87d,halt  (command 1982),1
ca866166,boot  (command 1981),1
87809331,boot  (command 1973),1
b75a067c,wait  (command 1973),1
f6b0bac5,wait  (command 2057),1
aac42f65,boot  (command 2152),1
28170980,wait  (command 2154),1
1cb89727,boot  (command 2141),1
85a39bd4,boot  (command 2110),1
29d733f7,boot  (command 2160),1
434d88c5,halt  (command 2221),1
2c750e4a,wait (command 2217),1
6b3bd128,wait  (command 2201),1
8590fd04,wait  (command 2199),1
4feb5eaf,boot  (command 2183),1
4600550c,wait  (command 2189),1
7a67e1cb,wait  (command 2302),1
c6acc795,wait  (command 2270),1
8687f20a,wait  (command 2257),1
4812cc0a,boot  (command 2257),1
5aa00c0c,boot (command 2316),1
ae3bb90f,wait  (command 2322),2
ae3bb90f,wait  (command 2354),2
3a9624cc,wait  (command 2347),1
74b53268,boot  (command 2368),1
07db0a5e,boot  (command 2392),1
2294ad75,boot  (command 2406),1
53a286f1,boot  (command 2417),1
ef170823,boot  (command 2423),1
3fde876a,wait  (command 2424),1
477772a3,wait  (command 2449),1
cd3ec402,boot  (command 2464),2
cd3ec402,wait  (command 2468),2
70df0cdf,boot  (command 2520),1
d1af503b,wait  (command 2517),1
47a844e3,boot  (command 2517),1
1bbf37e2,wait  (command 2511),1
3db52923,wait  (command 2513),1
7c52f859,boot  (command 2514),1
4cd78690,wait  (command 2484),1
817b9a1b,boot  (command 2625),1
a35c2c76,wait  (command 2607),1
6a5d7a8b,boot (command 2616),1
859b3fbd,boot  (command 2619),1
1780642f,boot  (command 2602),1
447ebb6d,wait  (command 2582),1
e8b6f3ea,boot  (command 2584),1
3d59de05,wait  (command 2549),1
677fc2c1,boot  (command 2550),1
c981877e,boot  (command 2548),1
ef8e2f30,boot  (command 2538),1
4a6392a9,wait  (command 2683),1
a932b85d,boot  (command 2686),1
7cc5cfc7,wait  (command 2682),1
70dc7674,wait  (command 2763),3
dc7f0247,wait  (command 2800),1
70dc7674,boot  (command 2790),3
70dc7674,wait (command 2817),3
2a07fdb6,wait  (command 2823),1
093f1ca4,wait  (command 2900),1
eda16887,wait  (command 2885),1
d2000f65,wait  (command 2909),1
84951248,boot  (command 2960),1
4e860818,wait  (command 2963),1
5013d6eb,boot  (command 2999),1
3caaec20,halt  (command 2992),1
74e12e4c,wait  (command 3087),1
6bb8b706,wait  (command 3079),1
ea87c5cf,wait  (command 3078),1
6c5d0c11,wait  (command 3141),1
8be09059,boot  (command 3138),1
7979de14,boot (command 3169),2
825b3f69,boot  (command 3194),1
7979de14,boot  (command 3320),2
eedb4212,boot  (command 3318),1
2feb8627,boot  (command 3317),1
48c6962a,wait  (command 3319),1
c71cf5e4,wait  (command 3334),1
f0748e1d,boot  (command 3334),1
56cb8478,wait  (command 3412),1
3a9cc176,boot  (command 3413),1
bfe1d076,boot  (command 3473),1
aa79dd14,wait  (command 3523),1
cefc6bdd,wait  (command 3525),1
aac63c47,wait  (command 3519),1
70d8817a,boot  (command 3519),1
fce4c828,boot  (command 3512),2
fce4c828,boot  (command 3579),2
83c1ae55,boot  (command 3572),1
d2bfe162,boot  (command 3580),1
6b0e5fc6,wait  (command 3612),1
fbe4805f,boot  (command 3615),1
5e3a8ddf,wait  (command 3609),1
9052dfb1,boot  (command 3624),1
08a2cd00,wait  (command 3649),1
2358820f,boot  (command 3639),1
11e0418e,wait  (command 3690),1
ed6a202a,boot  (command 3696),1
d06d3761,wait  (command 3698),1
9d826526,wait  (command 3709),1
86e74efc,wait  (command 3837),1
de17d515,wait  (command 3847),1
d0fad89f,boot  (command 3951),1
503fd162,boot  (command 3928),1
9fb108ee,boot  (command 3939),1
0896be7f,boot  (command 3964),1
475d7dba,wait  (command 3973),1
71178f82,wait (command 3981),1
1cc03148,boot  (command 4024),1
71e43730,wait  (command 4061),1
e8139039,wait  (command 4110),1
d162fa16,boot  (command 4118),1
859b5b8a,wait  (command 4116),1
95e4e47e,wait  (command 4117),1
c7836bcf,boot  (command 4109),1
3e7d8856,wait  (command 4145),1
5b3a5760,boot  (command 4176),1
0112d54c,boot  (command 4170),1
1b62b04b,wait (command 4176),1
92dfd8ea,bootGenvmunix  (command 4185),1
f6fca0d5,boot  (command 4223),1
32bf73d6,wait  (command 4221),1
9addcfe6,wait  (command 4219),1
8fe2c969,Command has completed successfully,2
8fe2c969,Targeting domains:node-D3 and nodes:node-[104-127] child of command 1963,2
4b7209ff,Targeting domains:node-D4 and nodes:node-[136-159] child of command 1964,1
4e7e9d4c,Targeting domains:node-D7 and nodes:node-[224\ 228\ 232],1
0db5c4c4,Targeting domains:node-D4 and nodes:node-[128-135] child of command 2401,1
f89a87f4,Targeting domains:node-D0 and nodes:node-[8-31] child of command 2489,1
00a70b51,Targeting domains:node-D0 and nodes:node-0,1
60ba7ff1,Targeting domains:node-D[0\ 5] and nodes:node-[27\ 191],1
dd28f10a,Targeting domains:node-D2 and nodes:node-[64-95] child of command 3488,1
90ec8c56,Targeting domains:node-D2 and nodes:node-84,1
49ca3699,psu failure\ ambient,1
2583ab06,Temperature (41C) exceeds warning threshold,1
a579026d,ClusterFileSystem: There is no server for ServerFileSystem domain storage234,2
a579026d,ClusterFileSystem: There is no server for ServerFileSystem domain storage1412,2
57c1042c,ClusterFileSystem: There is no server for ServerFileSystem domain storage1024,1
750ffd35,ClusterFileSystem: There is no server for ServerFileSystem domain storage1534,1
ed10996e,ClusterFileSystem: There is no server for ServerFileSystem domain storage1231,1
559171dd,ClusterFileSystem: There is no server for ServerFileSystem domain storage934,1
b4e25afc,ClusterFileSystem: There is no server for ServerFileSystem domain storage131,10
b4e25afc,ClusterFileSystem: There is no server for ServerFileSystem domain storage1144,10
b4e25afc,ClusterFileSystem: There is no server for ServerFileSystem domain storage444,10
b4e25afc,ClusterFileSystem: There is no server for ServerFileSystem domain storage141,10
b4e25afc,ClusterFileSystem: There is no server for ServerFileSystem domain storage1622,10
b4e25afc,ClusterFileSystem: There is no server for ServerFileSystem domain storage1612,10
