EventId,EventTemplate,Occurrences
9ae87fe4,Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID<*>),1
9164cc5d,Component State Change: Component \042alt0\042 is in the unavailable state (HWID<*>),11
469944cd,clusterAddMember (command *,2
c46cea30,boot (command 2092) Error: HALT asserted\ cannot continue,1
42c1bb20,Targeting * and * child of command *,5
a9c0efe0,ClusterFileSystem: There is no server for ServerFileSystem domain *,28
a9c0efe0,ClusterFileSystem: There is no server for ServerFileSystem domain *,4
e5e34e3d,risBoot (command 1903),1
57571301,bootGenvmunix (command *,2
6e644e70,* * *,151
445dbb18,inconsistent nodesets node-160 0x0001edfe <ok> node-161 0x1001fdfe <ok> node-162 0x1001fdfe <ok> node-163 0x1001fdfe <ok>,1
1793c40e,inconsistent nodesets node-32 0x00000002 <ok> node-34 0x000001fe <ok> node-33 0x000001fe <ok> node-35 0x000001fe <ok>,1
13856549,inconsistent nodesets node-1 0x000001fc <ok> node-2 0x000001fc <ok> node-7 0x000001fc <ok> node-4 0x000001fc <ok> node-6 0x000001fc <ok> node-5 0x000001fc <ok> node-3 0x000001fc <ok> node-14 0x0003fdfc <ok> node-13 0x0003fdfc <ok> node-12 0x0003fdfc <ok> node-10 0x0003fdfc <ok> node-16 0x0003fdfc <ok> node-15 0x0003fdfc <ok>,1
aedc7bac,NIFF: node node-69 detected a failed network connection on network 5.5.224.0 via interface alt0,1
0d68f521,NIFF: node node-162 detected a failed network connection on network 5.5.224.0 via interface alt0,1
291f390d,ServerFileSystem: An ServerFileSystem domain panic has occurred on storage442,1
c661f017,Command has * *,11
2794dcdf,Targeting domains:node-D7 and nodes:node-[224\ 228\ 232],1
53666618,Targeting domains:node-D0 and nodes:node-0,1
86d6833d,inconsistent nodesets node-31 0x1fffffffe <ok> node-0 0xfffffffe <ok> node-1 0xfffffffe <ok> node-2 0xfffffffe <ok> node-30 0xfffffffe <ok>,1
5d8cd8d8,NIFF: node * has detected an available network connection on network 10.128.0.0 via interface ee0,17
5c5a584c,NIFF: node * has detected an available network connection on network * via interface alt0,14
488fc71a,risBoot (command 1903) Error: Timed out while waiting for SRM prompt: <ABORT code completed>,1
5d8cd8d8,NIFF: node * has detected an available network connection on network 10.128.0.0 via interface ee0,28
ed490e11,NIFF: node * has detected an available network connection on network * via interface *,30
a40ac115,ClusterFileSystem: ServerFileSystem domain cluster_root_backup is no longer served by node node-96,1
1691086d,ClusterFileSystem: ServerFileSystem domain root_domain is no longer served by node *,2
6859abf5,ClusterFileSystem: ServerFileSystem domain * is no longer served by node *,33
3b219fff,Temperature (41C) exceeds warning threshold,2
e13d082a,power/control problem,1
872224b6,Link *,26
f8d968b5,Targeting domains:node-D[0\ 5] and nodes:node-[27\ 191],1
f2a7276d,Fan speeds ( * * * **** * * ),79
5261321a,Fan speeds ( * 3534 * * * 3479 ),11
42cd5c38,Targeting domains:node-D2 and nodes:node-84,1
3389dae3,*,908
4ad8bef9,NIFF: node * has detected an available network connection on network 0.0.0.0 via interface alt0,2
e3789b73,Link error on broadcast tree *,4
6dd680c6,ServerFileSystem: ServerFileSystem domain * is full,12
9050ee25,Linkerror event interval expired,394
42d1fa40,* *,151
551adf73,link errors remain current,56
