EventId,EventTemplate,Occurrences
1f74103f,<*> <*> system <*>,4
96b20d32,OutputCommitter <*> <*> <*> <*>,1
e073ab3b,Opening proxy : <*>,13
36d42ef3,<*> <*> Transitioned from <*> to <*>,36
2382f8e5,<*> <*> from <*>,1
a0adc9e1,"Recalculating schedule, <*> <*>",131
6ff7af5b,Registered webapp guice modules,1
c610de4d,"getResources() for application_1445144423722_0020: <*> release= 0 newContainers=0 <*> resourcelimit=<memory:0, vCores:-27> knownNMs=4",1
f08135c1,Progress of TaskAttempt <*> is : <*>,289
8cc7fc1e,<*> <*> <*> <*> not <*> <*> <*> <*> <*> <*> <*>,1
c2ce5730,<*> failures on node MININT-FNANLI5.fareast.corp.microsoft.com,2
26b518ac,KILLING <*>,1
d31f794d,Task <*> <*> attempt attempt_1445144423722_0020_m_000003_0,1
16083636,ATTEMPT_START <*>,10
0915c869,jetty-6.1.26,1
95ae547a,"Thread Thread[eventHandlingThread,5,main] threw an Exception.",1
cfc4aa50,<*> <*> from <*> <*> <*> <*> <*> <*>,1
d44aee14,nodeBlacklistingEnabled:true,1
b210ea30,<*> <*> <*> <*> to <*> <*> <*> <*> <*> <*>,1
69c4d5d5,<*> <*> <*> <*> for <*> <*>,3
d07f1c0f,OutputCommitter is <*>,1
851c4b85,All maps assigned. Ramping up all remaining reduces:1,1
1b20300f,Registering class <*> for class <*>,9
e5720760,<*> <*> event for <*> <*> <*> <*>,1
728bc99d,<*> Scheduling: <*> <*> <*> <*> AssignedReds:0 <*> CompletedReds:0 <*> <*> <*> RackLocal:3,3
c4155579,<*> <*> <*> 1,1
45610c54,"Slow ReadProcessor read fields took 65020ms (threshold=30000ms); ack: seqno: -2 status: SUCCESS status: ERROR downstreamAckTimeNanos: 0, targets: [<*>:50010, <*>:50010]",1
c0d6d178,<*> <*> to <*> <*>,1
11e786f5,<*> <*> for <*> <*> <*> <*> <*> <*> <*> <*> <*>,2
1424712e,Launching <*>,10
f42cee39,<*> is <*>,2
e81fe905,<*> <*> <*> <*> <*> to <*>,1
085e2c1f,Added <*> <*> <*> to <*> <*>,2
c38c4ca0,<*> <*> <*> for <*> <*> <*> <*>,2
5a8fa0df,IPC Server <*> on <*> <*>,2
e5dbfca2,<*> <*> <*> <*> <*> java.net.NoRouteToHostException: No Route to Host from MININT-FNANLI5/<*> to msra-sa-41:9000 failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost,2
28ce7f24,"maxContainerCapability: <memory:8192, vCores:32>",1
9a5b9207,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>:62267,1
85b7aa42,We launched 1 speculations. Sleeping 15000 milliseconds.,1
9d76e333,<*> <*> <*> to <*> <*>,1
f74a98e5,The <*> file on the remote FS is <*>,2
ccccf7e1,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/<*>:62260,1
dd251eaf,getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 <*> <*> knownNMs=4,7
1286e799,After Scheduling: PendingReds:1 <*> ScheduledReds:0 <*> AssignedReds:0 CompletedMaps:0 CompletedReds:0 <*> ContRel:0 <*> <*>,2
67baef91,KILLING attempt_1445144423722_0020_m_000001_0,1
00c4d4cc,IPC Server <*> <*>,2
1bcf3a54,TaskAttempt: <*> using containerId: <*> on NM: <*>,10
c42374e9,<*> Scheduling: PendingReds:1 <*> ScheduledReds:0 <*> AssignedReds:0 <*> CompletedReds:0 <*> <*> <*> RackLocal:3,1
66117c35,<*> TaskAttempt Transitioned from <*> to <*>,28
673d05bb,Using <*> <*> <*>,2
351812d3,<*> <*> <*> <*> <*> for <*> <*> <*>,10
c30d156d,Adding <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
1389d3ff,KILLING attempt_1445144423722_0020_m_000002_0,1
bd0e9643,adding path spec: <*>,2
e7cf15e4,<*> of <*> <*> <*>,1
edec79ac,Reduce slow start threshold not <*> <*> 1,130
700c656b,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)",1
26629842,<*> vCores:1>,2
9587ab30,Assigned container <*> to <*>,10
3cf49fdb,<*> <*> <*> for <*> <*>,3
a6d04ef6,Processing the event EventType: <*> for container <*> taskAttempt <*>,3
f26cc3a5,<*> <*> <*> at <*> <*>,1
de3a1b14,Got allocated containers 1,9
e0eda83f,<*> <*> on <*> <*> <*> <*> is <*>,1
38831b7b,After Scheduling: PendingReds:1 <*> ScheduledReds:0 <*> AssignedReds:0 CompletedMaps:0 CompletedReds:0 <*> ContRel:0 <*> RackLocal:3,6
e18f8ba7,<*> <*> <*> started <*> <*>,1
f016a94c,<*> <*> to <*> <*> <*> <*>,2
ddb565f2,ERROR IN CONTACTING RM.,147
829dd57b,<*> <*> <*> <*> <*> <*> for <*> <*>,10
b6feef5e,Error <*> <*> <*> <*>,1
