EventId,EventTemplate,Occurrences
8.22E+06,attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from ASSIGNED to RUNNING,1
24776693,"Recalculating schedule, headroom=<memory:5120, vCores:-22>",1
42629681,attempt_1445144423722_0020_m_000001_1 TaskAttempt Transitioned from NEW to UNASSIGNED,1
51135660,"Recalculating schedule, headroom=<memory:3072, vCores:-24>",1
62445561,After Scheduling: PendingReds:1 ScheduledMaps:7 ScheduledReds:0 AssignedMaps:3 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:3 ContRel:0 HostLocal:0 RackLocal:3,1
63756768,attempt_1445144423722_0020_m_000007_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,1
2.41E+97,attempt_1445144423722_0020_m_000000_0 TaskAttempt Transitioned from NEW to UNASSIGNED,1
001eab5b,"Error Recovery for block BP-1347369012-10.190.173.170-1444972147527:blk_1073743512_2731 in pipeline 10.86.169.121:50010, 10.190.173.170:50010: bad datanode 10.190.173.170:50010",1
0046d88f,JVM with ID : jvm_1445144423722_0020_m_000007 asked for a task,1
0144354c,Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000005 taskAttempt attempt_1445144423722_0020_m_000003_0,1
014778a7,attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,1
02ee363d,attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from NEW to UNASSIGNED,1
03159f72,Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000007_0 : 13562,1
04500f53,Task succeeded with attempt attempt_1445144423722_0020_m_000003_0,1
04b44295,Got allocated containers 1,9
058eb1ae,task_1445144423722_0020_m_000002 Task Transitioned from NEW to SCHEDULED,1
0594ecc2,Using mapred newApiCommitter.,1
0859dbfb,Http request log for http.requests.mapreduce is not defined,1
087dbfc2,IPC Server listener on 62260: starting,1
09d79c2f,Assigned container container_1445144423722_0020_01_000005 to attempt_1445144423722_0020_m_000003_0,1
09e96edc,attempt_1445144423722_0020_r_000000_0 TaskAttempt Transitioned from NEW to UNASSIGNED,1
09f888b9,"MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.",1
0a1bddef,Done acknowledgement from attempt_1445144423722_0020_m_000003_0,1
0aa7e3ae,Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000009 taskAttempt attempt_1445144423722_0020_m_000007_0,1
0cf3ed3e,IPC Server listener on 62270: starting,1
0d8e1cd5,Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000011 taskAttempt attempt_1445144423722_0020_m_000009_0,1
0e1a3213,Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,146
0e4b891d,attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,1
0f9e00e3,ATTEMPT_START task_1445144423722_0020_m_000004,1
