EventId,EventTemplate,Occurrences
82ea09ae,Created MRAppMaster for application appattempt_1445144423722_0020_000001,1
3c5bb15c,Executing with tokens:,1
92acadf7,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)",1
0594ecc2,Using mapred newApiCommitter.,1
c0c8618d,OutputCommitter set in config null,1
2ee5396c,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,1
ce079ea9,Registering class * for class *,8
3a03968c,Emitting job history data to the timeline server is not enabled,1
d79644a2,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,1
7ced323b,Default file system [hdfs://msra-sa-41:9000],3
ca7d7941,loaded properties from hadoop-metrics2.properties,1
20f003c9,job_1445144423722_0020Job Transitioned from * to *,3
10357c40,JOB_CREATE job_1445144423722_0020,1
2b3d75c5,yarn.client.max-cached-nodemanagers-proxies : 0,1
122857a4,ATTEMPT_START *,10
adf2a87d,KILLING *,3
fc657c96,MRAppMaster metrics system started,1
5cd9b0e8,Starting Socket Reader #1 for port *,2
c0cb96ff,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context *,2
17dc3b51,maxTaskFailuresPerNode is 3,1
916d4a74,Using callQueue class java.util.concurrent.LinkedBlockingQueue,2
e8090e05,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/<*>:62260,1
ccc17099,IPC Server Responder: starting,2
cc84ee30,Resolved * to /default-rack,39
9e8ad6ab,Scheduled snapshot period at 10 second(s).,1
d3121b5d,Adding job token for job_1445144423722_0020 to jobTokenSecretManager,1
58cb7afe,Number of reduces for job job_1445144423722_0020 = 1,1
09f888b9,"MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.",1
38c14f3b,Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,1
fb51feed,Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,1
361211a0,Upper limit on the thread pool size is 500,1
bdc2ec2a,Before Scheduling: PendingReds:1 ScheduledMaps:10 ScheduledReds:0 AssignedMaps:0 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:0 ContRel:0 HostLocal:0 RackLocal:0,1
6b77fa65,jetty-6.1.26,1
32df8be6,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>:62267,1
8b1732f5,nodeBlacklistingEnabled:true,1
93a481e4,blacklistDisablePercent is 33,1
602cb0dc,adding path spec: /ws/*,1
fc38bf1a,Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,1
90eb0db0,"Recalculating schedule, headroom=<memory:10240, vCores:-17>",2
e1b2cf9b,"Recalculating schedule, * *",129
23287a46,adding path spec: /mapreduce/*,1
5ba9445a,Registered webapp guice modules,1
d6c8d36f,Processing the event EventType: *,3
f9e5ef77,Processing the event EventType: * for container * taskAttempt *,13
3db84c40,"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:10240, vCores:-17> knownNMs=4",1
9e66b875,getResources() for application_1445144423722_0020: * release= * * * * * knownNMs=4,11
d4ff27f3,Diagnostics report from attempt_1445144423722_0020_m_000003_0: Container killed by the ApplicationMaster.,1
b2eddcb6,Diagnostics report from * Error: java.net.NoRouteToHostException: No Route to Host from MININT-FNANLI5/<*> to msra-sa-41:9000 failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost,4
b4ff2357,ERROR IN CONTACTING RM.,12
b4ff2357,ERROR IN CONTACTING RM.,135
c49b9ed8,Got allocated containers *,10
6e3a6141,Auth successful for job_1445144423722_0020 (auth:SIMPLE),10
0a1bddef,Done acknowledgement from attempt_1445144423722_0020_m_000003_0,1
a81458ea,Num completed Tasks: 1,1
b8a7457b,Progress of TaskAttempt * is : *,289
6620ff87,JVM with ID : * asked for a task,10
3a9285b5,JVM with ID: * given task: *,10
2ef07439,DataStreamer Exception,1
944f8887,Putting shuffle token in serviceData,1
c46c6757,IPC Server listener on * starting,2
dcd06e1a,Jetty bound to port 62267,1
c7f3ffdf,Connecting to ResourceManager at msra-sa-41/<*>:8030,1
a3ace14b,Assigned container * to *,10
0859dbfb,Http request log for http.requests.mapreduce is not defined,1
52525f06,* Task Transitioned from * to *,22
2ab05ca1,* TaskAttempt Transitioned from * to *,42
773f4a2b,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,130
31bfc913,Web app /mapreduce started at 62267,1
f15bb7b8,"Event Writer setup for JobId: job_1445144423722_0020, File: hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job_1445144423722_0020_1.jhist",1
e051b4cf,DefaultSpeculator.addSpeculativeAttempt -- we are speculating task_1445144423722_0020_m_000000,1
6e264523,We launched 1 speculations. Sleeping 15000 milliseconds.,1
8c4d0a72,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,1
a79a1702,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,1
a8927e0e,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),1
33976c49,The job-jar file on the remote FS is hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.jar,1
fd721325,Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for * seconds. Will retry shortly ...,326
a9986fb2,"Error Recovery for block BP-1347369012-<*>-1444972147527:blk_1073743512_2731 in pipeline <*>:50010, <*>:50010: bad datanode <*>:50010",1
2cfde040,* Scheduling: * * * * AssignedReds:0 * CompletedReds:0 * * * *,16
60d079c6,Adding #0 tokens and #1 secret keys for NM use for launching container,1
efe991f2,"Cannot assign container Container: [ContainerId: container_1445144423722_0020_01_000012, NodeId: MSRA-SA-39.fareast.corp.microsoft.com:28345, NodeHttpAddress: MSRA-SA-39.fareast.corp.microsoft.com:8042, Resource: <memory:1024, vCores:1>, Priority: 20, Token: Token { kind: ContainerToken, service: <*>:28345 }, ] for a map as either container memory less than required <memory:1024, vCores:1> or no pending map tasks - maps.isEmpty=true",1
65f1e337,"Slow ReadProcessor read fields took 65020ms (threshold=30000ms); ack: seqno: -2 status: SUCCESS status: ERROR downstreamAckTimeNanos: 0, targets: [<*>:50010, <*>:50010]",1
d0cf8682,"maxContainerCapability: <memory:8192, vCores:32>",1
62365dbe,queue: default,1
5f986200,"mapResourceRequest:<memory:1024, vCores:1>",1
3da042e6,"reduceResourceRequest:<memory:1024, vCores:1>",1
d53d812a,Launching *,10
ce3f1a40,Opening proxy : 04DN8IQ.fareast.corp.microsoft.com:54883,1
efd4c10c,Opening proxy : MININT-FNANLI5.fareast.corp.microsoft.com:52368,4
d009e6e5,Opening proxy : MSRA-SA-41.fareast.corp.microsoft.com:7109,6
c6a3285c,Opening proxy : MSRA-SA-39.fareast.corp.microsoft.com:28345,2
2dc833aa,Error writing History Event: org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent@7317849d,1
a83c59ee,Size of containertokens_dob is 1,1
04500f53,Task succeeded with attempt attempt_1445144423722_0020_m_000003_0,1
8a0a7b94,TaskAttempt: [attempt_1445144423722_0020_m_000000_0] using containerId: [container_1445144423722_0020_01_000002 on NM: [04DN8IQ.fareast.corp.microsoft.com:54883],1
b86d702e,TaskAttempt: * using containerId: * on NM: [MININT-FNANLI5.fareast.corp.microsoft.com:52368],2
bc406a0d,TaskAttempt: * using containerId: * on NM: [MSRA-SA-41.fareast.corp.microsoft.com:7109],5
171cbffe,TaskAttempt: * using containerId: * on NM: [MSRA-SA-39.fareast.corp.microsoft.com:28345],2
2712fdae,Container complete event for unknown container id container_1445144423722_0020_01_000012,1
83dc9e4a,DFSOutputStream ResponseProcessor exception for block BP-1347369012-<*>-1444972147527:blk_1073743512_2731,1
