EventId,EventTemplate,Occurrences
E1,<*> failures on node MININT-<*>,2
E10,Address change detected. Old: <*>/<*>:<*> New: <*>:<*>,476
E100,Task succeeded with attempt attempt_<*>,1
E101,Task: attempt_<*> - exited : java.net.NoRouteToHostException: No Route to Host from  MININT-<*>/<*> to <*>:<*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost,2
E102,task_<*> Task Transitioned from NEW to SCHEDULED,11
E103,task_<*> Task Transitioned from RUNNING to SUCCEEDED,1
E104,task_<*> Task Transitioned from SCHEDULED to RUNNING,10
E105,TaskAttempt: [attempt_<*>] using containerId: [container_<*>_<*>_<*>_<*> on NM: [<*>:<*>],10
E106,The job-conf file on the remote FS is <*>,1
E107,The job-jar file on the remote FS is hdfs://<*>,1
E108,"Thread Thread[eventHandlingThread,<*>,main] threw an Exception.",1
E109,Upper limit on the thread pool size is <*>,1
E11,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:0 ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,12
E110,Using callQueue class java.util.concurrent.LinkedBlockingQueue,2
E111,Using mapred newApiCommitter.,1
E112,We launched <*> speculations.  Sleeping <*> milliseconds.,1
E113,Web app /mapreduce started at <*>,1
E114,yarn.client.max-cached-nodemanagers-proxies : <*>,1
E12,All maps assigned. Ramping up all remaining reduces:<*>,1
E13,Assigned container container_<*> to attempt_<*>,10
E14,attempt_<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,10
E15,attempt_<*> TaskAttempt Transitioned from FAIL_CONTAINER_CLEANUP to FAIL_TASK_CLEANUP,2
E16,attempt_<*> TaskAttempt Transitioned from FAIL_TASK_CLEANUP to FAILED,2
E17,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED,14
E18,attempt_<*> TaskAttempt Transitioned from RUNNING to FAIL_CONTAINER_CLEANUP,2
E19,attempt_<*> TaskAttempt Transitioned from RUNNING to SUCCESS_CONTAINER_CLEANUP,1
E2,Added attempt_<*> to list of failed maps,2
E20,attempt_<*> TaskAttempt Transitioned from SUCCESS_CONTAINER_CLEANUP to SUCCEEDED,1
E21,attempt_<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,10
E22,ATTEMPT_START task_<*>,10
E23,Auth successful for job_<*> (auth:SIMPLE),10
E24,Before Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,5
E25,blacklistDisablePercent is <*>,1
E26,"Cannot assign container Container: [ContainerId: container_<*>, NodeId: <*>:<*>, NodeHttpAddress: <*>:<*>, Resource: <memory:<*>, vCores:<*>>, Priority: <*>, Token: Token { kind: ContainerToken, service: <*>:<*> }, ] for a map as either  container memory less than required <memory:<*>, vCores:<*>> or no pending map tasks - maps.isEmpty=true",1
E27,Connecting to ResourceManager at <*>/<*>:<*>,1
E28,Container complete event for unknown container id container_<*>,1
E29,Created MRAppMaster for application appattempt_<*>,1
E3,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,1
E30,DataStreamer Exception,1
E31,Default file system [hdfs://<*>:<*>],3
E32,DefaultSpeculator.addSpeculativeAttempt -- we are speculating task_<*>,1
E33,DFSOutputStream ResponseProcessor exception  for block BP-<*>:blk_<*>,1
E34,Diagnostics report from attempt_<*>: Container killed by the ApplicationMaster.,1
E35,Diagnostics report from attempt_<*>: Error: java.net.NoRouteToHostException: No Route to Host from  MININT-<*>/<*> to <*>:<*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost,4
E36,Done acknowledgement from attempt_<*>,1
E37,Emitting job history data to the timeline server is not enabled,1
E38,ERROR IN CONTACTING RM.,147
E39,"Error Recovery for block BP-<*>:blk_<*> in pipeline <*>:<*>, <*>:<*>: bad datanode <*>:<*>",1
E4,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,1
E40,Error writing History Event: org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent@<*>,1
E41,"Event Writer setup for JobId: job_<*>, File: hdfs://<*>",1
E42,Executing with tokens:,1
E43,Extract jar:file:<*> to <*>,1
E44,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds.  Will retry shortly ...,326
E45,"getResources() for application_<*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*>> knownNMs=<*>",12
E46,Got allocated containers <*>,10
E47,Http request log for http.requests.mapreduce is not defined,1
E48,Input size for job job_<*> = <*>. Number of splits = <*>,1
E49,Instantiated MRClientService at MININT-<*>/<*>:<*>,1
E5,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),1
E50,IPC Server listener on <*>: starting,2
