EventId,EventTemplate,Occurrences
78d7e5c0,setTodayTotalDetailSteps=1514045280000##0##549659##8661##16256##34018758,1
ed5cdbc7,<*> start <*>,3
ac4e8790,setTodayTotalDetailSteps=1514045160000##0##549659##8661##16256##33868758,1
b04797b2,setTodayTotalDetailSteps=1514042280000##7214##549659##8661##16256##31005759,1
1863d3b0,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,1
590664ca,setTodayTotalDetailSteps=1514044380000##7214##549659##8661##16256##33112771,1
de4ca9b6,clear(),1
8d50d20d,setTodayTotalDetailSteps=1514038560000##7068##548559##8661##16256##27287972,1
88fa24d6,setTodayTotalDetailSteps=1514038560000##7064##548557##8661##16256##27286970,1
89462028,setTodayTotalDetailSteps=1514045640000##0##549659##8661##16256##34397604,1
4dd1b509,setTodayTotalDetailSteps=1514045100000##0##549659##8661##16256##33821183,1
d3e3970c,setTodayTotalDetailSteps=1514038440000##7050##548365##8661##16066##27199969,1
a28aad91,<*> <*> <*> <*> <*> <*> <*> is 1 <*> <*> <*>,2
7757427e,flush2DB result success,1
7845e774,setTodayTotalDetailSteps=1514043660000##7214##549659##8661##16256##32403526,1
b78048a7,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,1
df95d05e,setTodayTotalDetailSteps=1514041980000##7208##549659##8661##16256##30731232,1
45f9a5e1,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,1
a9bdd6ac,setTodayTotalDetailSteps=1514038560000##7083##548568##8661##16256##27311472,1
5ae5dffa,setTodayTotalDetailSteps=1514044500000##7214##549659##8661##16256##33232763,1
cc0ecddb,setTodayTotalDetailSteps=1514040240000##7189##549659##8661##16256##28993578,1
341173ad,setTodayTotalDetailSteps=1514041980000##7202##549659##8661##16256##30730227,1
aa30e564,setTodayTotalDetailSteps=1514040780000##7189##549659##8661##16256##29539649,1
5d780d62,setTodayTotalDetailSteps=1514044320000##7214##549659##8661##16256##33075759,1
5c09139a,setTodayTotalDetailSteps=1514038440000##7042##548365##8661##15591##27195470,1
e90f0833,setTodayTotalDetailSteps=1514041560000##7189##549659##8661##16256##30270764,1
fbaee9b2,timeStamp <*>,5
53992e70,setTodayTotalDetailSteps=1514040720000##7189##549659##8661##16256##29437358,1
20293f84,setTodayTotalDetailSteps=1514038560000##7079##548566##8661##16256##27310473,1
4f04f319,processHandleBroadcastAction <*>,161
7ca632d2,REPORT : <*> <*> <*> 240,135
3e0b1878,setTodayTotalDetailSteps=1514045340000##0##549659##8661##16256##34054759,1
3106ae7b,setTodayTotalDetailSteps=1514038680000##7154##548920##8661##16256##27400475,1
0ada8f25,setTodayTotalDetailSteps=1514039400000##7189##549659##8661##16256##28163940,1
eac893df,flushTempCacheToDB by stand,1
e8ea99e5,"saveStatData() type <*> = 1513958400000,statClient = 2,who is 1",4
f539ccde,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,1
40176154,setTodayTotalDetailSteps=1514042880000##7214##549659##8661##16256##31588757,1
1abb2057,setTodayTotalDetailSteps=1514038560000##7075##548564##8661##16256##27309470,1
22ea94e0,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,1
ca84861e,setTodayTotalDetailSteps=1514040600000##7189##549659##8661##16256##29307585,1
e7bf8300,tryToReloadTodayBasicSteps1514044800223|3786|0|0,1
9bb3fa94,setTodayTotalDetailSteps=1514042160000##7214##549659##8661##16256##30905315,1
3d0903ea,setTodayTotalDetailSteps=1514039880000##7189##549659##8661##16256##28609933,1
0b49370e,next day:steps0mLastReport7214,1
b79feab3,setTodayTotalDetailSteps=1514041560000##7189##549659##8661##16256##30271693,1
0d11e3d9,setTodayTotalDetailSteps=1514038440000##7052##548365##8661##16161##27200470,1
c35376a0,"checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is 20171224 oldDay is 20171223",1
f9633db8,setTodayTotalDetailSteps=1514042100000##7214##549659##8661##16256##30827730,1
bd4ccab0,setTodayTotalDetailSteps=1514044380000##7214##549659##8661##16256##33129767,1
7080894a,setTodayTotalDetailSteps=1514041620000##7189##549659##8661##16256##30333554,1
04bff9ba,setTodayTotalDetailSteps=1514041980000##7198##549659##8661##16256##30729233,1
115ebd6f,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,1
ccc7cc41,reStartStepCounter,1
c279ed4f,setTodayTotalDetailSteps=1514038680000##7130##548890##8661##16256##27394969,1
a3399928,setTodayTotalDetailSteps=1514044380000##7214##549659##8661##16256##33119761,1
5df87103,setTodayTotalDetailSteps=1514043900000##7214##549659##8661##16256##32618758,1
a70e66b2,setTodayTotalDetailSteps=1514041980000##7211##549659##8661##16256##30731730,1
23783ca7,setTodayTotalDetailSteps=1514040660000##7189##549659##8661##16256##29410605,1
6d875734,setTodayTotalDetailSteps=1514039400000##7189##549659##8661##16256##28164276,1
ba4734ca,setTodayTotalDetailSteps=1514038680000##7132##548895##8661##16256##27395468,1
