LineId,Time,Component,Pid,Content,EventTemplate,EventId
1,20171223-22:15:29:606,Step_LSC,30002312,onStandStepChanged 3579,<*>,ff52c40c
2,20171223-22:15:29:615,Step_LSC,30002312,onExtend:1514038530000 14 0 4,onExtend:1514038530000 14 0 4,508db152
3,20171223-22:15:29:633,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,onReceive action: android.intent.action.SCREEN_ON,b080c338
4,20171223-22:15:29:635,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,dd5e8a75
5,20171223-22:15:29:635,Step_StandStepCounter,30002312,flush sensor data,flush sensor data,b8f897f8
6,20171223-22:15:29:635,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,getTodayTotalDetailSteps =,2ef25739
7,20171223-22:15:29:636,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,<*>,ff52c40c
8,20171223-22:15:29:636,Step_LSC,30002312,onStandStepChanged 3579,<*>,ff52c40c
9,20171223-22:15:29:645,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126775,<*>,ff52c40c
10,20171223-22:15:29:648,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
11,20171223-22:15:29:649,Step_StandReportReceiver,30002312,REPORT : 7007 5002 150089 240,REPORT :,629d6f79
12,20171223-22:15:29:737,Step_LSC,30002312,onExtend:1514038530000 0 0 4,onExtend:1514038530000 0 0 4,db886bff
13,20171223-22:15:29:738,Step_LSC,30002312,onStandStepChanged 3579,<*>,ff52c40c
14,20171223-22:15:29:792,Step_LSC,30002312,onStandStepChanged 3580,<*>,ff52c40c
15,20171223-22:15:29:800,Step_LSC,30002312,onExtend:1514038530000 1 0 4,onExtend:1514038530000 1 0 4,a29af33e
16,20171223-22:15:29:950,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,getTodayTotalDetailSteps =,2ef25739
17,20171223-22:15:29:950,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,<*>,ff52c40c
18,20171223-22:15:29:959,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126797,<*>,ff52c40c
19,20171223-22:15:29:962,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
20,20171223-22:15:29:962,Step_StandReportReceiver,30002312,REPORT : 7008 5003 150111 240,REPORT :,629d6f79
21,20171223-22:15:30:331,Step_LSC,30002312,onStandStepChanged 3581,<*>,ff52c40c
22,20171223-22:15:30:335,Step_LSC,30002312,onExtend:1514038531000 1 0 4,onExtend:1514038531000 1 0 4,6e53bca8
23,20171223-22:15:30:632,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,getTodayTotalDetailSteps =,2ef25739
24,20171223-22:15:30:632,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,<*>,ff52c40c
25,20171223-22:15:30:639,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126818,<*>,ff52c40c
26,20171223-22:15:30:641,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
27,20171223-22:15:30:642,Step_StandReportReceiver,30002312,REPORT : 7009 5004 150132 240,REPORT :,629d6f79
28,20171223-22:15:30:841,Step_LSC,30002312,onStandStepChanged 3583,<*>,ff52c40c
29,20171223-22:15:30:858,Step_LSC,30002312,onExtend:1514038531000 2 0 4,onExtend:1514038531000 2 0 4,e6815545
30,20171223-22:15:31:142,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,getTodayTotalDetailSteps =,2ef25739
31,20171223-22:15:31:143,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,<*>,ff52c40c
32,20171223-22:15:31:157,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126861,<*>,ff52c40c
33,20171223-22:15:31:160,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,<*>,ff52c40c
34,20171223-22:15:31:160,Step_StandReportReceiver,30002312,REPORT : 7011 5005 150175 240,REPORT :,629d6f79
35,20171223-22:15:31:841,Step_LSC,30002312,onStandStepChanged 3584,<*>,ff52c40c
