EventId,EventTemplate,Occurrences
ff52c40c,<*>,1169
508db152,onExtend:1514038530000 14 0 4,1
b080c338,onReceive action: android.intent.action.SCREEN_ON,17
dd5e8a75,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,17
b8f897f8,flush sensor data,17
2ef25739,getTodayTotalDetailSteps =,242
629d6f79,REPORT :,136
db886bff,onExtend:1514038530000 0 0 4,1
a29af33e,onExtend:1514038530000 1 0 4,1
6e53bca8,onExtend:1514038531000 1 0 4,1
e6815545,onExtend:1514038531000 2 0 4,1
3e65bed3,onExtend:1514038532000 1 0 4,1
4bd97414,onExtend:1514038533000 1 0 4,2
01aa5dcd,onExtend:1514038534000 1 0 4,1
d447ec07,onExtend:1514038535000 1 0 4,2
b891c816,onReceive action: android.intent.action.SCREEN_OFF,17
ffb006b5,"screen status unknown,think screen on",1
b416b463,onExtend:1514038536000 0 0 4,1
4e7d222e,onExtend:1514038536000 1 0 4,2
3aa44b19,onExtend:1514038537000 1 0 4,1
6e44696a,onExtend:1514038538000 1 0 4,2
690adadd,onExtend:1514038539000 1 0 4,2
aec258d1,onExtend:1514038540000 1 0 4,1
72a41cf8,onExtend:1514038541000 1 0 4,2
6c5010de,onExtend:1514038542000 1 0 4,2
c6ecbf76,onExtend:1514038543000 1 0 4,1
8f841706,onExtend:1514038544000 1 0 4,2
4664ebd0,onExtend:1514038545000 1 0 4,1
9df96938,onExtend:1514038546000 1 0 4,2
78b2201e,onExtend:1514038547000 1 0 4,1
c59d6246,onExtend:1514038548000 1 0 4,2
c1423c9a,onExtend:1514038549000 1 0 4,1
c4fb7e1f,onExtend:1514038550000 1 0 4,2
f6bd4ae7,onExtend:1514038551000 1 0 4,1
468d2f72,onExtend:1514038552000 2 0 4,1
3cc36ba4,onExtend:1514038553000 1 0 4,1
5ec38798,onExtend:1514038554000 2 0 4,1
68a95c93,onExtend:1514038555000 1 0 4,1
cad1bfa6,onExtend:1514038556000 2 0 4,2
23e9e34c,onExtend:1514038558000 1 0 4,1
4d17ce13,onExtend:1514038560000 1 0 4,1
d22d2f60,onExtend:1514038561000 0 0 0,1
ddb62e48,onExtend:1514038639000 0 0 4,1
5ed91a3e,onExtend:1514038641000 2 0 4,2
bcb37be7,onExtend:1514038642000 2 0 4,2
7ecadf08,onExtend:1514038643000 2 0 4,2
f4cee596,onExtend:1514038644000 2 0 4,2
0688924e,onExtend:1514038645000 1 0 4,1
01e50f99,onExtend:1514038645000 3 0 4,1
6aafab30,onExtend:1514038648000 0 0 0,1
c7e73796,onExtend:1514038665000 1 0 4,1
b2c49c00,onExtend:1514038666000 2 0 4,2
f35c5021,onExtend:1514038667000 2 0 4,2
f4e91066,onExtend:1514038668000 1 0 4,1
eb655d75,onExtend:1514038668000 2 0 4,1
912548eb,onExtend:1514038669000 2 0 4,2
aac9da3e,onExtend:1514038670000 2 0 4,2
3e367793,onExtend:1514038671000 1 0 4,1
706fd14f,onExtend:1514038671000 2 0 4,1
7b79fd5e,onExtend:1514038672000 2 0 4,2
fa296cc5,onExtend:1514038673000 1 0 4,1
ab0488e1,onExtend:1514038674000 1 0 4,1
58fd99d1,onExtend:1514038675000 1 0 4,1
a2bf9529,onExtend:1514038676000 1 0 4,1
a9eaacbf,onExtend:1514038677000 1 0 4,1
bc1dd069,onExtend:1514038678000 1 0 4,1
08440841,onExtend:1514038678000 2 0 4,1
4b9b56e1,onExtend:1514038680000 2 0 4,1
ebb41636,onExtend:1514038682000 1 0 4,1
8ee46654,onExtend:1514038683000 1 0 4,1
8d7e7c8c,onExtend:1514038686000 1 0 4,1
df33a111,onExtend:1514038686000 0 0 0,1
1253f580,onExtend:1514038748000 3 0 4,1
dbcc1d17,onExtend:1514038749000 5 0 4,1
582ad81c,onExtend:1514038749000 2 0 4,1
98a512ca,onExtend:1514038750000 2 0 4,2
ec23b8ad,onExtend:1514038751000 2 0 4,2
ebc7752f,onExtend:1514038752000 3 0 4,1
e2f94c1e,onExtend:1514038752000 4 0 4,1
44407a40,onExtend:1514038753000 1 0 4,1
