EventId,EventTemplate,Occurrences
8.43E+05,setTodayTotalDetailSteps=1514038740000##7189##549659##8661##16256##27460494,1
8440841,onExtend:1514038678000 2 0 4,1
12677650,onExtend:1514041086000 0 0 5,1
20106933,onExtend:1514044654000 0 0 5,1
2.53E+07,onExtend:1514042205000 0 0 5,1
54057645,setTodayTotalDetailSteps=1514038560000##7074##548563##8661##16256##27292475,1
77861528,onExtend:1514039575000 0 0 0,1
79972429,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,1
93193363,onExtend:1514043610000 0 0 5,1
95538643,setTodayTotalDetailSteps=1514039880000##7189##549659##8661##16256##28609933,1
97106020,REPORT : 7015 5008 150261 240,1
9.90E+12,REPORT : 7084 5057 151739 240,1
9.20E+21,setTodayTotalDetailSteps=1514041560000##7189##549659##8661##16256##30315546,1
9.92E+68,setTodayTotalDetailSteps=1514038560000##7109##548585##8661##16256##27322469,1
7.18E+97,checkInsertStatus stepSum or calorieSum is enough,2
8.07E+280,REPORT : 7173 5121 153645 240,1
2.25E+292,setTodayTotalDetailSteps=1514044380000##7214##549659##8661##16256##33140770,1
007a0076,onExtend:1514043967000 0 0 5,1
00d03c97,tryToRecordAsBasicStepData bWrite true,1
01a78960,setTodayTotalDetailSteps=1514040600000##7189##549659##8661##16256##29307585,1
01aa5dcd,onExtend:1514038534000 1 0 4,1
01e50f99,onExtend:1514038645000 3 0 4,1
02d29f24,setTodayTotalDetailSteps=1514038440000##7036##548365##8661##15021##27190970,1
03a21551,isScreenOn true,1
03c259bc,"startInsertSportSync start auto sync,app is 1",2
042d7a7a,setWriteDBLastDataMinute success,1
04abe504,onExtend:1514044469000 0 0 0,1
04e282db,setTodayTotalDetailSteps=1514043660000##7214##549659##8661##16256##32403526,1
04f1ea7d,setTodayTotalDetailSteps=1514038680000##7154##548920##8661##16256##27400475,1
0500b539,onExtend:1514044588000 0 0 5,1
05cf75ba,REPORT : 7191 5134 154031 240,1
0635a938,flushTempCacheToDB by stand,1
0688924e,onExtend:1514038645000 1 0 4,1
06a20828,processHandleBroadcastAction action:android.intent.action.TIME_TICK,144
07069f12,onExtend:1514044422000 0 0 0,1
0757dff5,onExtend:1514039590000 0 0 5,1
07aeb75c,onExtend:1514041902000 0 0 5,1
07f138ed,onExtend:1514041626000 0 0 5,1
08d7787b,setTodayTotalDetailSteps=1514044380000##7214##549659##8661##16256##33118758,1
093bd3bc,setTodayTotalDetailSteps=1514038440000##7052##548365##8661##16161##27200470,1
09dafd74,onExtend:1514043974000 0 0 0,1
0a133f16,setTodayTotalDetailSteps=1514038620000##7111##548640##8661##16256##27324478,1
0a756428,setTodayTotalDetailSteps=1514046240000##0##549659##8661##16256##34960758,1
0a9e5284,onExtend:1514038813000 0 0 0,1
0b17170a,setTodayTotalDetailSteps=1514038560000##7081##548567##8661##16256##27310970,1
0b27259d,REPORT : 7154 5107 153238 240,1
0cdc4275,setTodayTotalDetailSteps=1514038560000##7090##548572##8661##16256##27313468,1
0d253f26,REPORT : 7188 5132 153966 240,1
0d2ef7a0, getDiffTotalSteps= 1514044800231##0,1
0d7f3c15,insertHiHealthData() end totalTime = 94,1
0d8fdfba,REPORT : 7186 5130 153924 240,1
0da159ce,writeDataToDB size 327,1
0da5c16c,setTodayTotalDetailSteps=1514038440000##7044##548365##8661##15686##27196480,1
0dd728a7,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,1
0e44cce8,REPORT : 7086 5059 151782 240,1
0e7c017e,onExtend:1514041386000 0 0 5,1
0eff0698,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,1
0fcde68a,REPORT : 7103 5071 152146 240,1
0ff24285,"timeStamp back,extendReportTimeStamp=1514040836000",1
104e6c3c,onExtend:1514039977000 0 0 0,1
107d3d6f,REPORT : 7205 5144 154331 240,1
1124d006,onExtend:1514045410000 0 0 0,1
11b8eab9,setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471,1
120f86c9,setTodayTotalDetailSteps=1514046420000##0##549659##8661##16256##35149773,1
1253f580,onExtend:1514038748000 3 0 4,1
12dcbe34,onExtend:1514042022000 0 0 5,1
14cec044,"new date =20171223, type=40004,4800.935999999999,old=5112.0",1
