EventId,EventTemplate,Occurrences
93067dc4,onStandStepChanged <*>,260
3e662616,<*> <*> 0 <*>,273
252628f5,onReceive action: <*>,34
b0190ab5,processHandleBroadcastAction <*>,161
b8f897f8,flush sensor data,17
e0a83abb,getTodayTotalDetailSteps = <*>,242
a61adff4,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,1
93067dc4,calculateCaloriesWithCache <*>,260
9300ea38,calculateAltitudeWithCache <*>,241
cbcd504a,REPORT : <*> <*> <*> <*>,241
5cdf7db4,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,135
3e662616,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,273
93067dc4,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,260
93067dc4,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,260
3e662616,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,273
e0a83abb,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,242
8b4aebf1,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,1
9300ea38,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,241
cbcd504a,<*> true,241
5cdf7db4,"screen status unknown,think screen on",135
93067dc4,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,260
3e662616,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,273
e0a83abb,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,242
2f354e84,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,1
9300ea38,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,241
cbcd504a,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,241
5cdf7db4,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,135
93067dc4,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,260
3e662616,setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974,273
e0a83abb,setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972,242
0eff0698,setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467,1
9300ea38,setTodayTotalDetailSteps=1514038440000##7028##548365##8661##14261##27185977,241
cbcd504a,setTodayTotalDetailSteps=1514038440000##7029##548365##8661##14356##27186469,241
5cdf7db4,setTodayTotalDetailSteps=1514038440000##7030##548365##8661##14451##27187468,135
93067dc4,setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968,260
3e662616,setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471,273
e0a83abb,setTodayTotalDetailSteps=1514038440000##7033##548365##8661##14736##27189469,242
fa67cd9f,setTodayTotalDetailSteps=1514038440000##7034##548365##8661##14831##27189969,1
9300ea38,setTodayTotalDetailSteps=1514038440000##7035##548365##8661##14926##27190469,241
cbcd504a,setTodayTotalDetailSteps=1514038440000##7036##548365##8661##15021##27190970,241
5cdf7db4,setTodayTotalDetailSteps=1514038440000##7037##548365##8661##15116##27191969,135
93067dc4,setTodayTotalDetailSteps=1514038440000##7038##548365##8661##15211##27192478,260
3e662616,setTodayTotalDetailSteps=1514038440000##7039##548365##8661##15306##27192971,273
e0a83abb,setTodayTotalDetailSteps=1514038440000##7040##548365##8661##15401##27193971,242
b79a01c7,setTodayTotalDetailSteps=1514038440000##7041##548365##8661##15496##27194480,1
9300ea38,setTodayTotalDetailSteps=1514038440000##7042##548365##8661##15591##27195470,241
cbcd504a,setTodayTotalDetailSteps=1514038440000##7044##548365##8661##15686##27196480,241
5cdf7db4,setTodayTotalDetailSteps=1514038440000##7045##548365##8661##15781##27196970,135
93067dc4,setTodayTotalDetailSteps=1514038440000##7047##548365##8661##15876##27197972,260
3e662616,setTodayTotalDetailSteps=1514038440000##7048##548365##8661##15971##27198970,273
e0a83abb,setTodayTotalDetailSteps=1514038440000##7050##548365##8661##16066##27199969,242
e6723eaa,setTodayTotalDetailSteps=1514038440000##7052##548365##8661##16161##27200470,1
9300ea38,setTodayTotalDetailSteps=1514038440000##7053##548365##8661##16256##27202475,241
cbcd504a,setTodayTotalDetailSteps=1514038500000##7054##548458##8661##16256##27204469,241
5cdf7db4,setTodayTotalDetailSteps=1514038500000##7054##548551##8661##16256##27205469,135
93067dc4,setTodayTotalDetailSteps=1514038560000##7054##548552##8661##16256##27283470,260
3e662616,setTodayTotalDetailSteps=1514038560000##7056##548553##8661##16256##27284971,273
e0a83abb,setTodayTotalDetailSteps=1514038560000##7058##548554##8661##16256##27285475,242
a7a2ad5b,setTodayTotalDetailSteps=1514038560000##7060##548555##8661##16256##27285968,1
9300ea38,setTodayTotalDetailSteps=1514038560000##7062##548556##8661##16256##27286470,241
cbcd504a,setTodayTotalDetailSteps=1514038560000##7064##548557##8661##16256##27286970,241
5cdf7db4,setTodayTotalDetailSteps=1514038560000##7066##548558##8661##16256##27287469,135
93067dc4,setTodayTotalDetailSteps=1514038560000##7068##548559##8661##16256##27287972,260
3e662616,setTodayTotalDetailSteps=1514038560000##7070##548560##8661##16256##27288471,273
252628f5,setTodayTotalDetailSteps=1514038560000##7071##548561##8661##16256##27288973,34
93067dc4,setTodayTotalDetailSteps=1514038560000##7074##548562##8661##16256##27289470,260
3e662616,setTodayTotalDetailSteps=1514038560000##7074##548563##8661##16256##27292475,273
e0a83abb,setTodayTotalDetailSteps=1514038560000##7075##548564##8661##16256##27309470,242
441b824d,setTodayTotalDetailSteps=1514038560000##7077##548565##8661##16256##27309969,1
9300ea38,setTodayTotalDetailSteps=1514038560000##7079##548566##8661##16256##27310473,241
cbcd504a,setTodayTotalDetailSteps=1514038560000##7081##548567##8661##16256##27310970,241
1703b836,setTodayTotalDetailSteps=1514038560000##7083##548568##8661##16256##27311472,3
ffb006b5,setTodayTotalDetailSteps=1514038560000##7084##548569##8661##16256##27311970,1
5cdf7db4,setTodayTotalDetailSteps=1514038560000##7086##548570##8661##16256##27312467,135
252628f5,setTodayTotalDetailSteps=1514038560000##7088##548571##8661##16256##27312967,34
b0190ab5,setTodayTotalDetailSteps=1514038560000##7090##548572##8661##16256##27313468,161
b8f897f8,setTodayTotalDetailSteps=1514038560000##7092##548573##8661##16256##27313974,17
e0a83abb,setTodayTotalDetailSteps=1514038560000##7094##548574##8661##16256##27314468,242
f6c76fb8,setTodayTotalDetailSteps=1514038560000##7095##548575##8661##16256##27314968,1
93067dc4,setTodayTotalDetailSteps=1514038560000##7097##548576##8661##16256##27315469,260
9300ea38,setTodayTotalDetailSteps=1514038560000##7099##548577##8661##16256##27315983,241
cbcd504a,setTodayTotalDetailSteps=1514038560000##7101##548578##8661##16256##27316470,241
5cdf7db4,setTodayTotalDetailSteps=1514038560000##7102##548579##8661##16256##27317468,135
93067dc4,setTodayTotalDetailSteps=1514038560000##7103##548580##8661##16256##27318472,260
3e662616,setTodayTotalDetailSteps=1514038560000##7104##548581##8661##16256##27319473,273
