EventId,EventTemplate,Occurrences
a2d53eed,onStandStepChanged 3579,4
d41d8cd9,,352
b080c338,onReceive action: android.intent.action.SCREEN_ON,17
dd5e8a75,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,18
b8f897f8,flush sensor data,17
2ef25739,getTodayTotalDetailSteps =,242
ed8a735b,REPORT : 7008 5003 150111 240,2
49e93189,calculateAltitudeWithCache totalAltitude=240,217
a0b29d00,0 0 0,74
e041eac7,1 0 4,59
8b69b668,calculateCaloriesWithCache,32
b64d7bc6,onStandStepChanged 3581,2
01a78960,setTodayTotalDetailSteps=1514040600000##7189##549659##8661##16256##29307585,2
6dc04569,setTodayTotalDetailSteps=1514038440000##7039##548365##8661##15306##27192971,2
d53faf59,2 0 4,57
310efa9a,calculateCaloriesWithCache totalCalories=126861,2
1e4424af,REPORT : 240,133
3ba40b70,startTimer start autoSync,5
f5f4cee4,onStandStepChanged,37
a7a2ad5b,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,2
b891c816,onReceive action: android.intent.action.SCREEN_OFF,17
f64f76b6,onStandStepChanged 3589,5
e247564a,calculateCaloriesWithCache totalCalories=126989,4
2da129e6,checkInsertStatus or is enough,5
52e43acf,setTodayTotalDetailSteps=1514038680000##7117##548865##8661##16256##27392475,2
c3fa669a,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,2
0e1389b1,calculateCaloriesWithCache totalCalories=127139,2
b220a4b1,calculateCaloriesWithCache totalCalories=130052,4
edbac5dd,calculateCaloriesWithCache totalCalories=127246,2
f034e86a,"startInsertSportSync first 500 steps sync,do all sync",3
c1f5e07f,registersensorsuccess: true,2
3f9b4da2,ifCanSync not! no cloud version,6
d2d9a1fb,onStandStepChanged 3613,2
2dc093d5,setTodayTotalDetailSteps=1514038440000##7042##548365##8661##15591##27195470,2
ac0caad8,"upLoadOneMinuteDataToEngine time=25233976,0,1,0,20002",2
79d566a5,onStandStepChanged 3626,5
d01a3f34,processHandleBroadcastAction action:android.intent.action.TIME_TICK,144
bae965d7,calculateCaloriesWithCache totalCalories=127782,4
cd0ae213,calculateCaloriesWithCache totalCalories=127867,2
9adf04b9,setBasicStandardSteps basicStandardStep=3786 restartSteps=0,2
824b3d7b,"getAppContext() isAppValid health or wear, packageName = com.huawei.health",4
8d56c787,onStandStepChanged 3712,2
bbd47647,onStandStepChanged 3646,4
fb6c3dc8,onStandStepChanged 3655,2
71c57d39,setTodayTotalDetailSteps=1514038560000##7086##548570##8661##16256##27312467,2
8764d489,sendSyncFailedBroadcast,4
bf36bde2,= = 1 = 1,12
45827e3a,"timeStamp back,extendReportTimeStamp=1514039977000",2
71ffe66c,tryToReloadTodayBasicSteps1514044800223|3786|0|0,2
3fb3c71b,type =,3
857a74ff,calculateCaloriesWithCache totalCalories=129067,3
17074ea2,calculateCaloriesWithCache totalCalories=129923,4
d226526d,onStandStepChanged 3726,4
658cc0a4,onStandStepChanged 3732,4
d6bb1135,setTodayTotalDetailSteps=1514038680000##7160##548925##8661##16256##27442097,2
5fed72bf,getBinderPackageName packageName = com.huawei.health,9
8cf3e5bf,size = =,10
42cac58a,saveHealthDetailData() =,5
a77c9f3c,"new date =20171223,",17
960958ed,startListenerChange subscribeList = [1],4
9b0d93a6,stepSyncOrNot appSynTimes is 0,5
03c259bc,"startInsertSportSync start auto sync,app is 1",3
6e805a4c,needAutoSync autoSyncSwitch is open,5
e4156b58,"initDataPrivacy the dataPrivacy switch is open, start push health data!",10
f257f214,"initUserPrivacy the userPrivacy switch is open, start push user data!",6
1d4b8a6f,initUserPrivacy the userPrivacy is true,5
5adea2c2,calculateCaloriesWithCache totalCalories=130351,2
f299dfb0,onStandStepChanged 3761,60
1b3927e4,calculateCaloriesWithCache totalCalories=130673,49
10ab4b34,0 0 5,84
d67137ee,getTodaySportData mStepsRecordManager=com.huawei.health.g.c@8a2a501,6
a27c7886,onStandStepChanged 3774,2
46053b8c,onStandStepChanged 3786,73
4dcdad5d,calculateCaloriesWithCache totalCalories=131208,48
44ca4657,getTodayBasicStandardSteps= 1514018661124##0##3428,2
2ee447b7,calculateCaloriesWithCache totalCalories=0,24
5cb5da8c,calculateAltitudeWithCache totalAltitude=0,24
