LineId,Time,Component,Pid,Content,EventId,EventTemplate
1,20171223-22:15:29:606,Step_LSC,30002312,onStandStepChanged 3579,6ae1e559,onStandStepChanged *
2,20171223-22:15:29:615,Step_LSC,30002312,onExtend:1514038530000 14 0 4,4ea7a0bf,* * 0 *
3,20171223-22:15:29:633,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,b080c338,onReceive action: android.intent.action.SCREEN_ON
4,20171223-22:15:29:635,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,10b38f96,processHandleBroadcastAction *
5,20171223-22:15:29:635,Step_StandStepCounter,30002312,flush sensor data,b8f897f8,flush sensor data
6,20171223-22:15:29:635,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,35c89692,getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404
7,20171223-22:15:29:636,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,3389dae3,*
8,20171223-22:15:29:636,Step_LSC,30002312,onStandStepChanged 3579,6ae1e559,onStandStepChanged *
9,20171223-22:15:29:645,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126775,42d1fa40,* *
10,20171223-22:15:29:648,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
11,20171223-22:15:29:649,Step_StandReportReceiver,30002312,REPORT : 7007 5002 150089 240,e925e47d,REPORT : * * * *
12,20171223-22:15:29:737,Step_LSC,30002312,onExtend:1514038530000 0 0 4,4ea7a0bf,* * 0 *
13,20171223-22:15:29:738,Step_LSC,30002312,onStandStepChanged 3579,6ae1e559,onStandStepChanged *
14,20171223-22:15:29:792,Step_LSC,30002312,onStandStepChanged 3580,6ae1e559,onStandStepChanged *
15,20171223-22:15:29:800,Step_LSC,30002312,onExtend:1514038530000 1 0 4,4ea7a0bf,* * 0 *
16,20171223-22:15:29:950,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,b49b51b9,getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954
17,20171223-22:15:29:950,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,3389dae3,*
18,20171223-22:15:29:959,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126797,42d1fa40,* *
19,20171223-22:15:29:962,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
20,20171223-22:15:29:962,Step_StandReportReceiver,30002312,REPORT : 7008 5003 150111 240,e925e47d,REPORT : * * * *
21,20171223-22:15:30:331,Step_LSC,30002312,onStandStepChanged 3581,6ae1e559,onStandStepChanged *
22,20171223-22:15:30:335,Step_LSC,30002312,onExtend:1514038531000 1 0 4,4ea7a0bf,* * 0 *
23,20171223-22:15:30:632,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,03233f8e,getTodayTotalDetailSteps = *
24,20171223-22:15:30:632,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,3389dae3,*
25,20171223-22:15:30:639,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126818,42d1fa40,* *
26,20171223-22:15:30:641,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,42d1fa40,* *
27,20171223-22:15:30:642,Step_StandReportReceiver,30002312,REPORT : 7009 5004 150132 240,e925e47d,REPORT : * * * *
28,20171223-22:15:30:841,Step_LSC,30002312,onStandStepChanged 3583,6ae1e559,onStandStepChanged *
