LineId,Time,Component,Pid,Content,EventId,EventTemplate
1,20171223-22:15:29:606,Step_LSC,30002312,onStandStepChanged 3579,93067dc4,onStandStepChanged <*>
2,20171223-22:15:29:615,Step_LSC,30002312,onExtend:1514038530000 14 0 4,3e662616,<*> <*> 0 <*>
3,20171223-22:15:29:633,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,NONE,NONE
4,20171223-22:15:29:635,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,b0190ab5,processHandleBroadcastAction <*>
5,20171223-22:15:29:635,Step_StandStepCounter,30002312,flush sensor data,NONE,NONE
6,20171223-22:15:29:635,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,0abafcf6,<*> <*> = <*>
7,20171223-22:15:29:636,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,NONE,NONE
8,20171223-22:15:29:636,Step_LSC,30002312,onStandStepChanged 3579,93067dc4,onStandStepChanged <*>
9,20171223-22:15:29:645,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126775,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>
10,20171223-22:15:29:648,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240
11,20171223-22:15:29:649,Step_StandReportReceiver,30002312,REPORT : 7007 5002 150089 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240
12,20171223-22:15:29:737,Step_LSC,30002312,onExtend:1514038530000 0 0 4,fed117f9,onExtend:15140<*>000 0 0 <*>
13,20171223-22:15:29:738,Step_LSC,30002312,onStandStepChanged 3579,93067dc4,onStandStepChanged <*>
14,20171223-22:15:29:792,Step_LSC,30002312,onStandStepChanged 3580,93067dc4,onStandStepChanged <*>
15,20171223-22:15:29:800,Step_LSC,30002312,onExtend:1514038530000 1 0 4,3e662616,<*> <*> 0 <*>
16,20171223-22:15:29:950,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,0abafcf6,<*> <*> = <*>
