EventId,EventTemplate,Occurrences
f79162f3,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=,489
ff52c40c,<*>,462
115d0538,session opened for user cyrus by (uid=0),43
a757c0c2,ALERT exited abnormally with [1],43
6c6aa688,connection from at 2005,909
2a83a4ee,User unknown timed out after 900 seconds at Sat Jun 18 2005,1
46dc151b,Authentication failed from (): Permission denied in replay cache code,8
ed68f860,Authentication failed from (): Software caused connection abort,15
c859bc91,authentication failure; logname= uid=0 euid=0 tty=:0 ruser= rhost=,1
ee259d46,getpeername (ftpd): Transport endpoint is not connected,4
9998416d,warning: can't get client address: Connection reset by peer,2
4124b970,"klogd 1.4.1, log source = /proc/kmsg started.",1
33bc1ae2,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 EDT 2004,1
3c5b4adb,ACPI disabled because your bios is from 2000 and too old,1
2ec79755,Kernel command line: ro root=LABEL=/ rhgb quiet,1
6863e82e,hash table entries: 4096 bytes),3
1559494b,"Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)",1
e0661b3c,"There is already a security framework initialized, register_security failed.",1
19af522a,"Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)",1
0dcc7148,"Inode-cache hash table entries: 8192 (order: 3, 32768 bytes)",1
97d5ba9f,"CPU: L1 I cache: 16K, L1 D cache: 16K",1
7e048621,CPU: Intel Pentium III (Coppermine) stepping 06,1
1d8fe60a,Enabling fast FPU save and restore... done.,1
5de744ee,Enabling unmasked SIMD FPU exception support... done.,1
cd385546,"PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1",1
18330ef6,Linux Plug and Play Support v0.97 (c) Adam Belay,1
cafc1bbd,ACPI: ACPI tables contain no PCI IRQ routing entries,1
2e450820,PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0,1
f028e8c1,apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac),1
48462f84,pci_hotplug: PCI Hot Plug PCI Core version: 0.5,1
2e3d6c0c,isapnp: No Plug & Play device found,1
e27b23bc,Linux agpgart interface v0.100 (c) Dave Jones,1
