EventId,EventTemplate,Occurrences
71b66cb0,authentication failure; logname= uid=0 euid=0 <*> ruser= <*> <*>,440
b780997e,check pass; user unknown,117
71b66cb0,session <*> for user <*> <*> <*>,440
71b66cb0,ALERT exited abnormally with [1],440
71b66cb0,connection from <*> at <*> <*> <*> 2005,440
71b66cb0,User unknown timed out after 900 seconds at Sat Jun 18  2005,440
71b66cb0,cupsd <*> succeeded,440
71b66cb0,restart.,440
71b66cb0,Received SNMP packet(s) from ,440
71b66cb0,Authentication failed from (): Permission denied in replay cache code,440
71b66cb0,Kerberos authentication failed,440
71b66cb0,Authentication failed from  (): Software caused connection abort,440
71b66cb0,*** info [mice.c(1766)]:,440
5ecc02a2,imps2: Auto-detected intellimouse PS/2,246
5ecc02a2,ROOT LOGIN ON tty2,246
a757c0c2,<*> device node <*>,43
5ecc02a2,Couldn't authenticate user,246
5ecc02a2,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost= <*>,246
b780997e,"ANONYMOUS FTP LOGIN FROM , (anonymous)",117
71b66cb0,notify question section contains no SOA,440
b780997e,getpeername (ftpd): Transport endpoint is not connected,117
71b66cb0,warning: can't get client address: Connection reset by peer,440
b780997e,<*> startup succeeded,117
71b66cb0,"klogd 1.4.1, log source = /proc/kmsg started.",440
b780997e,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8  EDT 2004,117
71b66cb0,BIOS-provided physical RAM map:,440
b780997e,BIOS-e820: <*> - <*> (usable),117
71b66cb0,BIOS-e820: <*> - <*> (reserved),440
b780997e,0MB HIGHMEM available.,117
b780997e,126MB LOWMEM available.,117
b780997e,zapping low mappings.,117
71b66cb0,On node 0 totalpages: 32430,440
b780997e,"<*> zone: <*> pages, LIFO <*>",117
71b66cb0,DMI 2.3 present.,440
71b66cb0,ACPI disabled because your bios is from 2000 and too old,440
71b66cb0,You can enable it with acpi=force,440
b780997e,Built 1 zonelists,117
71b66cb0,Kernel command line: ro root=LABEL=/ rhgb quiet,440
b780997e,mapped 4G/4G trampoline to ffff3000.,117
71b66cb0,Initializing CPU#0,440
b780997e,"CPU 0 irqstacks, hard=02345000 soft=02344000",117
71b66cb0,<*> hash table entries: <*> <*> <*> <*> bytes),440
b780997e,Detected 731.219 MHz processor.,117
71b66cb0,Version 1.0.6 Starting,440
b780997e,Using tsc for high-res timesource,117
71b66cb0,Console: colour VGA+ 80x25,440
b780997e,"Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)",117
71b66cb0,Calibrating delay loop... 1445.88 BogoMIPS,440
b780997e,Security Scaffold v1.0.0 initialized,117
71b66cb0,SELinux:  Initializing.,440
b780997e,SELinux:  Starting in permissive mode,117
71b66cb0,"There is already a security framework initialized, register_security failed.",440
b780997e,Failure registering capabilities with the kernel,117
71b66cb0,selinux_register_security:  Registering secondary module capability,440
b780997e,Capability LSM initialized,117
71b66cb0,"Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)",440
b780997e,"CPU: L1 I cache: 16K, L1 D cache: 16K",117
71b66cb0,CPU: L2 cache: 256K,440
b780997e,Intel machine check <*> <*> <*> <*>,117
71b66cb0,CPU: Intel Pentium III (Coppermine) stepping 06,440
b780997e,Enabling fast FPU save and restore... done.,117
71b66cb0,Enabling unmasked SIMD FPU exception support... done.,440
b780997e,Checking 'hlt' instruction... OK.,117
71b66cb0,Initializing random number generator:  succeeded,440
b780997e,POSIX conformance testing by UNIFIX,117
71b66cb0,NET: Registered protocol family 16,440
b780997e,"PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1",117
71b66cb0,PCI: Using configuration type 1,440
b780997e,mtrr: v2.0 (20020519),117
71b66cb0,ACPI: Subsystem revision 20040326,440
b780997e,ACPI: Interpreter disabled.,117
71b66cb0,Linux Plug and Play Support v0.97 (c) Adam Belay,440
5ecc02a2,Starting pcmcia:  succeeded,246
5ecc02a2,usbcore: registered new driver <*>,246
a757c0c2,ACPI: ACPI tables contain no PCI IRQ routing entries,43
5ecc02a2,PCI: Invalid ACPI-PCI IRQ routing table,246
5ecc02a2,PCI: Probing PCI hardware <*> <*>,246
5ecc02a2,Transparent bridge - 0000:00:1e.0,246
5ecc02a2,PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0,246
a757c0c2,apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac),43
5ecc02a2,audit: initializing netlink socket (disabled),246
5ecc02a2,kernel.core_uses_pid = 1,246
59be1002,HCI daemon ver 2.4 started,909
59be1002,audit(1122475266.4294965305:0): initialized,909
59be1002,Setting network parameters:  succeeded,909
59be1002,sdpd v1.5 started,909
59be1002,"Total HugeTLB memory allocated, 0",909
59be1002,Bringing up loopback interface:  succeeded,909
59be1002,VFS: Disk quotas dquot_6.5.1,909
59be1002,SELinux:  Registering netfilter hooks,909
71b66cb0,Initializing Cryptographic API,440
5ecc02a2,pci_hotplug: PCI Hot Plug PCI Core version: 0.5,246
5ecc02a2,isapnp: Scanning for PnP cards...,246
59be1002,isapnp: No Plug & Play device found,909
59be1002,Real Time Clock Driver v1.12,909
59be1002,Linux agpgart interface v0.100 (c) Dave Jones,909
