LineId,Month,Date,Time,Level,Component,PID,Content,EventTemplate,EventId
1,Jun,14,15:16:01,combo,sshd(pam_unix),19939,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure ; logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = #spec#,2c627e45
2,Jun,14,15:16:02,combo,sshd(pam_unix),19937,check pass; user unknown,check pass ; user unknown,296af93f
3,Jun,14,15:16:02,combo,sshd(pam_unix),19937,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure ; logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = #spec#,2c627e45
4,Jun,15,02:04:59,combo,sshd(pam_unix),20882,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure ; logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = #spec# user = *,8c983cb5
5,Jun,15,02:04:59,combo,sshd(pam_unix),20884,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure ; logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = #spec# user = *,8c983cb5
6,Jun,15,02:04:59,combo,sshd(pam_unix),20883,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure ; logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = #spec# user = *,8c983cb5
7,Jun,15,02:04:59,combo,sshd(pam_unix),20885,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure ; logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = #spec# user = *,8c983cb5
8,Jun,15,02:04:59,combo,sshd(pam_unix),20886,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure ; logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = #spec# user = *,8c983cb5
9,Jun,15,02:04:59,combo,sshd(pam_unix),20892,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure ; logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = #spec# user = *,8c983cb5
10,Jun,15,02:04:59,combo,sshd(pam_unix),20893,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure ; logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = #spec# user = *,8c983cb5
11,Jun,15,02:04:59,combo,sshd(pam_unix),20896,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure ; logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = #spec# user = *,8c983cb5
