EventId,EventTemplate,Occurrences
2c627e45,authentication failure ; logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = #spec#,117
296af93f,check pass ; user unknown,117
8c983cb5,authentication failure ; logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = #spec# user = *,362
32bb9641,session opened for user * by ( uid = * ),122
c3515b88,session closed for user *,123
28924d6d,ALERT exited abnormally with [ 1 ],43
6e5b7fc0,connection from #spec# ( * ) at * * #spec# #spec# #spec#,200
ac0900f6,User unknown timed out after #spec# seconds at Sat Jun #spec# #spec# #spec#,1
e05fcc23,cupsd shutdown succeeded,6
95f7277d,* startup succeeded,14
6f97e9d4,restart.,7
24200c68,connection from #spec# ( ) at * * #spec# #spec# #spec#,617
6649d554,Received SNMP packet ( s ) from #spec#,1
c3663888,Authentication failed from #spec# ( #spec# ) : Permission denied in replay cache code,8
dea5ca56,Kerberos authentication failed,23
8b7e1c52,Authentication failed from #spec# ( #spec# ) : Software caused connection abort,15
fb34805a,connection from #spec# ( dsl-Chn-static- #spec# .touchtelindia.net ) at Sun Jul #spec# #spec# #spec#,46
5cf897dd,connection from #spec# ( #spec# .sh.interxion.inode.at ) at Sun Jul #spec# #spec# #spec#,23
5c6652a6,*** info [ mice.c ( 1766 ) ] :,1
6aa855f7,imps2 : Auto-detected intellimouse PS/2,1
a4389a03,session opened for user root by LOGIN ( uid = 0 ),1
e2234786,ROOT LOGIN ON tty2,1
c2e20395,* device node ' #spec# ',8
7606c9da,connection from #spec# ( host #spec# .maximumasp.com ) at Sat Jul #spec# #spec# #spec#,23
264b59c9,authentication failure ; logname = uid = 0 euid = 0 tty = : 0 ruser = rhost =,1
af7be2dc,Couldn ' t authenticate user,1
8ce53953,authentication failure ; logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = #spec# .nw.nuvox.net user = root,10
0dfb61aa,"ANONYMOUS FTP LOGIN FROM #spec# , ( anonymous )",2
a82d5ea6,notify question section contains no SOA,16
0fcef860,getpeername ( ftpd ) : Transport endpoint is not connected,4
4f9e0389,warning : can ' t get client address : Connection reset by peer,2
64d380da,"klogd 1.4.1 , log source = #spec# started.",1
3dc2b1fb,Linux version 2.6.5-1.358 ( bhcompile@bugs.build.redhat.com ) ( gcc version 3.3.3 #spec# ( Red Hat Linux 3.3.3-7 ) ) #1 Sat May #spec# #spec# EDT #spec#,1
de615978,BIOS-provided physical RAM map :,1
d136186c,BIOS-e820 : #spec# - #spec# ( * ),5
9b11616a,0MB HIGHMEM available.,1
6b643c98,126MB LOWMEM available.,1
42e1da55,zapping low mappings.,1
5f5214ca,On node #spec# totalpages : #spec#,1
23f7d703,"* zone : #spec# pages , LIFO batch : 1",2
1666aa2d,"Normal zone : #spec# pages , LIFO batch : 6",1
90cdab58,DMI 2.3 present.,1
9e0f0d59,ACPI disabled because your bios is from #spec# and too old,1
2dc02775,You can enable it with acpi = force,1
4327e26e,Built #spec# zonelists,1
