EventId,EventTemplate,Occurrences
4d4fca85,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,40
b780997e,check pass; user unknown,117
eb316653,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * *,309
c7dcf276,session opened for user * by (uid=0),28
d7779571,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,10
085b9acf,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,5
c3515b88,session closed for user *,123
a757c0c2,ALERT exited abnormally with [1],43
6e644e70,* * *,29
8e2c2785,connection from <*> * at * * * <*> 2005,909
7800ce37,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*> *,35
57c497f6,User unknown timed out after 900 seconds at Sat Jun 18 <*> 2005,1
b2f9c7a5,session opened for user test by (uid=509),1
2c065952,"CPU 0 irqstacks, hard=02345000 soft=02344000",1
ea8a8d97,PCI: Invalid ACPI-PCI IRQ routing table,1
9b11616a,0MB HIGHMEM available.,1
6b643c98,126MB LOWMEM available.,1
69c69733,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= *,52
4f67b71e,Received SNMP packet(s) from <*>,1
ba15a20a,* device node '/udev/vcsa2',4
736c0f7e,* device node '/udev/vcs2',4
853b751d,NET: Registered protocol family 16,1
607eef3d,PCI: Using configuration type 1,1
6f97e9d4,restart.,7
dea5ca56,Kerberos authentication failed,23
1d16b745,*** info [mice.c(1766)]:,1
c7dcf276,session opened for user * by (uid=0),58
b2f9c7a5,session opened for user test by (uid=509),35
6f6a192c,session opened for user root by LOGIN(uid=0),1
5b4c39d8,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com user=root,23
8c75c3f6,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=troi.bluesky-technologies.com user=root,5
f6e13a4d,Authentication failed from <*> (<*>): Permission denied in replay cache code,8
1a06754d,HCI daemon ver 2.4 started,1
4845b66c,mapped 4G/4G trampoline to ffff3000.,1
a82d5ea6,notify question section contains no SOA,16
8c537990,BIOS-provided physical RAM map:,1
a9678e83,On node 0 totalpages: 32430,1
fe3c862d,Initializing CPU#0,1
b6fd22c2,Detected 731.219 MHz processor.,1
c80127b9,imps2: Auto-detected intellimouse PS/2,1
03649f38,Couldn't authenticate user,1
42e1da55,zapping low mappings.,1
1f72ed8d,PCI: Probing PCI hardware,1
f73595e3,PCI: Probing PCI hardware (bus 00),1
5661f4eb,audit(1122475266.4294965305:0): initialized,1
e2234786,ROOT LOGIN ON tty2,1
cedf9d0b,"ANONYMOUS FTP LOGIN FROM <*>, (anonymous)",2
ee259d46,getpeername (ftpd): Transport endpoint is not connected,4
1559494b,"Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)",1
7e048621,CPU: Intel Pentium III (Coppermine) stepping 06,1
67e6196c,Intel machine check reporting enabled on CPU#0.,1
cafc1bbd,ACPI: ACPI tables contain no PCI IRQ routing entries,1
92d153f1,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-76-104-65.ebix.net.tw,10
d678ffa6,CPU: L2 cache: 256K,1
48462f84,pci_hotplug: PCI Hot Plug PCI Core version: 0.5,1
c859bc91,authentication failure; logname= uid=0 euid=0 tty=:0 ruser= rhost=,1
9998416d,warning: can't get client address: Connection reset by peer,2
e0661b3c,"There is already a security framework initialized, register_security failed.",1
d9f1af4c,Authentication failed from <*> (<*>): Software caused connection abort,15
29249ae3,You can enable it with acpi=force,1
85959353,Using tsc for high-res timesource,1
426f668c,SELinux: Starting in permissive mode,1
0ec1a17a,"DMA zone: 4096 pages, LIFO batch:1",1
9223a2bb,"Normal zone: 28334 pages, LIFO batch:6",1
20fb0ff0,"HighMem zone: 0 pages, LIFO batch:1",1
0dfe904f,Checking 'hlt' instruction... OK.,1
a5b547df,Console: colour VGA+ 80x25,1
158c34d8,SELinux: Initializing.,1
4ed240a7,ACPI: Subsystem revision 20040326,1
90cdab58,DMI 2.3 present.,1
8eff90b2,Calibrating delay loop... 1445.88 BogoMIPS,1
3c5e98a7,Security Scaffold v1.0.0 initialized,1
97d5ba9f,"CPU: L1 I cache: 16K, L1 D cache: 16K",1
cd385546,"PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1",1
2e450820,PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0,1
4124b970,"klogd 1.4.1, log source = /proc/kmsg started.",1
648f0d75,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 <*> EDT 2004,1
7e7cba5c,BIOS-e820: 0000000000000000 - 00000000000a0000 (usable),1
a31006da,Failure registering capabilities with the kernel,1
41ffccb1,selinux_register_security: Registering secondary module capability,1
53650236,Intel machine check architecture supported.,1
80734f26,Initializing random number generator: succeeded,1
60696e47,POSIX conformance testing by UNIFIX,1
6999d396,SELinux: Registering netfilter hooks,1
98908df9,"Total HugeTLB memory allocated, 0",1
4d73c3e7,VFS: Disk quotas dquot_6.5.1,1
4fb9993c,Transparent bridge - 0000:00:1e.0,1
2ec79755,Kernel command line: ro root=LABEL=/ rhgb quiet,1
19af522a,"Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)",1
38ec3ede,* hash table entries: * (order: * * bytes),2
3c5b4adb,ACPI disabled because your bios is from 2000 and too old,1
c32da529,PID hash table entries: 512 (order 9: 4096 bytes),1
454971b1,BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved),1
06555597,BIOS-e820: 0000000000100000 - 0000000007eae000 (usable),1
e5a1c142,BIOS-e820: * - * (reserved),2
01ffd44e,usbcore: registered new driver *,2
4b7e6959,audit: initializing netlink socket (disabled),1
2bf1954b,isapnp: Scanning for PnP cards...,1
a9d64ca2,Setting network parameters: succeeded,1
25be35b6,Real Time Clock Driver v1.12,1
f3b4bfda,Bringing up loopback interface: succeeded,1
1d8fe60a,Enabling fast FPU save and restore... done.,1
5de744ee,Enabling unmasked SIMD FPU exception support... done.,1
18330ef6,Linux Plug and Play Support v0.97 (c) Adam Belay,1
2e3d6c0c,isapnp: No Plug & Play device found,1
e27b23bc,Linux agpgart interface v0.100 (c) Dave Jones,1
f028e8c1,apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac),1
f296cad2,"Dquot-cache hash table entries: 1024 (order 0, 4096 bytes)",1
