EventId,EventTemplate,Occurrences
c26e144f,CCFile::copyFile fileName is <*> source <*> dest <*>,21
25be8b4b,<*> <*> <*> of the <*> <*> <*> <*> <*> <*> <*>,17
a26246c3,en0: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,2
83fee496,"Arranged view frame: {{0, 0}, {260, 877}}",1
2316ea46,WARNING: hibernate_page_list_setall skipped <*> xpmapped pages,2
7ea2be59,network changed: <*> <*>,3
11e815df,hibernate image path: /var/vm/sleepimage,2
eb9c8c34,"hibernate_alloc_pages act <*> inact <*> anon <*> throt 0, spec <*> wire <*> wireinit 39927",2
62e5fd77,<*> deny <*> <*>,6
e9b55a77,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> = <*>,4
007698dc,<*> <*> <*> <*> to <*> <*> <*> <*> <*> <*> <*> <*> <*>,26
bd539e71,<*> dealloc,17
e5b12c31,"NETWORK: requery, 0, 0, 0, 0, <*> items, fQueryRetries, 0, fLastRetryTimestamp, <*>",15
5ddae42f,<*> <*> <*> [lvl=2] <*> <*> <*> <*> <*> <*> <*> <*>,8
e4725d56,<*> <*> <*> <*> to <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
ac7d5202,<*> : <*> <*> <*>,8
ccc5a02c,"<*> <*> <*> 0, <*> <*> <*> <*> <*> <*>",2
a3e7b538,<*> <*> <*> <*> <*> from <*> to <*> <*> <*> <*> <*> <*>,2
4b7e73ca,[<*>] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
a2bb2598,DB <*> <*>,1
e0f4bcd3,<*> <*> <*> <*> <*> to <*> <*> <*>,3
261bd1ff,"<*> <*> <*> <*> <*> <*> <*> <*> 0, <*> <*> <*> <*> <*> <*>",1
9feb6985,(DiskStore.Normal:2382) 20cb04f 1.000086,1
cd3e80ad,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> to <*> <*>,1
482adc6d,CFNetwork SSLHandshake failed (-9802),1
5ec1a186,ARPT: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,11
e3ecd38a,AppleCamIn::handleWakeEvent_gated,15
4915da3f,<*> <*> signalled <*> <*> <*> <*> <*> <*> <*>,9
475bac69,<*> <*> <*> timed out <*> <*> <*> <*> <*>,1
aefaed9e,[HID] <*> <*> <*>,5
04229431,extension <*> -> (null),1
c58c201b,<*> <*> <*> took <*> <*>,1
5a70758b,<*> : <*> <*> <*> for <*> <*> <*> <*>,2
1e65ab9b,en0: <*> <*> <*> <*> <*> <*>,5
a0fb54be,ARPT: <*> <*>,6
2c552c0f,ARPT: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,9
19998637,hibernate_rebuild completed - took <*> msecs,1
69773227,CGXDisplayDidWakeNotification <*> posting kCGSDisplayDidWake,3
1a40301a,CCFile::captureLog,17
0bc308f5,hibernate_page_list_setall found pageCount <*>,2
7a450f27,<*> <*> <*> [lvl=2] <*> <*> <*> <*> <*>,2
ffe8d339,<IMMacNotificationCenterManager: <*> <*> <*> <*>,1
943c7d64,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> sec. to complete, <*> reads >= 0.5 sec.",2
