EventId,EventTemplate,Occurrences
22773ff0,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,17
bb921c91,Thermal pressure state: 1 Memory pressure state: 0,19
bf6f5aee,FA||Url||taskID[2019352994] dealloc,1
acf7ce4e,ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],1
dc002608,ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],1
1efcd8bb,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),2
6c323b07,"ARPT: 620749.901374: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': 0,",1
bdc379e1,"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096",1
6156a35d,ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,1
1ca51907,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,16
92121a91,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,15
b345ca7d,"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs",1
5b3c8ec6,AppleCamIn::systemWakeCall - messageType = 0xE0000340,53
a23397bf,"setting hostname to ""authorMacBook-Pro.local""",5
99b7fa6f,": scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds. Ignoring.",1
2fe4ad5c,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,7
0ab92622,[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
e615292e,": scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds. Ignoring.",1
005b6de9,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,7
b411f366,"PM response took 2010 ms (54, powerd)",1
af3af9b5,": scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438666 seconds. Ignoring.",1
0ed85490,"ARPT: 621131.293163: wl0: Roamed or switched channel, reason #8, bssid 5c:50:15:4c:18:13, last RSSI -64",1
e626b334,"ARPT: 621145.554555: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,",1
17e44c64,"ARPT: 621146.080894: wl0: wl_update_tcpkeep_seq: Original Seq: 3014995849, Ack: 2590995288, Win size: 4096",1
e3370825,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,7
c3327a77,": scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2165 seconds. Ignoring.",1
35902559,": scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 13090 seconds. Ignoring.",1
7c9ca2b5,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",11
8274cb77,"network_reachability_changed : network is not reachable, netbiosd is shutting down",1
2d0d617f,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
b16e2edb,": scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2039 seconds. Ignoring.",1
eb9520aa,(31211) deny network-outbound /private/var/run/mDNSResponder,1
419b59f4,ARPT: 621241.634070: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,1
5ab3dcf5,AirPort: Link Up on en0,4
89a0e3ec,": scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438274 seconds. Ignoring.",1
06e15a1f,": scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 1849 seconds. Ignoring.",1
77642aaf,Sandbox: (31229) deny(1) network-outbound /private/var/run/mDNSResponder,1
46fd3972,ARPT: 621342.242614: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],1
79153624,AirPort: Link Up on awdl0,9
09574291,ARPT: 621389.379319: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,1
17952dd2,AppleThunderboltGenericHAL::earlyWake - complete - took 0 milliseconds,8
f451703e,": scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438095 seconds. Ignoring.",1
dae05409,mDNS_DeregisterInterface: Frequent transitions for interface en0 (2607:F140:6000:0008:C6B3:01FF:FECD:467F),1
f579543f,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = 7,3
0b260c93,"ARPT: 621490.858770: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2119064372, Ack 3325040593, Win size 278",1
faa0650c,ARPT: 621490.890645: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],1
c1bded4e,ARPT: 621492.770239: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],1
b7a2d271,en0::IO80211Interface::postMessage bssid changed,10
04ddda2d,ARPT: 621542.378462: ARPT: Wake Reason: Wake on Scan offload,1
5805dd18,": scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 1268 seconds. Ignoring.",1
85b7ff35,": scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 12119 seconds. Ignoring.",1
f7c288b9,Thermal pressure state: 0 Memory pressure state: 0,20
b6b1e16e,": scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 437673 seconds. Ignoring.",1
a935221a,": scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 12087 seconds. Ignoring.",1
31fcada6,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,6
8a1cede8,mDNS_RegisterInterface: Frequent transitions for interface en0 (FE80:0000:0000:0000:C6B3:01FF:FECD:467F),3
016decae,AppleCamIn::wakeEventHandlerThread,20
b4c48cd7,"ARPT: 621686.164365: wl0: setup_keepalive: Local port: 62614, Remote port: 443",1
7e6ac9f5,ARPT: 621738.114066: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],1
15deb46a,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) when=2017-07-01 17:08:20 +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319),1
22e58d08,en0: channel changed to 1,11
f188c9c7,ARPT: 621799.252673: AQM agg results 0x8001 len hi/lo: 0x0 0x26 BAbitmap(0-3) 0 0 0 0,1
51d2c6dc,"CCFile::captureLog Received Capture notice id: 1498928900.759059, reason = AuthFail:sts:5_rsn:0",1
4f8a4efc,": scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 10602 seconds. Ignoring.",1
050de4e6,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,14
75353338,Unrecognized attribute value: t:AbchPersonItemType,8
11711000,Sandbox: (31328) deny(1) network-outbound /private/var/run/mDNSResponder,2
92473079,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain= Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",12
