EventId,EventTemplate,Occurrences
12656006,"setting hostname to ""authorMacBook-Pro.local""",5
13750862,**** [BroadcomBluetoothHostControllerUSBTransport][start] -- Completed (matched on Device) -- 0x6000 ****,1
14206528,"Path not allowed in target domain: type = pid, path = /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices//Contents/MacOS/ error = 147: The specified service did not ship in the requestor's bundle, origin = /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/",15
19741130,the url = http://baike.baidu.com/item/%E8%93%9D%E9%87%87%E5%92%8C/462624?fr=aladdin,1
55347804,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of 4321 bytes @ 48 took 0.607292 sec. to complete, 7 reads >= 0.5 sec.",1
66081686,en0::IO80211Interface::postMessage bssid changed,10
75040252,"Page bounds {{0, 0}, {400, 400}}",2
80406086,Captive: CNPluginHandler en0: Inactive,4
1.95E+184,"pages 554018, wire 418692, act 40000, inact 0, cleaned 0 spec 0, zf 0, throt 0, compr 112, xpmapped 40000",1
01be9be9,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = 8,1
01e3c96e,<IMMacNotificationCenterManager: 0x7ff1b2d17980>:    NC Disabled: NO,3
04f2c3ab,"Opened file /var/vm/sleepimage, size 1073741824, extents 3, maxio 2000000 ssd 1",1
0707189f,"ARPT: 712221.085635: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 70582765, Ack 3488103719, Win size 358",1
080f6f7f,Previous sleep cause: 5,15
084fd47c,"__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 *{2,2}",7
08d835ee,"2017-07-01 19:46:26.133 GoogleSoftwareUpdateAgent[31702/0x7000002a0000] [lvl=2] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] Checking with local engine: <KSUpdateEngine:0x100259c60 ticketStore=<KSPersistentTicketStore:0x100253770 store=<KSKeyedPersistentStore:0x100254d10 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" lockFile=<KSLockFile:0x100254d80 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO > >> processor=<KSActionProcessor:0x100259e70 delegate=<KSUpdateEngine:0x100259c60> isProcessing=NO actionsCompleted=0 progress=0.00 errors=0 currentActionErrors=0 events=0 currentActionEvents=0 actionQueue=( ) > delegate=(null) serverInfoStore=<KSServerPrivateInfoStore:0x1002594d0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> errors=0 >",1
09403b1c,"*{1,1} : BTLE scanner Powered Off",4
095b7fbc,"ARPT: 672113.005012: wl0: setup_keepalive: interval 258, retry_interval 30, retry_count 10",1
0a106606,"bitmap_size 0x7f0fc, previewSize 0x4028, writing 485676 pages @ 0x97144",1
0a237d9d,"PM response took 113 ms (24144, WeChat)",1
0a2ead24,CGXDisplayDidWakeNotification [723587602857832]: posting kCGSDisplayDidWake,1
0aa20a1f,"CCFile::captureLog Received Capture notice id: *{1,1} reason = *{1,1}",5
0aa86f21,"ARPT: 724869.297011: IOPMPowerSource Information: onWake,  SleepType: Normal Sleep,  'ExternalConnected': No, 'TimeRemaining': 4551,",1
0b0bc9b3,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of 4812 bytes @ 358800 took 1.053312 secs. to complete, 5 reads >= 1 sec.",1
0b27452f,CoreAnimation: timed out fence 5fe83,1
0b27f95e,QQ(10018) deny mach-lookup,6
0c678ffb,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
0cc03709,"ARPT: *{1,1} wl0: MDNS: IPV6 Addr: fe80:0:0:0:c6b3:1ff:fecd:467f",9
0d0b1565,"Sandbox: *{1,1} deny(1) network-outbound /private/var/run/mDNSResponder",29
0f65dd8d,"ARPT: *{1,1} AirPort_Brcm43xx::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake",12
0f6a13bc,"*{2,2} | I | VoipWrapper | DAVEngineImpl.cpp:1400:Close | close video chat. llFriendUIN = *{1,1}",4
