EventId,EventTemplate,Occurrences
fea8a7f7,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = 0,36
b7aaf5db,Thermal pressure state: <*> Memory pressure state: 0,39
bf6f5aee,FA||Url||taskID[2019352994] dealloc,1
8f8ef862,ARPT: <*> AirPort_Brcm43xx::syncPowerState: WWEN[enabled],12
39189f14,ARPT: <*> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],16
a65ff77f,<*> Frequent transitions for interface <*> <*>,9
8640a5a0,"ARPT: <*> IOPMPowerSource Information: <*> SleepType: Normal Sleep, 'ExternalConnected': <*> 'TimeRemaining': <*>",18
13c2a597,ARPT: <*> wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: 4096,6
98cfb00f,ARPT: <*> ARPT: Wake Reason: Wake on <*> <*>,11
1ca51907,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,16
92121a91,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,15
1ca51907,"ARPT: <*> wl0: MDNS: 0 SRV Recs, 0 TXT Recs",16
8d0bbd5d,AppleCamIn::systemWakeCall - messageType = <*>,9
dff6d2b2,setting hostname to <*>,56
91eeaa24,"<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",7
0d7e00fb,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,166
2fe4ad5c,<*> <<<< CRABS >>>> <*> [0x7f961cf08cf0] Byte flume reports host <*> <*>,7
acccd669,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,5
0d7e00fb,"PM response took <*> ms (54, powerd)",166
92121a91,"ARPT: <*> wl0: Roamed or switched channel, reason <*> bssid <*> last RSSI <*>",15
005b6de9,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,7
fea8a7f7,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",36
70e478c0,"network_reachability_changed : network is not reachable, netbiosd is shutting down",9
0d7e00fb,CCFile::captureLogRun() Exiting CCFile::captureLogRun,166
8f5dffe0,<*> deny network-outbound /private/var/run/mDNSResponder,4
8640a5a0,ARPT: <*> wl0: MDNS: IPV6 Addr: <*>,18
13c2a597,AirPort: Link Up on <*>,6
