EventId,EventTemplate,Occurrences
2785b2ae,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = unplug = 0,49
f7c288b9,Thermal pressure state: 0 Memory pressure state: 0,39
f81e9894,Host controller terminated,2
73938942,ARPT: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],12
65f843a6,ARPT: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],16
1efcd8bb,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),3
736d2d20,"ARPT: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': 0,",19
8627197b,ARPT: wl0: setup_keepalive: Seq: Ack: Win size: 4096,14
dd8c4f81,ARPT: ARPT: Wake Reason: Wake on Scan offload,11
1ca51907,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,16
92121a91,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,16
c1904ddb,"ARPT: wl0: MDNS: 0 SRV Recs, 0 TXT Recs",9
5b3c8ec6,AppleCamIn::systemWakeCall - messageType = 0xE0000340,54
a23397bf,"setting hostname to ""authorMacBook-Pro.local""",7
b4fa6259,": scheduler_evaluate_activity told me to run this job; however, but the start time isn't for seconds. Ignoring.",166
2fe4ad5c,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,7
2141de16,<<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,5
005b6de9,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,7
f51feceb,"PM response took ms (54, powerd)",11
9f6dc8a8,"ARPT: wl0: Roamed or switched channel, reason #8, bssid last RSSI",4
22f380e7,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x8000000000000000 to 0x4,15
7c9ca2b5,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",11
5d3b8c8e,AppleCamIn::handleWakeEvent_gated,16
2d0d617f,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
f75e182e,deny network-outbound /private/var/run/mDNSResponder,29
17863cde,ARPT: wl0: MDNS: IPV6 Addr:,32
79153624,AirPort: Link Up on awdl0,13
a297f260,Sandbox: deny(1) network-outbound /private/var/run/mDNSResponder,29
cced8d4f,ARPT: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],12
627ff77b,AppleThunderboltGenericHAL::earlyWake - complete - took 1 milliseconds,23
94fa9c3f,mDNS_DeregisterInterface: Frequent transitions for interface en0,6
a7d251fb,ARPT: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq Ack Win size 278,11
b7a2d271,en0::IO80211Interface::postMessage bssid changed,10
9c80dc8f,"Path not allowed in target domain: type = pid, path = /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices//Contents/MacOS/ error = 147: The specified service did not ship in the requestor's bundle, origin = /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/",22
bd5ad91c,<<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,24
8f782a0d,ARPT: wl0: setup_keepalive: Local port: Remote port: 443,8
642b38bb,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319),14
fd4aab6f,en0: channel changed to,36
76668a9a,ARPT: AQM agg results 0x8001 len hi/lo: 0x0 0x26 BAbitmap(0-3) 0 0 0 0,9
4f04e304,CCFile::captureLog Received Capture notice id: reason = AuthFail:sts:5_rsn:0,20
050de4e6,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,21
75353338,Unrecognized attribute value: t:AbchPersonItemType,9
92473079,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain= Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",12
37c8aee1,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",2
e55d449a,: BTLE scanner Powered On,12
c5fb0953,button report: 0x8002be0,13
21870877,: BTLE scanning started,3
bceb4345,"SecOSStatusWith error:[-50] Error Domain=NSOSStatusErrorDomain Code=-50 ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",9
ec6b9b15,Location icon should now be in state 'Inactive',37
cd805113,"ARPT: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10",11
bdec2dbc,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018,10
fddcfc77,"Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0",7
c6b40f22,Captive: [CNInfoNetworkActive:1748] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),3
209c69a9,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,17
076ba0da,11:46:19.229 : Finished generating hashes,2
499c0384,Captive: CNPluginHandler en0:,15
536aff1c,tcp_connection_destination_perform_socket_connect connectx to failed: [50] Network is down,4
57ec2813,AirPort: Link Down on en0. Reason 8 (Disassociated because station leaving).,5
1bf3d457,"USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3",12
ee8ee29b,CCXPCService::setStreamEventHandler Registered for notification callback.,2
f726bce2,Failed to read DnsConfig.,4
29ad22d3,Saw change in network reachability (isReachable=0),4
e9f3f528,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (0x01),8
8a5663f8,dnssd_clientstub ConnectToServer: connect()-> No of tries:,44
f63e1b3f,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,13
a5b9654b,"device_generate_lock_screen_screenshot: authw 0, 1440, 900] shield dev [1440,900]",4
ffe84640,Session 101800 destroyed,2
c5de5950,RTC: PowerByCalendarDate setting ignored,11
43a88d58,en0: 802.11d country code set to 'X3'.,6
3d441c49,QQ(10018) deny mach-lookup,9
43658a65,[HID] [MT] AppleMultitouchDevice::willTerminate entered,5
a7db0127,[21:22:43.147] mv_LowLevelCheckIfVideoPlayableUsingDecoder signalled err=-12956 (kFigMediaValidatorError_VideoCodecNotSupported) (video codec 1) at line 1921,2
7a896c20,PMStats: Hibernate read took 197 ms,2
1b7a983d,dnssd_clientstub ConnectToServer: connect() failed path:/var/run/mDNSResponder Socket:4 Err:-1 Errno:1 Operation not permitted,13
e3ccf25f,DB Path: /Users/xpc/Library/Containers//Data/Documents/contents/916639562/QQ.db,2
d2bf540c,"VDCAssistant: Found a camera (0x1430000005ac8290) , but was not able to start it up (0x0 -- (os/kern) successful)",2
cf2ccffd,handle_will_sleep_auth_and_shield_windows: Reordering authw 0x7fa823a04400(2004) (lock state: 3),2
f7cec1b1,"[lvl=2] Checking with path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/"" locked=NO > >> isProcessing=NO actionsCompleted=0 progress=0.00 errors=0 currentActionErrors=0 events=0 currentActionEvents=0 actionQueue=( ) > delegate=(null) path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> errors=0 >",3
9a66e7af,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor:,21
4d69df78,Error returned from iconservicesagent: (null),13
12c5563d,tcp_connection_tls_session_error_callback_imp __tcp_connection_tls_session_callback_write_block_invoke.434 error 22,8
ca501184,send_datagram_available_ping: pid 445 failed to act on a ping it dequeued before timing out.,26
47c5450b,enabling pid=30298 for plug-in (1.0) 131FE7ED-87F7-471D-8797-C11107688DF7 /System/Library/CoreServices/Weather.app/Contents/PlugIns/,2
fb7dc6f7,"device_generate_desktop_screenshot: authw 0x7fa823c89600(2000), shield 0x7fa8258cac00(2001)",3
94f032f5,[] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-8].],5
46ee67bf,"NETWORK: requery, 0, 0, 0, 0, items, fQueryRetries, 0, fLastRetryTimestamp,",21
9061729d,Previous sleep cause: 5,15
2068da72,Wake reason: RTC (Alarm),7
0951627c,AppleThunderboltNHIType2::prePCIWake - power up complete - took 1 us,16
cbd6026d,network changed: v6(en0:2607:f140:6000:8:c6b3:1ff:fecd:467f) DNS! Proxy SMB,8
ca84b1e1,hibernate_page_list_setall found pageCount 448015,2
dc3856c1,[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key,2
2408d977,"ChromeExistion main strSendMsg = {""websitekey"":false,""commandkey"":true,""browserkey"":true}",2
301c37a8,| I | VoipWrapper | DAVEngineImpl.cpp:1400:Close | close video chat. llFriendUIN = 1742124257.,4
c86dfdd9,Bluetooth -- LE is supported - Disable LE meta event,11
60f11759,: Discoverable mode changed to Off,3
3d0786d5,tcp_connection_handle_connect_conditions_bad failed: 3 - No network route,18
2bc0e2ba,21:58:33.765 ERROR: 177: timed out after 15.000s (0 0); mMajorChangePending=0,2
44545874,TBT W (2): 0x0040 [x],4
1efe32ce,network changed: DNS* Proxy,4
b5dd3697,ASL Sender Statistics,9
5eb0b4ff,"2017-07-02 15:46:40.697 GoogleSoftwareUpdateAgent[32432/0x7000002a0000] [lvl=2] -[KSUpdateEngine updateAllExceptProduct:] KSUpdateEngine updating all installed products, except:''.",2
b55176d9,jemmytest,4
f0a83c7f,FA||Url||taskID[2019353182] dealloc,2
612b792d,<<<< IQ-CA >>>> piqca_setUsePreQueue: rejecting report of layer being serviced - IQ has not yet begun to update,4
e869ae9b,itemasync_SetProperty signalled err=-12785 (kFigBaseObjectError_Invalidated) (invalidated) at /Library/Caches//Sources/CoreMedia//Prototypes/Player/FigPlayer_Async.c line 2306,9
7562e40d,KeychainGetICDPStatus: keychain: -25300,14
a9bfdd7f,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-1009 ""The Internet connection appears to be offline."" {Error Domain=kCFErrorDomainCFNetwork Code=-1009 ""The Internet connection appears to be offline."" NSErrorFailingURLKey=https:///dispatcher.arpc, _kCFStreamErrorCodeKey=8, _kCFStreamErrorDomainKey=12, NSLocalizedDescription=The Internet connection appears to be offline.}}, NSErrorFailingURLKey=https:///dispatcher.arpc, _kCFStreamErrorDomainKey=12, _kCFStreamErrorCodeKey=8, NSLocalizedDescription=The Internet connection appears to be offline.}",5
75e6bfe2,Error in CoreDragRemoveReceiveHandler: -1856,2
0212d95d,ARPT: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,9
