EventId,EventTemplate,Occurrences
3297072d,IOThunderboltSwitch < 0 > ( #spec# ) : : listenerCallback - Thunderbolt HPD packet for route = #spec# port = #spec# unplug = #spec#,36
6eafbec2,Thermal pressure state : #spec# Memory pressure state : #spec#,39
087b20bb,FA||Url||taskID [ * ] dealloc,17
dccefc2c,ARPT : * : AirPort_Brcm43xx : : syncPowerState : WWEN [ enabled ],12
0d6ef329,ARPT : * : AirPort_Brcm43xx : : platformWoWEnable : WWEN [ disable ],16
ec9e1637,* : Frequent transitions for interface awdl0 ( FE80 : 0000 : 0000 : 0000 : D8A5 : 90FF : FEF5 : 7FFF ),3
07d7bec8,"ARPT : * : IOPMPowerSource Information : onSleep , SleepType : Normal Sleep , ' ExternalConnected ' : Yes , ' TimeRemaining ' : 0 ,",7
13f2f779,"ARPT : 620750.434035 : wl0 : wl_update_tcpkeep_seq : Original Seq : 3226706533 , Ack : 3871687177 , Win size : #spec#",1
c58b5cde,ARPT : * : ARPT : Wake Reason : Wake on Scan offload,9
73256b94,__73- [ NetworkAnalyticsEngine observeValueForKeyPath : ofObject : change : context : ] _block_invoke unexpected switch value #spec#,16
f49c32e3,IO80211AWDLPeerManager : : setAwdlAutoMode Resuming AWDL,15
ecc08a6d,"ARPT : 620896.311264 : wl0 : MDNS : #spec# SRV Recs , #spec# TXT Recs",1
8261cdba,AppleCamIn : : systemWakeCall - messageType = #spec#,56
a23397bf,"setting hostname to ""authorMacBook-Pro.local""",5
8c1bfb7f,"#spec# : scheduler_evaluate_activity told me to run this job ; however , but the start time isn ' t for #spec# seconds. Ignoring.",165
1a9ac16b,CCIOReporterFormatter : : addRegistryChildToChannelDictionary streams #spec#,7
f0bf982c,[ 09 : 21 : 58.929 ] < < < < CRABS > > > > crabsFlumeHostAvailable : [ #spec# ] Byte flume reports host available again.,1
3ebb948d,AirPort : Link Down on awdl0. Reason #spec# ( Unspecified ) .,7
b8b99dc8,"PM response took #spec# ms ( 54 , powerd )",9
2d59b824,"ARPT : 621131.293163 : wl0 : Roamed or switched channel , reason #8 , bssid 5c : 50 : 15 : 4c : 18 : 13 , last RSSI -64",1
cb6eddc6,"ARPT : 621146.080894 : wl0 : wl_update_tcpkeep_seq : Original Seq : 3014995849 , Ack : 2590995288 , Win size : #spec#",1
8e30ac6c,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from #spec# to #spec#,15
938e878e,"IO80211AWDLPeerManager : : setAwdlSuspendedMode ( ) Suspending AWDL , enterQuietMode ( true )",11
9960f815,"network_reachability_changed : network is not reachable , netbiosd is shutting down",1
3e6715e2,CCFile : : captureLogRun ( ) Exiting CCFile : : captureLogRun,22
f1fd7d4b,#spec# ( * ) deny network-outbound #spec#,29
5dc7dc8e,ARPT : 621241.634070 : wl0 : MDNS : IPV6 Addr : 2607 : f140 : 6000 : 8 : c6b3 : 1ff : fecd : 467f,1
60305ced,AirPort : Link Up on en0,4
74896495,Sandbox : #spec# ( * ) deny ( 1 ) network-outbound #spec#,29
c04d1c6d,ARPT : * : AirPort_Brcm43xx : : platformWoWEnable : WWEN [ enable ],12
a48db05e,AirPort : Link Up on awdl0,9
05f5c4b0,ARPT : 621389.379319 : wl0 : MDNS : IPV6 Addr : 2607 : f140 : 6000 : 8 : c6b3 : 1ff : fecd : 467f,1
b2eac4df,AppleThunderboltGenericHAL : : earlyWake - complete - took #spec# milliseconds,22
fa5cbf88,mDNS_DeregisterInterface : Frequent transitions for interface en0 ( 2607 : F140 : 6000 : 0008 : C6B3 : 01FF : FECD : 467F ),1
b4495122,AppleThunderboltNHIType2 : : waitForOk2Go2Sx - retries = #spec#,11
c0db3f16,"ARPT : 621490.858770 : wl0 : wl_update_tcpkeep_seq : Updated #spec# from UserClient Seq 2119064372 , Ack 3325040593 , Win size #spec#",1
b1ea1618,en0 : : IO80211Interface : : postMessage bssid changed,10
50e09ab6,AppleThunderboltNHIType2 : : waitForOk2Go2Sx - intel_rp = #spec# dlla_reporting_supported = #spec#,6
a3c165f6,mDNS_RegisterInterface : Frequent transitions for interface en0 ( FE80 : 0000 : 0000 : 0000 : C6B3 : 01FF : FECD : 467F ),3
881f3c82,* : : *,53
bc85caf5,"ARPT : 621686.164365 : wl0 : setup_keepalive : Local port : 62614 , Remote port : #spec#",1
278e845a,- [ UABestAppSuggestionManager notifyBestAppChanged : type : options : bundleIdentifier : activityType : dynamicIdentifier : when : confidence : deviceName : deviceIdentifier : deviceType : ] ( null ) UASuggestedActionType = 0 ( null ) / ( null ) opts = ( null ) when = 2017-07-01 #spec# +0000 confidence = 1 from = ( null ) / ( null ) ( UABestAppSuggestionManager.m #319 ),1
49fbcbe1,en0 : channel changed to #spec#,14
bedd8740,ARPT : 621799.252673 : AQM agg results #spec# len hi/lo : #spec# #spec# BAbitmap ( 0-3 ) #spec# 0 #spec# 0,1
9edb6093,"CCFile : : captureLog Received Capture notice id : * , reason = AuthFail : sts : 5_rsn : 0",15
2782e72c,IO80211AWDLPeerManager : : setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,14
8b19a29f,Unrecognized attribute value : t : AbchPersonItemType,8
cbc000a0,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure : Error Domain = #spec# Code = 1035 ""Account identity not set"" UserInfo = { NSDescription = Account identity not set }",12
df390674,"CFPasteboardRef CFPasteboardCreate ( CFAllocatorRef , CFStringRef ) : failed to create global data",2
b4e668df,10 : 46 : 47.425 : BTLE scanner Powered On,1
93344b6e,button report : #spec#,20
7f7bd6fa,11 : 20 : 51.293 : BTLE discovered device with hash < 01faa200 #spec# 0000 >,1
88129001,"securityd_xpc_dictionary_handler cloudd [ 326 ] copy_matching Error Domain = NSOSStatusErrorDomain Code = -50 ""query missing class name"" ( paramErr : error in user parameter list ) UserInfo = { NSDescription = query missing class name }",4
22866518,Location icon should now be in state ' * ',37
0a7a3ad5,"ARPT : * : wl0 : setup_keepalive : interval 900 , retry_interval 30 , retry_count #spec#",9
979039bb,ARPT : 626126.086246 : wl0 : MDNS : IPV4 Addr : #spec#,1
7623b5e8,__42- [ NETClientConnection evaluateCrazyIvan46 ] _block_invoke CI46 - Hit by torpedo! QQ.10018 tc19060 #spec#,1
5c5b046a,"Setting BTCoex Config : enable_2G : 1 , profile_2g : 0 , enable_5G : 1 , profile_5G : 0",7
9411349a,Captive : [ CNInfoNetworkActive : 1748 ] en0 : SSID ' CalVisitor ' making interface primary ( cache indicates network not captive ),3
ffb67223,IO80211AWDLPeerManager : : setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,6
4de07ebb,- [ NetworkAnalyticsEngine _writeJournalRecord : fromCellFingerprint : key : atLOI : ofKind : lqm : isFaulty : ] Hashing of the primary key failed. Dropping the journal record.,17
79f5ba8b,11 : 46 : 19.229 : Finished generating hashes,1
c0eac934,Captive : CNPluginHandler en0 : *,15
9c2bd72a,tcp_connection_destination_perform_socket_connect #spec# connectx to #spec# @0 failed : [ 50 ] Network is down,3
1d8d1c04,AirPort : Link Down on en0. Reason #spec# ( Disassociated because station leaving ) .,5
eb834366,11 : 49 : 29.473 : BTLE scanner Powered On,1
4968d77f,"USBMSC Identifier ( non-unique ) : #spec# #spec# #spec# #spec# , #spec#",12
e06807ec,CCXPCService : : setStreamEventHandler Registered for notification callback.,2
6120d87a,[ 0701/114930 : WARNING : dns_config_service_posix.cc ( 306 ) ] Failed to read DnsConfig.,1
753a7f7f,Saw change in network reachability ( isReachable = * ),4
993fa3cb,[HID] [ ATC ] AppleDeviceManagementHIDEventService : : processWakeReason Wake reason : Host ( #spec# ),8
ae4e42f5,en0 : BSSID changed to 5c : 50 : 15 : 36 : bc : 03,3
3925f246,dnssd_clientstub ConnectToServer : connect ( ) - > No of tries : #spec#,44
4a63014a,- [ NETClientConnection effectiveBundleID ] using process name * as bundle ID ( this is expected for daemons without bundle ID,13
14209989,"ARPT : 626625.204595 : wl0 : wl_update_tcpkeep_seq : Updated #spec# from UserClient Seq 3034132215 , Ack 528237229 , Win size #spec#",1
5fa01cf7,"RTC : Maintenance #spec# 19 : 52 : 56 , sleep #spec# #spec#",1
03c171d7,"en0 : channel changed to * , +1",6
669a129f,13 : 20 : 12.402 : BTLE scanner Powered On,1
16771da2,RTC : PowerByCalendarDate setting ignored,11
5a629cee,ARPT : 627141.702095 : wl0 : MDNS : IPV6 Addr : 2607 : f140 : 6000 : 8 : c6b3 : 1ff : fecd : 467f,1
576eace4,en0 : 802.11d country code set to ' X3 ' .,3
0615746f,"ARPT : 627305.613279 : wl0 : setup_keepalive : Seq : 1664112163 , Ack : 818851215 , Win size : #spec#",1
bae97ce2,QQ ( 10018 ) deny mach-lookup #spec#,6
fc4fe1a1,"RTC : Maintenance #spec# 21 : 52 : 00 , sleep #spec# #spec#",1
d53ee590,[HID] [ MT ] AppleMultitouchDevice : : * entered,4
ca6957a2,[ BluetoothHIDDeviceController ] *,3
b62e0b54,PMStats : Hibernate read took #spec# ms,1
85fbe749,dnssd_clientstub ConnectToServer : connect ( ) failed path : #spec# Socket : 4 Err : -1 Errno : 1 Operation not permitted,13
da712098,"pages 1471315 , wire 491253 , act 449877 , inact 3 , cleaned #spec# spec 5 , zf 23 , throt 0 , compr 345876 , xpmapped #spec#",1
da1865a9,"VDCAssistant : Found a camera ( #spec# ) , but was not able to start it up ( #spec# -- ( os/kern ) successful )",1
04c2cd95,handle_will_sleep_auth_and_shield_windows : Reordering authw #spec# ( 2004 ) ( lock state : 3 ),1
d55ccf05,"2017-07-01 19 : 46 : 26.133 GoogleSoftwareUpdateAgent [ 31702/ #spec# ] [ lvl = 2 ] - [ KSAgentApp ( KeystoneThread ) runKeystonesInThreadWithArg : ] Checking with local engine : < KSUpdateEngine : #spec# ticketStore = < KSPersistentTicketStore : #spec# store = < KSKeyedPersistentStore : #spec# path = "" #spec# "" lockFile = < KSLockFile : #spec# path = "" #spec# "" locked = NO > > > processor = < KSActionProcessor : #spec# delegate = < KSUpdateEngine : #spec# > isProcessing = NO actionsCompleted = 0 progress = 0.00 errors = 0 currentActionErrors = 0 events = 0 currentActionEvents = 0 actionQueue = ( ) > delegate = ( null ) serverInfoStore = < KSServerPrivateInfoStore : #spec# path = "" #spec# "" > errors = 0 >",1
1baa4eb0,- [ ISGenerateImageOp generateImageWithCompletion : ] Failed to composit image for descriptor < ISBindingImageDescriptor : #spec# > .,20
76f908e9,Error returned from iconservicesagent : ( null ),13
6f1aded6,tcp_connection_tls_session_error_callback_imp #spec# * error #spec#,9
aa8be70f,"SecOSStatusWith error : [ -50 ] Error Domain = NSOSStatusErrorDomain Code = -50 ""query missing class name"" ( paramErr : error in user parameter list ) UserInfo = { NSDescription = query missing class name }",5
5ce70f9b,send_datagram_available_ping : pid #spec# failed to act on a ping it dequeued before timing out.,26
9444a85f,WARNING : Type1 font data isn ' t in the correct format required by the Adobe Type #spec# Font Format specification.,1
cc7f00c0,"#spec# : #spec# : scheduler_evaluate_activity told me to run this job ; however , but the start time isn ' t for #spec# seconds. Ignoring.",1
3644be66,"device_generate_desktop_screenshot : authw #spec# ( 2000 ) , shield #spec# ( 2001 )",3
a12dd417,[ #spec# ] [ Refusing to parse response to PROPPATCH because of content-type : [ text/html ; charset = UTF-8 ] . ],5
1ce62965,"NETWORK : requery , 0 , 0 , 0 , 0 , 250 , items , fQueryRetries , 0 , fLastRetryTimestamp , 520665636.6",1
449a1f1a,"ARPT : 640362.070027 : wl0 : wl_update_tcpkeep_seq : Original Seq : 2000710617 , Ack : 2120985509 , Win size : #spec#",1
df464220,Previous sleep cause : #spec#,15
6d4eb62b,Wake reason : * ( * ),9
8b78eca7,AppleThunderboltNHIType2 : : prePCIWake - power up complete - took #spec# us,15
3c44704d,02 : 18 : 39.156 : BTLE scanner Powered On,1
8f5e4e4e,network changed : v4 ( en0- : #spec# ) v6 ( en0 : 2607 : f140 : 6000 : 8 : c6b3 : 1ff : fecd : 467f ) DNS! Proxy SMB,2
60ab764a,hibernate_page_list_setall found pageCount #spec#,2
089ce302,[HID] [ ATC ] [ Error ] AppleDeviceManagementHIDEventService : : start Could not make a string from out connection notification key,2
878cbe34,en0 : BSSID changed to 5c : 50 : 15 : 4c : 18 : 1c,1
e0885289,[ IOBluetoothFamily ] [ staticBluetoothTransportShowsUp ] -- Received Bluetooth Controller register service notification -- #spec#,1
2de11c4e,"NETWORK : requery , 0 , 0 , 0 , 0 , 250 , items , fQueryRetries , 0 , fLastRetryTimestamp , 520708962.7",1
