EventId,EventTemplate,Occurrences
e3107375,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = * unplug = 0,36
b08aa7e3,Thermal pressure state: * Memory pressure state: 0,39
42d1fa40,* *,42
d4550425,ARPT: * AirPort_Brcm43xx::syncPowerState: WWEN[enabled],12
5b3c8ec6,AppleCamIn::systemWakeCall - messageType = 0xE0000340,2
84825be8,"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for * seconds. Ignoring.",162
44f2eddb,* <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,3
8274cb77,"network_reachability_changed : network is not reachable, netbiosd is shutting down",1
1efcd8bb,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),2
1ca51907,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,15
a23397bf,"setting hostname to ""authorMacBook-Pro.local""",1
005b6de9,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,7
92121a91,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,3
2fe4ad5c,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,1
7c9ca2b5,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",10
2d0d617f,CCFile::captureLogRun() Exiting CCFile::captureLogRun,1
5c7415ab,ARPT: * AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],16
cd788217,"ARPT: * IOPMPowerSource Information: * SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': 0,",10
46a41743,ARPT: * wl0: wl_update_tcpkeep_seq: Original Seq: * Ack: * Win size: 4096,6
01903975,ARPT: * ARPT: Wake Reason: Wake on Scan offload,9
17952dd2,AppleThunderboltGenericHAL::earlyWake - complete - took 0 milliseconds,1
f579543f,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = 7,1
