EventId,EventTemplate,Occurrences
22773ff0,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,17
bb921c91,Thermal pressure state: 1 Memory pressure state: 0,19
42224b02,FA||Url||taskID[201935<*>] dealloc,17
a12569fb,ARPT: <*>: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],12
b21be901,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],16
dadf7a7e,<*> <*> for <*> <*>,16
0ce98313,<*> <*> <*> <*>,73
ec7482ca,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: 4096",6
c8276cce,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,9
1ca51907,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,16
92121a91,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,15
2a699bd4,"ARPT: <*>: wl0: MDNS: 0 SRV Recs, 0 TXT Recs",9
5b3c8ec6,AppleCamIn::systemWakeCall - messageType = 0xE0000340,53
a23397bf,"setting hostname to ""authorMacBook-Pro.local""",5
30d250d4,<*> <*> <*> <*> the <*> <*>,172
2fe4ad5c,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,7
c1211bd4,[<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,3
005b6de9,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,7
70e478c0,"PM response took <*> ms (54, powerd)",6
0895af4b,"ARPT: <*>: wl0: Roamed or switched channel, reason #<*>, bssid <*>, last RSSI -<*>",4
e3370825,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,7
7c9ca2b5,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",11
345a3ac3,<*> <*> <*> is <*>,2
2d0d617f,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
44e52f06,<*>(3<*>) deny network-outbound /private/var/run/mDNSResponder,29
0a75b622,ARPT: <*>: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,9
5ab3dcf5,AirPort: Link Up on en0,4
cf465a5a,Sandbox: <*>(3<*>) deny(1) network-outbound /private/var/run/mDNSResponder,29
e4204ce1,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],12
79153624,AirPort: Link Up on awdl0,9
17952dd2,AppleThunderboltGenericHAL::earlyWake - complete - took 0 milliseconds,8
ff034dff,mDNS_DeregisterInterface: Frequent transitions for interface en0 (<*>),3
e3b61a44,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = <*>,11
b27bf955,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*>, Ack <*>, Win size 278",8
b7a2d271,en0::IO80211Interface::postMessage bssid changed,10
f7c288b9,Thermal pressure state: 0 Memory pressure state: 0,20
31fcada6,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,6
8a1cede8,mDNS_RegisterInterface: Frequent transitions for interface en0 (FE80:0000:0000:0000:C6B3:01FF:FECD:467F),3
016decae,AppleCamIn::wakeEventHandlerThread,20
d3d43da1,"ARPT: <*>: wl0: setup_keepalive: Local port: <*>, Remote port: 443",5
ff8a3825,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) when=2017-07-0<*> <*> +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319),14
86f9b3d4,en0: channel changed to <*>,16
27cc6ebf,ARPT: <*>: AQM agg results 0x8001 len hi/lo: 0x0 0x26 BAbitmap(0-3) 0 0 0 0,6
50ea6b56,"CCFile::captureLog Received Capture notice id: 149<*>, reason = AuthFail:sts:5_rsn:0",15
050de4e6,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,14
75353338,Unrecognized attribute value: t:AbchPersonItemType,8
61cb43e6,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",12
bef658c0,<*> <*> <*> failed <*> <*>,4
409dc4a1,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 12 unplug = 0,19
0af63e74,<*> : BTLE scanner Powered On,8
c5fb0953,button report: 0x8002be0,7
48b41a73,"securityd_xpc_dictionary_handler cloudd[326] copy_matching Error Domain=NSOSStatusErrorDomain Code=-50 ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",4
ec6b9b15,Location icon should now be in state 'Inactive',20
17a97a16,"ARPT: <*>: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10",9
b84885ff,ARPT: <*>: wl0: MDNS: IPV4 Addr: <*>,4
8a265b2e,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc<*> <*>:14000,3
fddcfc77,"Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0",7
c6b40f22,Captive: [CNInfoNetworkActive:1748] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),3
9f75f22f,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,6
209c69a9,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,17
ddfd106f,<*> : <*>ed <*> hashes,4
7434df3c,Captive: CNPluginHandler en0: Evaluating,4
f5038e92,tcp_connection_destination_perform_socket_connect <*> connectx to <*>:<*>@0 failed: [50] Network is down,3
57ec2813,AirPort: Link Down on en0. Reason 8 (Disassociated because station leaving).,5
1bf3d457,"USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3",12
e9c3741c,[070<*>:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,4
b8777a99,Saw change in network reachability (isReachable=<*>),4
e9f3f528,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (0x01),8
de57cc71,en0: BSSID changed to 5c:50:15:36:bc:03,3
ba8a2eb8,dnssd_clientstub ConnectToServer: connect()-> No of tries: 1,15
f63e1b3f,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,9
b86a968f,"RTC: Maintenance <*> <*>, sleep <*> <*>",5
47cfe201,"en0: channel changed to 132,+1",4
c5de5950,RTC: PowerByCalendarDate setting ignored,11
1c4410e3,Location icon should now be in state 'Active',17
2683ec19,dnssd_clientstub ConnectToServer: connect()-> No of tries: 2,15
6f9633d6,en0: 802.11d country code set to '<*>'.,5
1f63827b,"ARPT: <*>: wl0: setup_keepalive: Seq: <*>, Ack: <*>, Win size: 4096",8
