EventId,EventTemplate,Occurrences
b5ddfe21,reverse mapping checking getaddrinfo for [] failed - POSSIBLE BREAK-IN ATTEMPT!,85
44eaa1e3,Invalid user webmaster from,2
b5c76b83,input_userauth_request: invalid user webmaster [preauth],2
0849a7d0,pam_unix(sshd:auth): check pass; user unknown,135
f9f72f81,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=,110
d47014da,Failed password for invalid user webmaster from port 38926 ssh2,1
b7d18025,Connection closed by [preauth],34
f9c13b37,Invalid user test9 from,1
72925f85,input_userauth_request: invalid user test9 [preauth],1
c3bdf6ff,Failed password for invalid user test9 from port 36060 ssh2,1
fa65e6f4,Received disconnect from : 11: Bye Bye [preauth],413
d127bcfd,Failed password for invalid user webmaster from port 39257 ssh2,1
7edb2726,Invalid user chen from,1
442cb468,input_userauth_request: invalid user chen [preauth],1
50a4981d,Failed password for invalid user chen from port 32484 ssh2,1
c93084c5,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=. user=root,1
6dccbf94,Failed password for root from port ssh2,368
abf9d62f,message repeated 5 times: [ Failed password for root from port 42393 ssh2],1
ea4aa83d,Disconnecting: Too many authentication failures for root [preauth],2
e50cd055,PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=. user=root,1
2dd88708,PAM service(sshd) ignoring max retries; 6 > 3,3
ad9003df,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost= user=root,368
3563e5bd,Invalid user pgadmin from,1
c6df8943,input_userauth_request: invalid user pgadmin [preauth],1
9c69ec52,Failed password for invalid user pgadmin from port 54087 ssh2,1
fa14b41a,Invalid user utsims from,1
bd7e4e2c,input_userauth_request: invalid user utsims [preauth],1
0732c7a6,Failed password for invalid user utsims from port 41506 ssh2,1
dfe1333b,Did not receive identification string from,10
0a4277bf,Invalid user inspur from,3
80e2501a,input_userauth_request: invalid user inspur [preauth],3
45ba62e7,Failed password for invalid user inspur from port 55204 ssh2,1
bce100ef,Invalid user support from,6
397e8932,input_userauth_request: invalid user support [preauth],6
2df82dd9,Failed password for invalid user support from port 56539 ssh2,1
b8813ae2,error: Received disconnect from : 3: : Auth fail [preauth],2
e77637f9,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost= user=uucp,5
5a0339e0,Failed password for uucp from port 59266 ssh2,1
18260b3c,Invalid user test from,5
2c76bdac,input_userauth_request: invalid user test [preauth],5
dd467743,Failed password for invalid user test from port 36060 ssh2,1
0ea7a57e,Failed password for invalid user support from port 58158 ssh2,1
8671ab38,Received disconnect from : 11: Closed due to user request. [preauth],7
7ad1a1d6,Failed password for invalid user inspur from port 47130 ssh2,1
ca7985e0,Invalid user 0101 from,1
d93e848e,input_userauth_request: invalid user 0101 [preauth],1
d13b0948,Failed password for invalid user 0101 from port 36279 ssh2,1
e30453a3,Invalid user 0 from,3
862ddc9d,input_userauth_request: invalid user 0 [preauth],3
8e16ae79,Failed none for invalid user 0 from port 49811 ssh2,1
b888482d,Failed password for invalid user 0 from port 49811 ssh2,1
cfa00e65,Invalid user 1234 from,3
387f1d7c,input_userauth_request: invalid user 1234 [preauth],3
799e83fa,Failed password for invalid user 1234 from port 45541 ssh2,1
9eda465d,Invalid user admin from,21
ceeca5d5,input_userauth_request: invalid user admin [preauth],21
2182e963,Failed none for invalid user admin from port 52631 ssh2,1
82103fd5,Failed password for invalid user admin from port 60682 ssh2,5
c42ca8f8,PAM 4 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=,4
3e662e18,PAM service(sshd) ignoring max retries; 5 > 3,4
87a4128d,Failed password for invalid user admin from port 59647 ssh2,5
eff6c9bf,Failed password for invalid user admin from port 56345 ssh2,1
28f6dcfc,Invalid user default from,1
596f3e42,input_userauth_request: invalid user default [preauth],1
aee10bde,Failed password for invalid user default from port 41538 ssh2,2
a3402f61,PAM 1 more authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=,2
5ee70aa7,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost= user=ftp,3
6fdfc06c,Failed password for ftp from port 54715 ssh2,1
b9a4a3cf,Invalid user guest from,3
63570961,input_userauth_request: invalid user guest [preauth],3
03562044,Failed password for invalid user guest from port 47337 ssh2,1
5954c5cd,Failed password for invalid user support from port 52644 ssh2,1
f5f95e3a,Failed password for uucp from port 51528 ssh2,1
436808f4,Failed password for invalid user admin from port 58447 ssh2,1
913dea59,message repeated 5 times: [ Failed password for root from port 50719 ssh2],1
