EventId,EventTemplate,Occurrences
5528285,Invalid user 1234 from,3
17649200,Invalid user abc from 187.141.143.180,1
18720384,PAM 1 more authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=,2
20286413,"Failed password for invalid user user from port *{1,1} ssh2",4
32341264,pam_unix(sshd:auth): check pass; user unknown,135
46299761,Failed password for invalid user admin from port 49673 ssh2,3
54436124,input_userauth_request: invalid user postgres1 [preauth],1
59253845,input_userauth_request: invalid user support [preauth],6
62729180,input_userauth_request: invalid user 123456 [preauth],1
84078106,Invalid user zhangyan from 183.62.140.253,1
94878157,"Failed password for invalid user magnos from port *{1,1} ssh2",2
95022287,Failed password for invalid user postgres1 from 187.141.143.180 port 45073 ssh2,1
002832eb,Failed password for invalid user redhat from 187.141.143.180 port 49479 ssh2,1
02e9ce61,Invalid user 123 from,2
03f08a09,Invalid user ubnt from,2
05deeed1,Invalid user test9 from 52.80.34.196,1
0965bbb0,Invalid user utsims from 112.95.230.3,1
1157fd28,Invalid user ted from 187.141.143.180,1
11ff332a,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost= user=ftp,3
13e3d3dd,"Failed password for ftp from port *{1,1} ssh2",3
146c55e8,input_userauth_request: invalid user ubnt [preauth],2
166da85a,Failed password for root from port 50655 ssh2,2
1704dd04,Invalid user Management from 103.99.0.122,1
1a2a35c0,Invalid user anonymous from,2
1b8d07f9,reverse mapping checking getaddrinfo for [] failed - POSSIBLE BREAK-IN ATTEMPT!,85
1b8d50e8,Failed password for invalid user ted from 187.141.143.180 port 59333 ssh2,1
1dab1ed4,Failed password for invalid user www from 187.141.143.180 port 56816 ssh2,1
1e9a4fa4,input_userauth_request: invalid user cyrus [preauth],1
2007c8f3,Invalid user test2 from 187.141.143.180,1
2121c8df,Failed password for invalid user test from 52.80.34.196 port 36060 ssh2,1
2222afcd,Failed password for invalid user eoor from 187.141.143.180 port 45825 ssh2,1
22356b77,input_userauth_request: invalid user deploy [preauth],2
26fb2dd8,Failed password for invalid user cheng from 202.100.179.208 port 32891 ssh2,1
27fdfadc,Invalid user operator from 103.99.0.122,1
288a2924,Failed password for invalid user dff from 183.62.140.253 port 33902 ssh2,1
29a7a5d5,Failed password for root from 183.62.140.253 port 39710 ssh2,1
2c7a1167,Invalid user support from,6
2ceca950,Failed password for invalid user cyrus from 187.141.143.180 port 33574 ssh2,1
2d88851e,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost= user=git,3
2f06061d,input_userauth_request: invalid user cisco [preauth],2
2f3224dd,Failed password for invalid user pgadmin from 112.95.230.3 port 54087 ssh2,1
3031942f,"Failed password for invalid user 1234 from port *{1,1} ssh2",3
30e5f1e2,PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=119.4.203.64,1
326ad472,Failed password for invalid user monitor from 103.99.0.122 port 59812 ssh2,1
32faae49,input_userauth_request: invalid user inspur [preauth],3
3588f866,input_userauth_request: invalid user guest [preauth],3
35ca9280,input_userauth_request: invalid user bssh [preauth],1
3707cb45,input_userauth_request: invalid user test [preauth],5
38277a2d,input_userauth_request: invalid user ingrid [preauth],1
391094d9,Failed password for invalid user abc from 187.141.143.180 port 58106 ssh2,1
3a2f6469,Received disconnect from : 11: Closed due to user request. [preauth],7
3ab74077,Failed password for invalid user Management from 103.99.0.122 port 55028 ssh2,1
3c4b6e96,input_userauth_request: invalid user  0101 [preauth],1
3ccd4526,Invalid user magnos from,2
3d25d1fe,input_userauth_request: invalid user postgres [preauth],1
407f158f,Failed password for invalid user PlcmSpIp from 103.99.0.122 port 51966 ssh2,1
421a0080,input_userauth_request: invalid user pi [preauth],1
42da03f1,Invalid user 123456 from 183.62.140.253,1
43464d90,Failed password for invalid user boot from 183.62.140.253 port 48976 ssh2,1
43fd6164,Failed password for invalid user  0101 from 5.188.10.180 port 36279 ssh2,1
442cb468,input_userauth_request: invalid user chen [preauth],1
456eddca,input_userauth_request: invalid user magnos [preauth],2
46077f92,Invalid user  0101 from 5.188.10.180,1
461adfa3,PAM 4 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=,4
4843c37b,Invalid user cisco from,2
49ed9f6e,Invalid user oracle from,6
4acd9a6c,Invalid user dff from 183.62.140.253,1
4b48b938,Failed password for invalid user api from 185.190.58.151 port 36894 ssh2,1
4c62e1fd,Invalid user www from 187.141.143.180,1
4ca88b08,pam_unix(sshd:session): session opened for user fztu by (uid=0),1
4d575fc5,Invalid user nagios from 187.141.143.180,1
4dc0f8a1,Invalid user butter from 187.141.143.180,1
4ea524ec,input_userauth_request: invalid user Management [preauth],1
503a63f5,Failed password for invalid user butter from 187.141.143.180 port 48369 ssh2,1
52ad5e36,Failed none for invalid user admin from 5.188.10.180 port 52631 ssh2,1
5537175c,Failed password for invalid user default from port 41538 ssh2,2
55a03420,Invalid user boot from 183.62.140.253,1
56777d92,Failed none for invalid user 0 from 5.188.10.180 port 49811 ssh2,1
56c6f5f4,Failed password for invalid user jay from 187.141.143.180 port 60259 ssh2,1
57f7e6f3,"Failed password for invalid user ubuntu from port *{1,1} ssh2",2
583d5e9d,Failed password for invalid user ingrid from 187.141.143.180 port 58682 ssh2,1
587bbf97,input_userauth_request: invalid user ghost [preauth],1
5884cc10,Failed password for invalid user ghost from 187.141.143.180 port 34759 ssh2,1
592320b4,"Failed password for mysql from port *{1,1} ssh2",2
5934618a,input_userauth_request: invalid user api [preauth],1
596f3e42,input_userauth_request: invalid user default [preauth],1
