EventId,EventTemplate,Occurrences
b5ddfe21,reverse mapping checking getaddrinfo for [] failed - POSSIBLE BREAK-IN ATTEMPT!,85
937949b7,Invalid user webmaster from ,2
b5c76b83,input_userauth_request: invalid user webmaster [preauth],2
0849a7d0,pam_unix(sshd:auth): check pass; user unknown,135
f9f72f81,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=,110
0e9df077,Failed password for invalid user webmaster from  port 38926 ssh2,1
9cb8797b,Connection closed by  [preauth],34
9cb8797b,Invalid user test9 from ,34
d8c61412,input_userauth_request: invalid user test9 [preauth],1
72925f85,Failed password for invalid user test9 from  port 36060 ssh2,1
0849a7d0,Received disconnect from : 11: Bye Bye [preauth],135
f9f72f81,Failed password for invalid user webmaster from  port 39257 ssh2,110
8248449c,Invalid user chen from ,1
fa65e6f4,input_userauth_request: invalid user chen [preauth],413
b5ddfe21,Failed password for invalid user chen from  port 32484 ssh2,85
937949b7,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=.  user=root,2
b5c76b83,Failed password for root from  port 42393 ssh2,2
0849a7d0,message repeated 5 times: [ Failed password for root from port <*> ssh2],135
f9f72f81,Disconnecting: Too many authentication failures for root [preauth],110
57b71c0c,PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= <*> user=root,1
9cb8797b,PAM service(sshd) ignoring max retries; 6 > 3,34
d461ee59,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost= user=root,1
442cb468,Failed password for root from  port 45378 ssh2,1
0849a7d0,Failed password for root from  port 47068 ssh2,135
f9f72f81,Failed password for root from  port 49188 ssh2,110
f5ece463,Failed password for root from  port 50999 ssh2,1
fa65e6f4,Failed password for root from  port 52660 ssh2,413
5cadcc1e,Invalid user pgadmin from ,1
f1ff2ea8,input_userauth_request: invalid user pgadmin [preauth],1
c845b811,Failed password for invalid user pgadmin from  port 54087 ssh2,2
ea4aa83d,Failed password for root from  port 55618 ssh2,2
216ab66c,Failed password for root from  port 57138 ssh2,2
2dd88708,Failed password for root from  port 58304 ssh2,3
ad9003df,Failed password for root from  port 59849 ssh2,368
72d1f97d,Failed password for root from  port 32977 ssh2,1
fa65e6f4,Failed password for root from  port 35113 ssh2,413
ad9003df,Failed password for root from  port 37035 ssh2,368
4bf84242,Failed password for root from  port 39041 ssh2,1
fa65e6f4,Failed password for root from  port 40388 ssh2,413
ad9003df,Invalid user utsims from ,368
13af7b23,input_userauth_request: invalid user utsims [preauth],1
fa65e6f4,Failed password for invalid user utsims from  port 41506 ssh2,413
ad9003df,Failed password for root from  port 42881 ssh2,368
dc352693,Failed password for root from  port 43981 ssh2,1
fa65e6f4,Failed password for root from  port 44900 ssh2,413
ad9003df,Failed password for root from  port 45699 ssh2,368
c4343ea3,Failed password for root from  port 46577 ssh2,1
fa65e6f4,Failed password for root from  port 47836 ssh2,413
4007402d,Failed password for root from  port 49133 ssh2,1
c6df8943,Failed password for root from  port 50655 ssh2,1
