EventId,EventTemplate,Occurrences
8e083b49,reverse mapping checking getaddrinfo for * [*] failed - POSSIBLE BREAK-IN ATTEMPT!,85
26804773,Invalid user * from *,113
af9ed66d,input_userauth_request invalid user * [preauth],113
f9422447,pam_unix(sshd auth) check pass; user unknown,135
19ee45ba,pam_unix(sshd auth) authentication failure; logname uid 0 euid 0 tty ssh ruser rhost *,494
fbb50e85,Failed password for invalid user * from * port * ssh2,135
3f2734d2,Connection closed by * [preauth],34
f7bc2434,Received disconnect from * 11 Bye Bye [preauth],413
0945ff42,Failed password for root from * port * ssh2,368
a074dbb5,message repeated 5 times [ Failed password for root from * port * ssh2],2
a645fda9,Disconnecting Too many authentication failures for * [preauth],3
65c68093,PAM * more authentication * logname uid 0 euid 0 tty ssh ruser rhost *,10
a4cc783d,PAM service(sshd) ignoring max retries; * > 3,7
160558c2,Did not receive identification string from *,10
04e48b84,error Received disconnect from * 3 * Auth fail [preauth],2
d8363ad8,Failed password for uucp from * port * ssh2,5
a228f97a,Received disconnect from * 11 Closed due to user request. [preauth],7
bde638b9,Failed none for invalid user * from * port * ssh2,4
9c78f82a,Failed password for ftp from * port * ssh2,3
701d48e9,error Received disconnect from * 14 No more user authentication methods available. [preauth],45
b9875447,Failed password for sshd from * port * ssh2,2
218600b8,Failed password for git from * port * ssh2,3
c404078c,Failed password for mysql from * port * ssh2,2
1279a66d,Accepted password for fztu from * port 49116 ssh2,1
3d4b7b05,pam_unix(sshd session) session * for user fztu *,2
62755419,Received disconnect from * 11 disconnected by user,1
e55c6b89,fatal Write failed Connection reset by peer [preauth],1
