EventId,EventTemplate,Occurrences
3ae6b5b9,"""GET HTTPstatus: len: time: .",931
3ae6b5b9,[instance: b-fea-b-bcc-ebcdd] VM Started (Lifecycle Event),931
3ae6b5b9,[instance: b-fea-b-bcc-ebcdd] VM Paused (Lifecycle Event),931
3ae6b5b9,[instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,931
3ae6b5b9,image dd-c-fbb-c-fbeb at (checking,931
3ae6b5b9,"image dd-c-fbb-c-fbeb at (in use: on this node  local,  on other nodes sharing this instance storage",931
a23b996f,Active base files: /var/lib/nova/instances/_base/acfcdabcbbace,1
da7fb98f,Creating event network-vif-plugged:effd-cd--bddd-fb for instance b-fea-b-bcc-ebcdd,1
a44f2c0c,"""POST HTTPstatus: len: time: .",43
3ae6b5b9,[instance: b-fea-b-bcc-ebcdd] VM Resumed (Lifecycle Event),931
3ae6b5b9,[instance: b-fea-b-bcc-ebcdd] Instance spawned successfully.,931
813e46ae,[instance: <*> Took . seconds to <*> the instance on the hypervisor.,82
e486f960,[instance: b-fea-b-bcc-ebcdd] Took . seconds to build instance.,82
62f25288,Auditing locally available compute resources for node cp-.slowvm.tcloud-pg.utah.cloudlab.us,82
3ae6b5b9,"Total usable vcpus: , total allocated vcpus:",931
3ae6b5b9,Final resource view: name=cp-.slowvm.tcloud-pg.utah.cloudlab.us phys_ram=MB used_ram=MB phys_disk=GB used_disk=GB total_vcpus= used_vcpus= pci_stats=[],931
3ae6b5b9,Compute_service record updated for cp-.slowvm.tcloud-pg.utah.cloudlab.us:cp-.slowvm.tcloud-pg.utah.cloudlab.us,931
3ae6b5b9,"""DELETE HTTPstatus: len: time: .",931
3ae6b5b9,[instance: b-fea-b-bcc-ebcdd] Terminating instance,931
3ae6b5b9,[instance: b-fea-b-bcc-ebcdd] Instance destroyed successfully.,931
e9cbef34,[instance: b-fea-b-bcc-ebcdd] Deleting instance files /var/lib/nova/instances/b-fea-b-bcc-ebcdd_del,1
122f2278,[instance: b-fea-b-bcc-ebcdd] Deletion of complete,64
8b44cb81,[instance: b-fea-b-bcc-ebcdd] Took . seconds to deallocate network for instance.,2
ef4a501d,Unknown base file: /var/lib/nova/instances/_base/acfcdabcbbace,1
3a26b5fa,Removable base files: /var/lib/nova/instances/_base/acfcdabcbbace,23
a44f2c0c,Removing base or swap file: /var/lib/nova/instances/_base/acfcdabcbbace,43
8b44cb81,HTTP exception thrown: No instances found for any event,2
813e46ae,"[instance: abccce-df-e-bd-babeb] Attempting claim: memory  MB, disk  GB, vcpus  CPU",82
e486f960,"[instance: abccce-df-e-bd-babeb] Total memory:  MB, used: . MB",82
302d679a,"[instance: abccce-df-e-bd-babeb] memory limit: . MB, free: . MB",1
62f25288,"[instance: abccce-df-e-bd-babeb] Total disk:  GB, used: . GB",82
3ae6b5b9,"[instance: abccce-df-e-bd-babeb] disk limit not specified, defaulting to unlimited",931
3ae6b5b9,"[instance: abccce-df-e-bd-babeb] Total vcpu:  VCPU, used: . VCPU",931
ead99d8d,"[instance: abccce-df-e-bd-babeb] vcpu limit not specified, defaulting to unlimited",15
d1b3f9e8,[instance: abccce-df-e-bd-babeb] Claim successful,15
f960c142,[instance: abccce-df-e-bd-babeb] Creating image,15
f912dd11,[instance: b-fea-b-bcc-ebcdd] VM Stopped (Lifecycle Event),15
813e46ae,[instance: abccce-df-e-bd-babeb] VM Started (Lifecycle Event),82
e486f960,[instance: abccce-df-e-bd-babeb] VM Paused (Lifecycle Event),82
