EventId,EventTemplate,Occurrences
e317e562,"#spec# * #spec# #spec# "" status : #spec# len : #spec# time : #spec# . #spec#",807
730abd3e,[ instance : b #spec# -fe #spec# a- #spec# b-b #spec# cc- #spec# e #spec# b #spec# cd #spec# d ] VM Started ( Lifecycle Event ),1
e95f4bd8,[ instance : b #spec# -fe #spec# a- #spec# b-b #spec# cc- #spec# e #spec# b #spec# cd #spec# d ] VM Paused ( Lifecycle Event ),1
2bb45c1e,[ instance : b #spec# -fe #spec# a- #spec# b-b #spec# cc- #spec# e #spec# b #spec# cd #spec# d ] During sync_power_state the instance has a pending task ( spawning ) . Skip.,2
4cfda59f,image #spec# dd #spec# - #spec# c #spec# - #spec# fbb- #spec# c #spec# - #spec# fbe #spec# b #spec# at ( #spec# ) : checking,82
29f0dc4c,"image #spec# dd #spec# - #spec# c #spec# - #spec# fbb- #spec# c #spec# - #spec# fbe #spec# b #spec# at ( #spec# ) : in use : on this node #spec# local , #spec# on other nodes sharing this instance storage",82
b0310cbe,Active base files : #spec#,82
abc89fed,Creating event network-vif-plugged : e #spec# ffd- #spec# cd #spec# - #spec# -bddd- #spec# f #spec# b #spec# for instance b #spec# -fe #spec# a- #spec# b-b #spec# cc- #spec# e #spec# b #spec# cd #spec# d,1
437183d7,[ instance : b #spec# -fe #spec# a- #spec# b-b #spec# cc- #spec# e #spec# b #spec# cd #spec# d ] VM Resumed ( Lifecycle Event ),2
6f4397e7,[ instance : b #spec# -fe #spec# a- #spec# b-b #spec# cc- #spec# e #spec# b #spec# cd #spec# d ] Instance spawned successfully.,1
051ab33f,[ instance : b #spec# -fe #spec# a- #spec# b-b #spec# cc- #spec# e #spec# b #spec# cd #spec# d ] Took #spec# . #spec# seconds to spawn the instance on the hypervisor.,1
3e01e548,[ instance : b #spec# -fe #spec# a- #spec# b-b #spec# cc- #spec# e #spec# b #spec# cd #spec# d ] Took #spec# . #spec# seconds to build instance.,1
46b5017a,Auditing locally available compute resources for node cp- #spec# .slowvm #spec# .tcloud-pg #spec# .utah.cloudlab.us,15
95535f6a,"Total usable vcpus : #spec# , total allocated vcpus : #spec#",15
e046a72f,Final resource view : name = cp- #spec# .slowvm #spec# .tcloud-pg #spec# .utah.cloudlab.us phys_ram = #spec# MB used_ram = #spec# MB phys_disk = #spec# GB used_disk = #spec# GB total_vcpus = #spec# used_vcpus = #spec# pci_stats = [ ],15
53aee4c6,Compute_service record updated for cp- #spec# .slowvm #spec# .tcloud-pg #spec# .utah.cloudlab.us : cp- #spec# .slowvm #spec# .tcloud-pg #spec# .utah.cloudlab.us,15
105e62bc,"#spec# , #spec# ""GET #spec# #spec# "" status : #spec# len : #spec# time : #spec# . #spec#",208
db111b79,[ instance : b #spec# -fe #spec# a- #spec# b-b #spec# cc- #spec# e #spec# b #spec# cd #spec# d ] Terminating instance,1
dee43763,[ instance : b #spec# -fe #spec# a- #spec# b-b #spec# cc- #spec# e #spec# b #spec# cd #spec# d ] Instance destroyed successfully.,1
ed006a0e,[ instance : b #spec# -fe #spec# a- #spec# b-b #spec# cc- #spec# e #spec# b #spec# cd #spec# d ] Deleting instance files #spec#,1
17a0c1f6,[ instance : b #spec# -fe #spec# a- #spec# b-b #spec# cc- #spec# e #spec# b #spec# cd #spec# d ] Deletion of #spec# complete,1
e60aea07,[ instance : b #spec# -fe #spec# a- #spec# b-b #spec# cc- #spec# e #spec# b #spec# cd #spec# d ] Took #spec# . #spec# seconds to destroy the instance on the hypervisor.,1
0e2d3241,[ instance : b #spec# -fe #spec# a- #spec# b-b #spec# cc- #spec# e #spec# b #spec# cd #spec# d ] Took #spec# . #spec# seconds to deallocate network for instance.,1
38205fcd,Unknown base file : #spec#,30
1c57c8e0,Removable base files : #spec#,30
801cdcf3,Removing base or swap file : #spec#,21
a5903d61,HTTP exception thrown : No instances found for any event,21
e9c5c05c,"[ instance : #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec# ] Attempting claim : memory #spec# MB , disk #spec# GB , vcpus #spec# CPU",1
b9b49eab,"[ instance : #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec# ] Total memory : #spec# MB , used : #spec# . #spec# MB",1
3ac4847a,"[ instance : #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec# ] memory limit : #spec# . #spec# MB , free : #spec# . #spec# MB",1
346a808e,"[ instance : #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec# ] Total disk : #spec# GB , used : #spec# . #spec# GB",1
0535bf4a,"[ instance : #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec# ] disk limit not specified , defaulting to unlimited",1
c38e35bb,"[ instance : #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec# ] Total vcpu : #spec# VCPU , used : #spec# . #spec# VCPU",1
bb28d45a,"[ instance : #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec# ] vcpu limit not specified , defaulting to unlimited",1
e2e4a797,[ instance : #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec# ] Claim successful,1
1520c655,[ instance : #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec# ] Creating image,1
e015b6ce,[ instance : b #spec# -fe #spec# a- #spec# b-b #spec# cc- #spec# e #spec# b #spec# cd #spec# d ] VM Stopped ( Lifecycle Event ),1
b716e226,[ instance : #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec# ] VM * ( Lifecycle Event ),5
7a266099,[ instance : #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec# ] During sync_power_state the instance has a pending task ( spawning ) . Skip.,2
864a5d6d,Creating event network-vif-plugged : a #spec# c-c #spec# e #spec# - #spec# -a #spec# a #spec# -d #spec# e #spec# afd #spec# for instance #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec#,1
3c4739dd,[ instance : #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec# ] Instance * successfully.,2
2fc767d2,[ instance : #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec# ] Took #spec# . #spec# seconds to spawn the instance on the hypervisor.,1
a91e66e4,[ instance : #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec# ] Took #spec# . #spec# seconds to build instance.,1
0e44a9b1,Successfully synced instances from host ' cp- #spec# .slowvm #spec# .tcloud-pg #spec# .utah.cloudlab.us ' .,2
841260a6,[ instance : #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec# ] Terminating instance,1
259d2874,Running instance usage audit for host cp- #spec# .slowvm #spec# .tcloud-pg #spec# .utah.cloudlab.us from #spec# - #spec# - #spec# #spec# to #spec# - #spec# - #spec# #spec# : #spec# : #spec# . #spec# instances.,1
29b68f63,[ instance : #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec# ] Deleting instance files #spec#,1
b885e55c,[ instance : #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec# ] Deletion of #spec# complete,1
6719e385,[ instance : #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec# ] Took #spec# . #spec# seconds to destroy the instance on the hypervisor.,1
c640b5a2,[ instance : #spec# abccce- #spec# d #spec# f- #spec# e #spec# -b #spec# d #spec# - #spec# b #spec# ab #spec# e #spec# b #spec# ] Took #spec# . #spec# seconds to deallocate network for instance.,1
bd96e47c,"[ instance : b #spec# ef #spec# -ba #spec# d- #spec# ae-bf #spec# a- #spec# cba #spec# a #spec# ] Attempting claim : memory #spec# MB , disk #spec# GB , vcpus #spec# CPU",1
59c2b864,"[ instance : b #spec# ef #spec# -ba #spec# d- #spec# ae-bf #spec# a- #spec# cba #spec# a #spec# ] Total memory : #spec# MB , used : #spec# . #spec# MB",1
bd27c455,"[ instance : b #spec# ef #spec# -ba #spec# d- #spec# ae-bf #spec# a- #spec# cba #spec# a #spec# ] memory limit : #spec# . #spec# MB , free : #spec# . #spec# MB",1
7afc0376,"[ instance : b #spec# ef #spec# -ba #spec# d- #spec# ae-bf #spec# a- #spec# cba #spec# a #spec# ] Total disk : #spec# GB , used : #spec# . #spec# GB",1
69548009,"[ instance : b #spec# ef #spec# -ba #spec# d- #spec# ae-bf #spec# a- #spec# cba #spec# a #spec# ] disk limit not specified , defaulting to unlimited",1
6cea3eb3,"[ instance : b #spec# ef #spec# -ba #spec# d- #spec# ae-bf #spec# a- #spec# cba #spec# a #spec# ] Total vcpu : #spec# VCPU , used : #spec# . #spec# VCPU",1
31c61b6b,"[ instance : b #spec# ef #spec# -ba #spec# d- #spec# ae-bf #spec# a- #spec# cba #spec# a #spec# ] vcpu limit not specified , defaulting to unlimited",1
5e7cfcbf,[ instance : b #spec# ef #spec# -ba #spec# d- #spec# ae-bf #spec# a- #spec# cba #spec# a #spec# ] Claim successful,1
64928167,[ instance : b #spec# ef #spec# -ba #spec# d- #spec# ae-bf #spec# a- #spec# cba #spec# a #spec# ] Creating image,1
0a481ada,[ instance : b #spec# ef #spec# -ba #spec# d- #spec# ae-bf #spec# a- #spec# cba #spec# a #spec# ] VM Started ( Lifecycle Event ),1
3d20f6a7,[ instance : b #spec# ef #spec# -ba #spec# d- #spec# ae-bf #spec# a- #spec# cba #spec# a #spec# ] VM Paused ( Lifecycle Event ),1
ff1ffa10,[ instance : b #spec# ef #spec# -ba #spec# d- #spec# ae-bf #spec# a- #spec# cba #spec# a #spec# ] During sync_power_state the instance has a pending task ( spawning ) . Skip.,2
b25be217,Creating event network-vif-plugged : d #spec# ce #spec# c #spec# a- #spec# - #spec# c #spec# - #spec# a #spec# a- #spec# f #spec# e #spec# defcb #spec# for instance b #spec# ef #spec# -ba #spec# d- #spec# ae-bf #spec# a- #spec# cba #spec# a #spec#,1
7e0a7148,[ instance : b #spec# ef #spec# -ba #spec# d- #spec# ae-bf #spec# a- #spec# cba #spec# a #spec# ] VM Resumed ( Lifecycle Event ),2
6d2fcb87,[ instance : b #spec# ef #spec# -ba #spec# d- #spec# ae-bf #spec# a- #spec# cba #spec# a #spec# ] Instance spawned successfully.,1
c0a72311,[ instance : b #spec# ef #spec# -ba #spec# d- #spec# ae-bf #spec# a- #spec# cba #spec# a #spec# ] Took #spec# . #spec# seconds to spawn the instance on the hypervisor.,1
2d6930b4,[ instance : b #spec# ef #spec# -ba #spec# d- #spec# ae-bf #spec# a- #spec# cba #spec# a #spec# ] Took #spec# . #spec# seconds to build instance.,1
b7b555cc,[ instance : b #spec# ef #spec# -ba #spec# d- #spec# ae-bf #spec# a- #spec# cba #spec# a #spec# ] Terminating instance,1
