EventId,EventTemplate,Occurrences
bd2f529c,"<*> ""GET <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",931
e62ddd64,[instance: <*>] VM Started (Lifecycle Event),22
3f57c2b3,[instance: <*>] VM Paused (Lifecycle Event),22
a44f2c0c,[instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,43
8970be39,image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>checking,82
d7d096ad,"image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>in use: on this node <*> local, <*> on other nodes sharing this instance storage",82
7bc5d64e,Active base files: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,82
3b70c34a,Creating event network-vif-plugged:<*> for instance <*>,22
e7c5c93a,"<*> ""POST <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",64
704d0812,[instance: <*> VM Resumed (Lifecycle Event),44
796fd834,[instance: <*>] Instance spawned successfully.,22
f48a8d5e,[instance: <*>] Took <*>.<*> seconds to spawn the instance on the hypervisor.,22
9b22184f,[instance: <*>] Took <*>.<*> seconds to build instance.,22
17eb98c9,<*> <*> <*> for <*>,36
b50339a1,NONE,230
b07a374b,"<*> ""DELETE <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",22
06476222,[instance: <*>] Terminating instance,22
93995b30,[instance: <*>] Instance destroyed successfully.,22
fb3c7a48,[instance: <*>] Deleting instance files /var/lib/nova/instances/<*>_del,21
fe5baa10,[instance: <*>] Deletion of <*>complete,21
a7fe5e13,[instance: <*>] Took <*>.<*> seconds to destroy the instance on the hypervisor.,21
2ae03bfe,[instance: <*>] Took <*>.<*> seconds to deallocate network for instance.,21
a7a4ff84,Unknown base file: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,30
6a30fe6e,Removable base files: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,30
f5f5f70f,Removing base or swap file: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,21
66acd71e,HTTP exception thrown: No instances found for any event,21
74098f89,[instance: <*>] VM Stopped (Lifecycle Event),21
db7a7f06,<*> <*> <*> <*> <*> found <*> <*> <*>,1
