EventId,EventTemplate,Occurrences
31d28d64,"* ""GET *HTTP*status * len * time *.*",931
1373a721,[instance b*-fe*a-*b-b*cc-*e*b*cd*d] VM Started (Lifecycle Event),1
736c5abd,[instance b*-fe*a-*b-b*cc-*e*b*cd*d] VM Paused (Lifecycle Event),1
60e3445c,[instance * During sync_power_state the instance has a pending task (spawning). Skip.,43
0aeab258,image *dd*-*c*-*fbb-*c*-*fbe*b* at (*checking,82
901be9eb,image *dd*-*c*-*fbb-*c*-*fbe*b* at (*in use on this node * local * on other nodes sharing this instance storage,82
d9914c57,Active base files /var/lib/nova/instances/_base/a*c*f*c*da*b*c*bb*ac*e*,82
2877bfd8,Creating event network-vif-plugged e*ffd-*cd*-*-bddd-*f*b* for instance b*-fe*a-*b-b*cc-*e*b*cd*d,1
5a0c9040,"* ""POST *HTTP*status * len * time *.*",64
8e314c68,[instance b*-fe*a-*b-b*cc-*e*b*cd*d] VM Resumed (Lifecycle Event),2
29204e0d,[instance b*-fe*a-*b-b*cc-*e*b*cd*d] Instance spawned successfully.,1
1db17a53,[instance b*-fe*a-*b-b*cc-*e*b*cd*d] Took *.* seconds to * the instance on the hypervisor.,2
933c1e63,[instance b*-fe*a-*b-b*cc-*e*b*cd*d] Took *.* seconds to build instance.,1
591428d8,Auditing locally available compute resources for node cp-*.slowvm*.tcloud-pg*.utah.cloudlab.us,15
8e25861c,Total usable vcpus * total allocated vcpus *,15
d4ed1ffe,Final resource view name cp-*.slowvm*.tcloud-pg*.utah.cloudlab.us phys_ram *MB used_ram *MB phys_disk *GB used_disk *GB total_vcpus * used_vcpus * pci_stats [],15
7c3894b1,Compute_service record updated for cp-*.slowvm*.tcloud-pg*.utah.cloudlab.us cp-*.slowvm*.tcloud-pg*.utah.cloudlab.us,15
fe8709af,"* ""DELETE *HTTP*status * len * time *.*",22
9054defa,[instance b*-fe*a-*b-b*cc-*e*b*cd*d] Terminating instance,1
ed9311de,[instance b*-fe*a-*b-b*cc-*e*b*cd*d] Instance destroyed successfully.,1
16eb4339,[instance b*-fe*a-*b-b*cc-*e*b*cd*d] Deleting instance files /var/lib/nova/instances/b*-fe*a-*b-b*cc-*e*b*cd*d_del,1
04c692fd,[instance b*-fe*a-*b-b*cc-*e*b*cd*d] Deletion of *complete,1
ea706b94,[instance * Took *.* seconds to deallocate network for instance.,21
b2215bf8,Unknown base file /var/lib/nova/instances/_base/a*c*f*c*da*b*c*bb*ac*e*,30
a6e56124,Removable base files /var/lib/nova/instances/_base/a*c*f*c*da*b*c*bb*ac*e*,30
373f6cb5,Removing base or swap file /var/lib/nova/instances/_base/a*c*f*c*da*b*c*bb*ac*e*,21
829a8040,HTTP exception thrown No instances found for any event,21
2de43013,[instance * Attempting claim memory * MB disk * GB vcpus * CPU,21
38bead97,[instance *abccce-*d*f-*e*-b*d*-*b*ab*e*b*] Total memory * MB used *.* MB,1
7f90a020,[instance *abccce-*d*f-*e*-b*d*-*b*ab*e*b*] memory limit *.* MB free *.* MB,1
c130fdb4,[instance *abccce-*d*f-*e*-b*d*-*b*ab*e*b*] Total disk * GB used *.* GB,1
8cb5a401,[instance *abccce-*d*f-*e*-b*d*-*b*ab*e*b*] disk limit not specified defaulting to unlimited,1
88b8a3c1,[instance *abccce-*d*f-*e*-b*d*-*b*ab*e*b*] Total vcpu * VCPU used *.* VCPU,1
c91cdaf3,[instance *abccce-*d*f-*e*-b*d*-*b*ab*e*b*] vcpu limit not specified defaulting to unlimited,1
1a27da63,[instance *abccce-*d*f-*e*-b*d*-*b*ab*e*b*] Claim successful,1
50439290,[instance *abccce-*d*f-*e*-b*d*-*b*ab*e*b*] Creating image,1
