EventId,EventTemplate,Occurrences
9baeb457,error A connection request was canceled before the completion.,31
30d6eee3,error Could not connect to proxy - connection attempt failed with error 10061,26
104dfff5,<*> 80 error Could not connect to proxy - Could not resolve error 11001,2
5ba38f32,error Could not connect through proxy - Proxy server cannot establish a connection with the target status code <*>,17
c55e10f7,error Could not connect <*> proxy - <*> <*> <*> <*> <*>,21
e37f2f2d,open through proxy SOCKS5,2
880eb04b,open through proxy HTTPS,954
7e7a4874,close <*> bytes sent <*> bytes received lifetime,355
e1fb0611,close <*> bytes ( ) sent <*> bytes received lifetime,121
dcac3e8a,close <*> bytes sent <*> bytes <*> ) received lifetime,168
8216dd9e,close <*> bytes <*> ) sent <*> bytes <*> ) received lifetime,303
