EventId,EventTemplate,Occurrences
5c0742aa, open through proxy  HTTPS,954
5c0742aa,"close, <*> bytes sent, 0 bytes received, lifetime",954
5c0742aa,"close, <*> bytes sent, 426 bytes received, lifetime",954
526d11ee," close, 451 bytes sent, 18846 bytes ( ) received, lifetime ",37
5c0742aa," close, 445 bytes sent, 5174 bytes ( ) received, lifetime ",954
5c0742aa,"close, <*> bytes ( ) sent, <*> bytes ( ) received, lifetime",954
5c0742aa,"close, 1165 bytes ( ) sent, <*> bytes received, lifetime",954
b65277be," close, 850 bytes sent, 10547 bytes ( ) received, lifetime ",3
5c0742aa,"close, <*> bytes sent, 421 bytes received, lifetime",954
5c0742aa," close, 1118 bytes ( ) sent, 340 bytes received, lifetime ",954
0d658191," close, 1143 bytes ( ) sent, 365 bytes received, lifetime ",1
1ce892ba," close, 1093 bytes ( ) sent, 1006 bytes received, lifetime ",1
5c0742aa," close, 428 bytes sent, 5365 bytes ( ) received, lifetime ",954
0e3c3e4d,"close, 845 bytes sent, <*> bytes ( ) received, lifetime",276
5c0742aa,"close, 431 bytes sent, <*> bytes ( ) received, lifetime",954
526d11ee,"close, <*> bytes ( ) sent, 472 bytes received, lifetime",37
0e3c3e4d," close, 416 bytes sent, 10670 bytes ( ) received, lifetime ",276
5c0742aa," close, 483 bytes sent, 342 bytes received, lifetime ",954
daec8ae9,"close, <*> bytes ( ) sent, 366 bytes received, lifetime",3
5c0742aa,"close, 697 bytes sent, <*> bytes received, lifetime",954
daec8ae9," close, 704 bytes sent, 2476 bytes ( ) received, lifetime ",3
235fbf6f," close, 7829 bytes ( ) sent, 578548 bytes (564 ) received, lifetime ",1
5edc0bd8," close, 3425 bytes ( ) sent, 212164 bytes (207 ) received, lifetime ",2
daec8ae9," close, 934 bytes sent, 5869 bytes ( ) received, lifetime ",3
5c0742aa,"close, 1325 bytes ( ) sent, <*> bytes received, lifetime",954
5c0742aa,"close, 508 bytes sent, <*> bytes ( ) received, lifetime",954
526d11ee," close, 1190 bytes ( ) sent, 367 bytes received, lifetime ",37
0e3c3e4d," close, 2380 bytes ( ) sent, 678 bytes received, lifetime ",276
5c0742aa,"close, 974 bytes sent, <*> bytes ( ) received, lifetime",954
d2d95506," close, 458 bytes sent, 1781 bytes ( ) received, lifetime ",1
5c0742aa,"close, <*> bytes ( ) sent, 421 bytes received, lifetime",954
5c0742aa," close, 1301 bytes ( ) sent, 434 bytes received, lifetime ",954
cecf5fb5,"close, 1248 bytes ( ) sent, <*> bytes received, lifetime",1
3277b250," close, 489 bytes sent, 566 bytes received, lifetime ",1
37945dcb," close, 1198 bytes ( ) sent, 344 bytes received, lifetime ",1
5c0742aa," close, 303 bytes sent, 275 bytes received, lifetime ",954
5c0742aa,"close, <*> bytes ( ) sent, 842 bytes received, lifetime",954
