EventId,EventTemplate,Occurrences
56ab45ba,<*> open through proxy <*> HTTPS,954
d8f7083e,"<*> close, * bytes sent, * bytes received, lifetime <*>",355
b096df30,"<*> close, * bytes sent, * bytes (<*> <*>) received, lifetime <*>",162
343ab35d,"<*> close, * bytes (<*> <*>) sent, * bytes (<*> <*>) received, lifetime <*>",277
b1fe74a1,<*> open through proxy <*> SOCKS5,2
cb4cfc43,<*> error : A connection request was canceled before the completion.,31
bd37133d,<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.,3
ddb70f89,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code *",17
00188feb,<*> error : Could not connect to proxy <*> - Could not resolve <*> error 11001,18
e5c18b3e,"<*> close, * bytes (<*> <*>) sent, * bytes received, lifetime <*>",121
7ce98ece,"<*> close, * bytes sent, * bytes * <*>) received, lifetime <*>",6
e2e404b0,"<*> close, * bytes (<*> <*>) sent, * bytes * <*>) received, lifetime <*>",23
4d430e23,"<*> close, * bytes * <*>) sent, * bytes (<*> <*>) received, lifetime <*>",2
089371af,"<*> close, 154863 bytes (151 <*>) sent, 321609 bytes (314 <*>) received, lifetime <*>",1
89c754fa,<*> error : Could not connect to proxy <*> - connection attempt failed with error 10061,26
36441837,awqiizxequsixgr:80 error : Could not connect to proxy <*> - Could not resolve <*> error 11001,1
c4589c99,wpad:80 error : Could not connect to proxy <*> - Could not resolve <*> error 11001,1
