EventId,EventTemplate,Occurrences
b4903e4a,* open through proxy * HTTPS,954
d4d60452,* close 0 bytes sent 0 bytes received lifetime *,197
dd157ee1,* close * bytes sent 426 bytes received lifetime *,3
f7bb709f,* close 451 bytes sent 18846 bytes (* *) received lifetime *,1
91b1b1ca,* close 445 bytes sent 5174 bytes (* *) received lifetime *,1
72fcbaf1,* close * bytes (* *) sent * bytes (* *) received lifetime *,581
e549f86f,* close * bytes sent 421 bytes received lifetime *,2
a1d111f0,* close 483 bytes sent 342 bytes received lifetime *,1
98e6cec0,* close 697 bytes sent * bytes received lifetime *,2
e732fd29,* close 489 bytes sent 566 bytes received lifetime *,1
d57cd952,* close 303 bytes sent 275 bytes received lifetime *,1
066eae78,* close * bytes sent 782 bytes received lifetime *,4
c4d3cb03,* close * bytes sent 278 bytes received lifetime *,2
e37656f0,* close 896 bytes sent 375 bytes received lifetime *,1
c53f3636,* close * bytes sent 353 bytes received lifetime *,9
5ad1e1bf,* open through proxy * SOCKS5,2
8e20417b,* close 946 bytes sent 783 bytes received lifetime *,2
4958ee1d,* close 791 bytes sent 778 bytes received lifetime *,1
1462f836,* close * bytes sent 186 bytes received lifetime *,3
a31e100f,* close * bytes sent 316 bytes received lifetime *,2
b6c08a7e,* error A connection request was canceled before the completion.,31
c70993ea,* error Could not connect through proxy * - Proxy closed the connection unexpectedly.,3
36b36bfd,* close * bytes sent 346 bytes received lifetime *,3
1198292d,* close 519 bytes sent 313 bytes received lifetime *,1
e294f265,* close 415 bytes sent 599 bytes received lifetime *,1
b490647e,* close 793 bytes sent 180 bytes received lifetime *,1
ee796632,* close 595 bytes sent 269 bytes received lifetime *,1
c92b00c5,* close 877 bytes sent 507 bytes received lifetime *,1
fbe92d26,* close 1015 bytes sent 590 bytes received lifetime *,1
d69e7652,* close 149 bytes sent 121 bytes received lifetime *,1
a28b60d3,* close 477 bytes sent 448 bytes received lifetime *,1
9330e65b,* close 724 bytes sent 516 bytes received lifetime *,1
73c1184e,* close 466 bytes sent 125682 bytes (122 *) received lifetime *,1
403adef8,* close 493 bytes sent 523 bytes received lifetime *,2
50cc2b4f,* close 666 bytes sent 709 bytes received lifetime *,1
22ede3ff,* close 293 bytes sent 514 bytes received lifetime *,1
c54e2fc6,* error Could not connect through proxy * - Proxy server cannot establish a connection with the target status code *,17
662a7f77,* close 497 bytes sent 302 bytes received lifetime *,1
