EventId,EventTemplate,Occurrences
2.27E+05,"Partition rdd_11_3 not found, computing it",1
32581043,Started reading broadcast variable 28,1
40501739,"Block rdd_16_1 stored as bytes in memory (estimated size 351.0 B, free 387.4 KB)",1
62258141,"Block rdd_42_13 stored as bytes in memory (estimated size 912.0 B, free 814.9 KB)",1
63713271,"Block rdd_42_6 stored as bytes in memory (estimated size 559.0 B, free 809.8 KB)",1
66623927,"Block broadcast_32 stored as values in memory (estimated size 10.1 KB, free 400.4 KB)",1
66703848,"Block broadcast_17 stored as values in memory (estimated size 10.1 KB, free 448.6 KB)",1
94607000,Started reading broadcast variable 3,1
8.63E+10,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",1
00b5ee7c,"Block broadcast_9_piece0 stored as bytes in memory (estimated size 5.2 KB, free 5.2 KB)",1
00e4b43e,Reading broadcast variable 13 took 41 ms,1
00fb216c,Started reading broadcast variable 1,1
02c98d80,"Block broadcast_39_piece0 stored as bytes in memory (estimated size 5.4 KB, free 859.1 KB)",1
03809e0c,"Block broadcast_15_piece0 stored as bytes in memory (estimated size 5.4 KB, free 407.4 KB)",1
03f0c20e,Reading broadcast variable 4 took 18 ms,1
05eedd1a,"Block rdd_42_38 stored as bytes in memory (estimated size 974.0 B, free 837.4 KB)",1
061ba045,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:80212+7292,1
06cc9899,Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069,1
06f83244,"Block broadcast_25 stored as values in memory (estimated size 10.1 KB, free 419.6 KB)",1
07bfd2f8,"Block rdd_26_4 stored as bytes in memory (estimated size 16.0 B, free 419.6 KB)",1
08cf3656,attempt_201706092018_0024_m_000044_1129: Committed,1
08eeb41f,Saved output of task 'attempt_201706092018_0024_m_000002_998' to hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000002,1
08f6d3dd,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:58336+7292,1
08f85ba3,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:284388+7303,1
091e594c,"Partition rdd_16_0 not found, computing it",1
092265f5,Reading broadcast variable 10 took 17 ms,1
093fa9c1,"Block broadcast_19 stored as values in memory (estimated size 9.2 KB, free 478.6 KB)",1
0a2e458b,"Partition rdd_21_2 not found, computing it",1
0a5fe131,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:7292+7292,2
0af286a5,"Partition rdd_21_4 not found, computing it",1
0b4c726c,Saved output of task 'attempt_201706092018_0024_m_000003_1012' to hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000003,1
0b81fead,"Partition rdd_42_5 not found, computing it",1
0b9e7dc9,Started reading broadcast variable 13,1
0d9a7aa3,Started reading broadcast variable 36,1
0f295028,"Block rdd_42_11 stored as bytes in memory (estimated size 920.0 B, free 814.0 KB)",1
11479d8f,"Partition rdd_42_2 not found, computing it",1
122b2f80,"Partition rdd_42_36 not found, computing it",1
131e72f4,attempt_201706092018_0024_m_000161_1156: Committed,1
13aceb94,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:51044+7292,1
145aee0e,"Block broadcast_21_piece0 stored as bytes in memory (estimated size 5.7 KB, free 393.1 KB)",1
1575d134,Saved output of task 'attempt_201706092018_0024_m_000163_1158' to hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000163,1
17dbe105,Reading broadcast variable 30 took 8 ms,1
17f432d4,Trying to register BlockManager,1
188a7d54,"Partition rdd_26_2 not found, computing it",1
18c516d1,"Block broadcast_20 stored as values in memory (estimated size 9.8 KB, free 411.6 KB)",1
194ceeaa,attempt_201706092018_0024_m_000043_1128: Committed,1
1963a4d6,"Partition rdd_6_1 not found, computing it",1
1a02a824,Started reading broadcast variable 12,1
1a5ca6f4,Reading broadcast variable 39 took 716 ms,1
1ae9a2e3,"Block broadcast_12_piece0 stored as bytes in memory (estimated size 5.6 KB, free 359.4 KB)",1
1bec269b,"Partition rdd_42_7 not found, computing it",1
1c507e44,Registered BlockManager,1
1cbb7d67,"Block broadcast_31 stored as values in memory (estimated size 9.8 KB, free 405.1 KB)",1
1cdb23d6,"Block broadcast_26 stored as values in memory (estimated size 9.7 KB, free 389.6 KB)",1
1daf86ca,"Block rdd_6_2 stored as bytes in memory (estimated size 252.0 B, free 370.4 KB)",1
1db0e533,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:240636+7292,1
1e0ec247,Reading broadcast variable 16 took 13 ms,1
1e97d2c3,"Partition rdd_42_34 not found, computing it",1
1ecd41b9,"Partition rdd_42_33 not found, computing it",1
1f3a4c46,Saved output of task 'attempt_201706092018_0024_m_000080_1135' to hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000080,1
1fde6109,"Block broadcast_36_piece0 stored as bytes in memory (estimated size 21.4 KB, free 522.3 KB)",1
2023ddd5,"Partition rdd_42_39 not found, computing it",1
2076e53b,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:167716+7292,1
2089b1d3,Saved output of task 'attempt_201706092018_0024_m_000083_1138' to hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000083,1
2256d4b9,Reading broadcast variable 27 took 10 ms,1
2284e5e8,Saved output of task 'attempt_201706092018_0024_m_000000_970' to hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000000,1
235f0efe,"Block broadcast_38 stored as values in memory (estimated size 9.6 KB, free 853.7 KB)",1
2395b351,"Block rdd_30_4 stored as bytes in memory (estimated size 226.0 B, free 406.0 KB)",1
255606a9,"Block broadcast_2 stored as values in memory (estimated size 384.0 B, free 319.4 KB)",1
25c58731,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,1
25f2979c,"Block broadcast_24_piece0 stored as bytes in memory (estimated size 5.6 KB, free 393.0 KB)",1
270557a3,"Block broadcast_9 stored as values in memory (estimated size 8.8 KB, free 14.0 KB)",1
271d3bcf,attempt_201706092018_0024_m_000003_1012: Committed,1
2730be46,"Partition rdd_16_4 not found, computing it",1
27a2a4ad,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],1
291b29a3,"Partition rdd_42_8 not found, computing it",1
29bc3dfc,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",2
