LineId,Date,Time,Level,Component,Content,EventTemplate,EventId
1,17/06/09,20:10:40,INFO,executor.CoarseGrainedExecutorBackend,"Registered signal handlers for [TERM, HUP, INT]","Registered signal handlers for [ TERM , HUP , INT ]",ed6e5e6f
2,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi","Changing view acls to : yarn , curi",5d9d9dda
3,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi","Changing * acls to : yarn , curi",f2044476
4,17/06/09,20:10:40,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","SecurityManager : authentication disabled ; ui acls disabled ; users with view permissions : Set ( yarn , curi ) ; users with modify permissions : Set ( yarn , curi )",5c001588
5,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi","Changing view acls to : yarn , curi",5d9d9dda
6,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi","Changing * acls to : yarn , curi",f2044476
7,17/06/09,20:10:41,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","SecurityManager : authentication disabled ; ui acls disabled ; users with view permissions : Set ( yarn , curi ) ; users with modify permissions : Set ( yarn , curi )",5c001588
8,17/06/09,20:10:41,INFO,slf4j.Slf4jLogger,Slf4jLogger started,Slf4jLogger started,b923f8c3
9,17/06/09,20:10:41,INFO,Remoting,Starting remoting,Starting remoting,e99571c6
10,17/06/09,20:10:41,INFO,Remoting,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],Remoting started ; listening on addresses : [ akka.tcp : #spec# @mesos-slave-07 : 55904 ],765b9bc3
11,17/06/09,20:10:41,INFO,util.Utils,Successfully started service 'sparkExecutorActorSystem' on port 55904.,Successfully started service ' sparkExecutorActorSystem ' on port 55904.,1ad54fa9
12,17/06/09,20:10:41,INFO,storage.DiskBlockManager,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,Created local directory at #spec#,0c38ec37
13,17/06/09,20:10:41,INFO,storage.MemoryStore,MemoryStore started with capacity 17.7 GB,MemoryStore started with capacity 17.7 #spec#,69f3ba5e
14,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069,Connecting to driver : spark : #spec# @ #spec#,77ae320d
15,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Successfully registered with driver,Successfully registered with driver,5a5c5838
16,17/06/09,20:10:42,INFO,executor.Executor,Starting executor ID 5 on host mesos-slave-07,Starting executor ID #spec# on host mesos-slave-07,f61e69ee
17,17/06/09,20:10:42,INFO,util.Utils,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,Successfully started service ' #spec# ' on port 40984.,f0414fb9
18,17/06/09,20:10:42,INFO,netty.NettyBlockTransferService,Server created on 40984,Server created on #spec#,03b4dddd
19,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Trying to register BlockManager,Trying to register BlockManager,17f432d4
20,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Registered BlockManager,Registered BlockManager,1c507e44
21,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 0,Got assigned task #spec#,c66df153
22,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 1,Got assigned task #spec#,c66df153
23,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 2,Got assigned task #spec#,c66df153
24,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 3,Got assigned task #spec#,c66df153
25,17/06/09,20:10:45,INFO,executor.Executor,Running task 0.0 in stage 0.0 (TID 0),Running task 0.0 in stage 0.0 ( TID 0 ),2c2df883
26,17/06/09,20:10:45,INFO,executor.Executor,Running task 2.0 in stage 0.0 (TID 2),Running task 2.0 in stage * ( TID * ),20c9aa14
27,17/06/09,20:10:45,INFO,executor.Executor,Running task 1.0 in stage 0.0 (TID 1),Running task 1.0 in stage 0.0 ( TID 1 ),4e44d5fb
28,17/06/09,20:10:45,INFO,executor.Executor,Running task 3.0 in stage 0.0 (TID 3),Running task 3.0 in stage * ( TID * ),d01c727f
29,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 4,Got assigned task #spec#,c66df153
30,17/06/09,20:10:45,INFO,executor.Executor,Running task 4.0 in stage 0.0 (TID 4),Running task 4.0 in stage 0.0 ( TID 4 ),2769a2dc
31,17/06/09,20:10:45,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 9,Started reading broadcast variable #spec#,5f76785d
32,17/06/09,20:10:45,INFO,storage.MemoryStore,"Block broadcast_9_piece0 stored as bytes in memory (estimated size 5.2 KB, free 5.2 KB)","Block broadcast_9_piece0 stored as bytes in memory ( estimated size 5.2 #spec# , free 5.2 #spec# )",e7178031
33,17/06/09,20:10:45,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 9 took 160 ms,Reading broadcast variable #spec# took #spec# ms,7e3fe3c5
34,17/06/09,20:10:46,INFO,storage.MemoryStore,"Block broadcast_9 stored as values in memory (estimated size 8.8 KB, free 14.0 KB)","Block broadcast_9 stored as values in memory ( estimated size 8.8 #spec# , free 14.0 #spec# )",ba513e1e
35,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_1 not found, computing it","Partition * not found , computing it",a53dc0ae
36,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_3 not found, computing it","Partition * not found , computing it",a53dc0ae
37,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_0 not found, computing it","Partition * not found , computing it",a53dc0ae
38,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_2 not found, computing it","Partition * not found , computing it",a53dc0ae
39,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_4 not found, computing it","Partition * not found , computing it",a53dc0ae
40,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:21876+7292,Input split : hdfs : / #spec# #spec# : *,07e1e309
41,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:14584+7292,Input split : hdfs : / #spec# #spec# : *,07e1e309
42,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:0+7292,Input split : hdfs : / #spec# #spec# : *,07e1e309
43,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:7292+7292,Input split : hdfs : / #spec# #spec# : *,07e1e309
44,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:29168+7292,Input split : hdfs : / #spec# #spec# : *,07e1e309
45,17/06/09,20:10:46,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 8,Started reading broadcast variable #spec#,5f76785d
46,17/06/09,20:10:46,INFO,storage.MemoryStore,"Block broadcast_8_piece0 stored as bytes in memory (estimated size 21.4 KB, free 35.4 KB)","Block broadcast_8_piece0 stored as bytes in memory ( estimated size 21.4 #spec# , free 35.4 #spec# )",dc9706c3
47,17/06/09,20:10:46,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 8 took 19 ms,Reading broadcast variable #spec# took #spec# ms,7e3fe3c5
48,17/06/09,20:10:46,INFO,storage.MemoryStore,"Block broadcast_8 stored as values in memory (estimated size 281.6 KB, free 317.0 KB)","Block broadcast_8 stored as values in memory ( estimated size 281.6 #spec# , free 317.0 #spec# )",3eee7336
49,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id","#spec# is deprecated. Instead , use #spec#",9adda605
50,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id","#spec# is deprecated. Instead , use #spec#",9adda605
51,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap","#spec# is deprecated. Instead , use #spec#",9adda605
52,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.job.id is deprecated. Instead, use mapreduce.job.id","#spec# is deprecated. Instead , use #spec#",9adda605
53,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition","#spec# is deprecated. Instead , use #spec#",9adda605
54,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 0,Started reading broadcast variable #spec#,5f76785d
55,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_0_piece0 stored as bytes in memory (estimated size 93.0 B, free 317.1 KB)","Block broadcast_0_piece0 stored as bytes in memory ( estimated size 93.0 #spec# , free 317.1 #spec# )",625bbfec
56,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 0 took 21 ms,Reading broadcast variable #spec# took #spec# ms,7e3fe3c5
57,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_0 stored as values in memory (estimated size 384.0 B, free 317.5 KB)","Block broadcast_0 stored as values in memory ( estimated size 384.0 #spec# , free 317.5 #spec# )",cb0a676b
58,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 4,Started reading broadcast variable #spec#,5f76785d
59,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_4_piece0 stored as bytes in memory (estimated size 95.0 B, free 317.6 KB)","Block broadcast_4_piece0 stored as bytes in memory ( estimated size 95.0 #spec# , free 317.6 #spec# )",e4941dab
60,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 4 took 18 ms,Reading broadcast variable #spec# took #spec# ms,7e3fe3c5
