EventId,EventTemplate,Occurrences
ed6e5e6f,"Registered signal handlers for [ TERM , HUP , INT ]",1
5d9d9dda,"Changing view acls to : yarn , curi",2
f2044476,"Changing * acls to : yarn , curi",2
5c001588,"SecurityManager : authentication disabled ; ui acls disabled ; users with view permissions : Set ( yarn , curi ) ; users with modify permissions : Set ( yarn , curi )",2
b923f8c3,Slf4jLogger started,1
e99571c6,Starting remoting,1
765b9bc3,Remoting started ; listening on addresses : [ akka.tcp : #spec# @mesos-slave-07 : 55904 ],1
1ad54fa9,Successfully started service ' sparkExecutorActorSystem ' on port 55904.,1
0c38ec37,Created local directory at #spec#,1
69f3ba5e,MemoryStore started with capacity 17.7 #spec#,1
77ae320d,Connecting to driver : spark : #spec# @ #spec#,1
5a5c5838,Successfully registered with driver,1
f61e69ee,Starting executor ID #spec# on host mesos-slave-07,1
f0414fb9,Successfully started service ' #spec# ' on port 40984.,1
03b4dddd,Server created on #spec#,1
17f432d4,Trying to register BlockManager,1
1c507e44,Registered BlockManager,1
c66df153,Got assigned task #spec#,305
2c2df883,Running task 0.0 in stage 0.0 ( TID 0 ),1
20c9aa14,Running task 2.0 in stage * ( TID * ),30
4e44d5fb,Running task 1.0 in stage 0.0 ( TID 1 ),1
d01c727f,Running task 3.0 in stage * ( TID * ),28
2769a2dc,Running task 4.0 in stage 0.0 ( TID 4 ),1
5f76785d,Started reading broadcast variable #spec#,37
e7178031,"Block broadcast_9_piece0 stored as bytes in memory ( estimated size 5.2 #spec# , free 5.2 #spec# )",1
7e3fe3c5,Reading broadcast variable #spec# took #spec# ms,37
ba513e1e,"Block broadcast_9 stored as values in memory ( estimated size 8.8 #spec# , free 14.0 #spec# )",1
a53dc0ae,"Partition * not found , computing it",75
07e1e309,Input split : hdfs : / #spec# #spec# : *,45
dc9706c3,"Block broadcast_8_piece0 stored as bytes in memory ( estimated size 21.4 #spec# , free 35.4 #spec# )",1
3eee7336,"Block broadcast_8 stored as values in memory ( estimated size 281.6 #spec# , free 317.0 #spec# )",1
9adda605,"#spec# is deprecated. Instead , use #spec#",5
625bbfec,"Block broadcast_0_piece0 stored as bytes in memory ( estimated size 93.0 #spec# , free 317.1 #spec# )",1
cb0a676b,"Block broadcast_0 stored as values in memory ( estimated size 384.0 #spec# , free 317.5 #spec# )",1
e4941dab,"Block broadcast_4_piece0 stored as bytes in memory ( estimated size 95.0 #spec# , free 317.6 #spec# )",1
1658ac5b,"Block broadcast_4 stored as values in memory ( estimated size 384.0 #spec# , free 318.0 #spec# )",1
bd9f76d4,"Block broadcast_3_piece0 stored as bytes in memory ( estimated size 152.0 #spec# , free 318.1 #spec# )",1
9c02b738,"Block broadcast_3 stored as values in memory ( estimated size 384.0 #spec# , free 318.5 #spec# )",1
5e565fe2,"Block broadcast_1_piece0 stored as bytes in memory ( estimated size 107.0 #spec# , free 318.6 #spec# )",1
a330356f,"Block broadcast_1 stored as values in memory ( estimated size 384.0 #spec# , free 319.0 #spec# )",1
bd0b7393,"Block broadcast_2_piece0 stored as bytes in memory ( estimated size 93.0 #spec# , free 319.0 #spec# )",1
bfb05863,"Block broadcast_2 stored as values in memory ( estimated size 384.0 #spec# , free 319.4 #spec# )",1
d85ca0b7,"Times : total = 1072 , boot = 856 , init = 210 , finish = #spec#",1
13c1de00,"Times : total = 1114 , boot = 885 , init = 223 , finish = #spec#",1
61009e8b,"Times : total = 1074 , boot = 869 , init = 199 , finish = #spec#",1
073122be,"Times : total = 1078 , boot = 851 , init = 219 , finish = #spec#",1
edbd5db4,"Times : total = 1077 , boot = 865 , init = 206 , finish = #spec#",1
5aafe6bc,"Block rdd_2_2 stored as bytes in memory ( estimated size 850.0 #spec# , free 320.3 #spec# )",1
d5a28600,"Block rdd_2_3 stored as bytes in memory ( estimated size 930.0 #spec# , free 321.2 #spec# )",1
8fbc19c5,"Block rdd_2_1 stored as bytes in memory ( estimated size 935.0 #spec# , free 322.1 #spec# )",1
637f1489,"Block rdd_2_0 stored as bytes in memory ( estimated size 913.0 #spec# , free 323.0 #spec# )",1
edd8f237,"Block rdd_2_4 stored as bytes in memory ( estimated size 890.0 #spec# , free 323.8 #spec# )",1
e419963f,"Times : total = 38 , boot = 11 , init = 27 , finish = #spec#",1
4af563b3,"Times : total = 42 , boot = 12 , init = 30 , finish = #spec#",1
31f59419,"Times : total = 41 , boot = 15 , init = 26 , finish = #spec#",1
d2133af6,"Times : total = 40 , boot = 7 , init = 33 , finish = #spec#",1
81aa7f60,"Times : total = 42 , boot = 13 , init = 28 , finish = #spec#",4
81115e84,Finished task 3.0 in stage 0.0 ( TID 3 ) . #spec# bytes result sent to driver,1
c0abf48c,Finished task 1.0 in stage 0.0 ( TID 1 ) . #spec# bytes result sent to driver,1
43b892e1,Finished task 2.0 in stage 0.0 ( TID 2 ) . #spec# bytes result sent to driver,1
c389e8ec,Finished task 4.0 in stage 0.0 ( TID 4 ) . #spec# bytes result sent to driver,1
f4053d23,Finished task 0.0 in stage 0.0 ( TID 0 ) . #spec# bytes result sent to driver,1
60e59656,Running task 0.0 in stage 1.0 ( TID 42 ),1
77633a78,Running task 1.0 in stage 1.0 ( TID 56 ),1
6b050545,Running task 4.0 in stage 1.0 ( TID 79 ),1
17aaf681,"Block broadcast_10_piece0 stored as bytes in memory ( estimated size 5.8 #spec# , free 329.6 #spec# )",1
9e03ad0a,"Block broadcast_10 stored as values in memory ( estimated size 9.6 #spec# , free 339.2 #spec# )",1
2dee596b,Found block * locally,257
5614ec5a,"Times : total = 42 , boot = -4131 , init = 4172 , finish = #spec#",1
c39ca455,"Times : total = 41 , boot = -4122 , init = 4162 , finish = #spec#",1
c5e8e024,"Times : total = 42 , boot = -4121 , init = 4162 , finish = #spec#",1
9ef1577c,"Times : total = 42 , boot = -4138 , init = 4179 , finish = #spec#",1
dcd9cc98,"Times : total = 42 , boot = -4134 , init = 4175 , finish = #spec#",1
3a479c21,Finished task 4.0 in stage 1.0 ( TID 79 ) . #spec# bytes result sent to driver,1
ae83afec,Finished task 1.0 in stage 1.0 ( TID 56 ) . #spec# bytes result sent to driver,1
4d791c80,Finished task 0.0 in stage 1.0 ( TID 42 ) . #spec# bytes result sent to driver,1
afeb0f0a,Finished task 3.0 in stage 1.0 ( TID 78 ) . #spec# bytes result sent to driver,1
0c0505f9,Finished task 2.0 in stage 1.0 ( TID 69 ) . #spec# bytes result sent to driver,1
08f7a22d,Running task 0.0 in stage 2.0 ( TID 87 ),1
5438fe02,Running task 1.0 in stage 2.0 ( TID 101 ),1
dfa9007a,Running task 4.0 in stage 2.0 ( TID 119 ),1
592a3338,"Block broadcast_11_piece0 stored as bytes in memory ( estimated size 5.4 #spec# , free 344.7 #spec# )",1
a9c2170b,"Block broadcast_11 stored as values in memory ( estimated size 9.2 #spec# , free 353.9 #spec# )",1
71d88cc7,"Times : total = 39 , boot = -147 , init = 186 , finish = #spec#",2
91da5ac5,"Times : total = 41 , boot = -139 , init = 179 , finish = #spec#",1
6ce305d2,"Times : total = 38 , boot = -156 , init = 194 , finish = #spec#",1
a3b514bc,"Times : total = 39 , boot = -159 , init = 198 , finish = #spec#",1
836c6687,Finished task 4.0 in stage 2.0 ( TID 119 ) . #spec# bytes result sent to driver,1
11aeb435,Finished task 2.0 in stage 2.0 ( TID 112 ) . #spec# bytes result sent to driver,1
8aabba4c,Finished task 3.0 in stage 2.0 ( TID 118 ) . #spec# bytes result sent to driver,1
2792f93b,Finished task 1.0 in stage 2.0 ( TID 101 ) . #spec# bytes result sent to driver,1
63571495,Finished task 0.0 in stage 2.0 ( TID 87 ) . #spec# bytes result sent to driver,1
f93d965e,Running task 0.0 in stage 3.0 ( TID 122 ),1
22e40a08,Running task 1.0 in stage 3.0 ( TID 136 ),1
b6c9e673,Running task 4.0 in stage 3.0 ( TID 159 ),1
de65b235,"Block broadcast_12_piece0 stored as bytes in memory ( estimated size 5.6 #spec# , free 359.4 #spec# )",1
4244065b,"Block broadcast_12 stored as values in memory ( estimated size 9.8 #spec# , free 369.3 #spec# )",1
dc016507,"Times : total = 38 , boot = -170 , init = 208 , finish = #spec#",1
3f7cbbc3,"Times : total = 41 , boot = -171 , init = 212 , finish = #spec#",1
