EventId,EventTemplate,Occurrences
ff52c40c,<*>,173
a966e663,data_thread() got not answer from any datasource,819
1e2c8f56,synchronized to stratum,568
1cfe3a76,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,62
7b44391e,No change,124
880f1546,Local disconnected: Connection closed.,3
f2f7a33e,connection lost: 'Connection closed.',3
20939dc7,unable to qualify my own domain name -- using short name,10
d8b58ee3,"from=root, class=0, nrcpts=1, relay=#7#@localhost",10
8616b034,"to=root, ctladdr=root (0/0), xdelay=00:00:00, mailer=relay, relay=[] [], dsn=4.0.0, stat=Deferred: Connection refused by []",10
a2a760da,00:11:43:e3:ba:c3 via,25
c2ff3b1b,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,15
afc59503,START: tftp pid=16563 from=,1
e6cbe5e0,RRD_update illegal attempt to update using time when last update time is (minimum one second step),11
179f2494,kernel time sync,2
d89e5477,time reset +0.182379 s,1
4d20657c,Received SNMP packet(s) from #34#,1
7722bb58,My unqualified host name unknown; sleeping for retry,5
3956ae6c,CentOS-4 (Kernel Module GPG key),1
61ddf178,(supports S0 S4 S5),1
40b0e909,(v001 DELL PE BKC 0x00000001 MSFT @,7
37026deb,HPET id: 0xffffffff base: 0xfed00000,1
b1e9772d,INT_SRC_OVR (bus 0 bus_irq global_irq,2
29a649ca,IOAPIC,3
a6ee4bb1,used by override.,3
b20e3f24,LAPIC_NMI high edge lint[0x1]),4
684c2d7f,PCI Interrupt Link (IRQs 3 4 5 6 7 10 12),8
fda7ca81,PCI Interrupt Routing Table,10
d5980a9c,PCI Root Bridge [PCI0] (00:00),1
d3f35a41,"PCI interrupt -> GSI (level, low) -> IRQ",11
7be80732,RSDP (v000 DELL ) @ 0x00000000000fd650,1
44bb3b24,Using for routing,2
6be61616,Intel(R) Xeon(TM) CPU 3.60GHz stepping 03,1
c5862456,"Trace cache: 12K uops, L1 D cache: 16K",5
a0162353,mounted filesystem with ordered data mode.,3
cb9d44d1,"sys_ia32.c,v 1.32 2002/03/24 13:02:28 ak Exp $",1
c7659cdd,"apic_id version 32, address GSI",3
22c1c2b6,"routing cache hash table of 65536 buckets, 1024Kbytes",1
2f758fc3,PCI Hot Plug PCI Core version: 0.5,1
e7cc2496,"root=LABEL=/ initrd=/x86_64/initrd-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr-admin console=tty0 console=ttyS0,19200 fastboot BOOT_IMAGE=/x86_64/vmlinuz-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr",1
f927eeab,Using software bounce buffering for IO (SWIOTLB),1
7a555835,Probing PCI hardware (bus 00),1
91f4af36,Compressed image found at block 0,1
c87fe378,Hash tables configured (established 262144 bind 65536),1
74a25d6b,MegaRAID Model: LD 0 RAID1 139G Rev: 516A,1
67a28f15,PE/PV Model: 1x2 SCSI BP Rev: 1.0,1
94f404bc,e1000_probe: Intel(R) PRO/1000 Network Connection,2
6b5e49ed,eth0: e1000_watchdog: NIC Link is Up 1000 Mbps Full Duplex,1
708630cc,Wait for ready failed before probe !,6
e5fe6b9c,Assuming 33MHz system bus speed for PIO modes; override with idebus=xx,1
279d4fa2,Unknown cmd fd(5) cmd(80081272){00} arg(ffffda44) on /dev/sda,1
4e6045e6,#38#-rh1 (Release Date: Fri Dec 10 19:02:14 EST 2004),1
37f6c5f9,#39# (Release Date: Mon Sep 27 22:15:07 EDT 2004),1
c9d8cba9,probe new device 0x1028:0x0013:0x1028:0x016c: bus 2:slot 14:func 0,1
a2351676,PS/2 mouse device common for all mice,1
9460c3d1,scanning scsi channel 0 [Phy 0] for non-raid devices,1
e7fc75d3,scanning scsi channel 1 [virtual] for logical drives,1
8e764277,"i8042 port at 0x60,0x64 irq",2
2752726e,probe of vesafb0 failed with error -6,1
8a9afe3f,"User #29#, coming from #30#, authenticated.",2
625a815f,Warning: we failed to resolve name,35
e652840d,Server listening on :: port 22.,1
2712149e,error: Bind to port 22 on failed: Address already in use.,1
712394d8,Cannot open file /dev/logsurfer for writing (No such file or directory),1
79af7456,Changing permissions on special file /dev/logsurfer,1
553641eb,Reading included configuration file:,17
3f023526,xinetd Version 2.3.13 started with libwrap loadavg options compiled in.,1
5833a967,"Device: /dev/sda, Temperature changed -2 Celsius to 26 Celsius since last report",1
