EventId,EventTemplate,Occurrences
3be46d32,session closed for user root,43
3264b78c,from 00:11:43:e3:ba:c3 via,51
a966e663,data_thread() got not answer from any datasource,819
5bf4f792,"synchronized to , stratum 3",568
1cfe3a76,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,63
9db750e6,[ib_sm_sweep.c:1482]: No configuration change required,124
d41d8cd9,,173
723312e3,to name name,22
25cda40a,PCI Interrupt,34
8616b034,"to=root, ctladdr=root (0/0), xdelay=00:00:00, mailer=relay, relay=[] [], dsn=4.0.0, stat=Deferred: Connection refused by []",20
01fe7bef,to update time update time,23
d3f35a41,"PCI interrupt -> GSI (level, low) -> IRQ",20
26934eb3,failed,15
553641eb,Reading included configuration file:,25
